Error 322, reqId 4: Error processing request.-'bM' : cause - Index 0 out of bounds for length 0, contract: Index(conId=416904, symbol='SPX', exchange='CBOE', currency='USD', localSymbol='SPX')
Error 10090, reqId 32: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=875456682, symbol='SPX', lastTradeDateOrContractMonth='20260731', strike=7445.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260731P07445000', tradingClass='SPXW')
Error 10090, reqId 33: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=851295069, symbol='SPX', lastTradeDateOrContractMonth='20260731', strike=7425.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260731P07425000', tradingClass='SPXW')
Error 10090, reqId 34: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=875456637, symbol='SPX', lastTradeDateOrContractMonth='20260731', strike=7405.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260731P07405000', tradingClass='SPXW')
Error 10090, reqId 35: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=875456620, symbol='SPX', lastTradeDateOrContractMonth='20260731', strike=7385.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260731P07385000', tradingClass='SPXW')
Error 10090, reqId 36: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=875456602, symbol='SPX', lastTradeDateOrContractMonth='20260731', strike=7365.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260731P07365000', tradingClass='SPXW')
Error 10090, reqId 37: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=875456587, symbol='SPX', lastTradeDateOrContractMonth='20260731', strike=7345.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260731P07345000', tradingClass='SPXW')
Error 10090, reqId 38: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=851295046, symbol='SPX', lastTradeDateOrContractMonth='20260731', strike=7325.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260731P07325000', tradingClass='SPXW')
Error 10090, reqId 39: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=875456551, symbol='SPX', lastTradeDateOrContractMonth='20260731', strike=7305.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260731P07305000', tradingClass='SPXW')
Error 10090, reqId 40: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=875456539, symbol='SPX', lastTradeDateOrContractMonth='20260731', strike=7285.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260731P07285000', tradingClass='SPXW')
Error 10090, reqId 41: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=875456532, symbol='SPX', lastTradeDateOrContractMonth='20260731', strike=7265.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260731P07265000', tradingClass='SPXW')
Error 10090, reqId 42: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=875456522, symbol='SPX', lastTradeDateOrContractMonth='20260731', strike=7245.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260731P07245000', tradingClass='SPXW')
Error 10090, reqId 43: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=851295023, symbol='SPX', lastTradeDateOrContractMonth='20260731', strike=7225.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260731P07225000', tradingClass='SPXW')
Error 10090, reqId 44: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=874719955, symbol='SPX', lastTradeDateOrContractMonth='20260731', strike=7205.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260731P07205000', tradingClass='SPXW')
Error 10090, reqId 45: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=874719925, symbol='SPX', lastTradeDateOrContractMonth='20260731', strike=7185.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260731P07185000', tradingClass='SPXW')
Error 10090, reqId 46: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=875456517, symbol='SPX', lastTradeDateOrContractMonth='20260731', strike=7165.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260731P07165000', tradingClass='SPXW')
