BarIdx,BarTime,Open,Close,High,Low,MinDelta,MaxDelta,Delta,DurationSec,DeltaRate,UnfHigh,UnfLow
0,2026-07-19 17:05:00,7485,7488.25,7497,7483.25,-9,386,5,299.3,0.02,7497,0
1,2026-07-19 17:10:00,7487.5,7487,7488.5,7482,-274,9,-216,299.7,-0.72,0,0
2,2026-07-19 17:15:00,7487,7483.75,7487.5,7482,-149,3,-118,299.4,-0.39,0,0
3,2026-07-19 17:20:00,7484,7492.5,7492.75,7483.75,0,258,253,297.0,0.85,0,0
4,2026-07-19 17:25:00,7492.5,7490.75,7496.75,7490.75,-96,134,-96,295.3,-0.33,0,0
5,2026-07-19 17:30:00,7491,7487.5,7491,7487,-65,28,-40,298.2,-0.13,7491,7487
6,2026-07-19 17:35:00,7487,7496.5,7496.75,7486,-25,158,153,296.8,0.52,7496.75,0
7,2026-07-19 17:40:00,7496.5,7495.25,7497.75,7494,-3,79,21,298.6,0.07,0,0
8,2026-07-19 17:45:00,7495.25,7500.5,7502.5,7495.25,-3,205,146,296.6,0.49,0,0
9,2026-07-19 17:50:00,7500.75,7498.75,7502,7497,-17,64,55,293.3,0.19,7502,0
10,2026-07-19 17:55:00,7499,7496,7499.25,7494.5,-81,22,-36,297.8,-0.12,0,0
11,2026-07-19 18:00:00,7496,7495.75,7497.25,7495,-19,25,-14,295.0,-0.05,0,7495
12,2026-07-19 18:05:00,7496,7494.25,7496.25,7492.25,-40,25,-5,295.4,-0.02,7496.25,7492.25
13,2026-07-19 18:10:00,7494.25,7497,7497.25,7493.5,-43,13,-31,295.1,-0.11,7497.25,7493.5
14,2026-07-19 18:15:00,7497,7495.75,7498.5,7495,-9,62,37,294.4,0.13,0,0
15,2026-07-19 18:20:00,7495.75,7495,7496.5,7493.25,-50,15,-25,277.8,-0.09,0,0
16,2026-07-19 18:25:00,7495.25,7496.25,7496.75,7492.25,-48,42,15,295.9,0.05,0,0
17,2026-07-19 18:30:00,7496.75,7493.5,7498.25,7492,-117,27,-53,296.1,-0.18,0,7492
18,2026-07-19 18:35:00,7493.5,7496.5,7496.5,7491.25,-34,22,7,299.5,0.02,0,7491.25
19,2026-07-19 18:40:00,7496.25,7497,7498.5,7494,-38,15,-7,299.4,-0.02,0,0
20,2026-07-19 18:45:00,7496.75,7502,7502,7496.25,-11,86,82,298.9,0.27,0,7496.25
21,2026-07-19 18:50:00,7501.75,7495.75,7501.75,7494.75,-166,0,-144,298.2,-0.48,7501.75,7494.75
22,2026-07-19 18:55:00,7495.75,7500.25,7503,7495.75,-4,126,106,298.5,0.36,0,0
23,2026-07-19 19:00:00,7500.5,7504,7505.25,7499.25,-6,134,113,295.6,0.38,0,0
24,2026-07-19 19:05:00,7504.5,7504.5,7505.25,7496.75,-70,53,16,299.7,0.05,0,7496.75
25,2026-07-19 19:10:00,7504.25,7512.75,7514.5,7504.25,-16,219,48,299.5,0.16,7514.5,7504.25
26,2026-07-19 19:15:00,7512.75,7514.75,7517.5,7511.75,-348,10,-345,299.5,-1.15,0,0
27,2026-07-19 19:20:00,7514.75,7516,7517.25,7513.75,-90,36,-39,299.7,-0.13,7517.25,0
28,2026-07-19 19:25:00,7515.75,7512.75,7516.75,7511.75,-69,63,54,293.5,0.18,0,7511.75
29,2026-07-19 19:30:00,7512.5,7511.5,7513,7510.25,-50,13,-16,298.9,-0.05,0,0
30,2026-07-19 19:35:00,7511.5,7504,7512,7503.75,-218,15,-211,299.6,-0.70,7512,7503.75
31,2026-07-19 19:40:00,7504,7506,7509.5,7503.5,0,130,86,299.7,0.29,7509.5,7503.5
32,2026-07-19 19:45:00,7506,7504.5,7510,7504.25,-18,58,21,298.8,0.07,7510,0
33,2026-07-19 19:50:00,7504.5,7505,7506.5,7502.25,-83,3,-15,295.7,-0.05,0,7502.25
34,2026-07-19 19:55:00,7505.25,7503.5,7506.5,7503,-27,30,-21,298.0,-0.07,7506.5,7503
35,2026-07-19 20:00:00,7503.5,7503.25,7506.5,7502,-25,26,-9,297.1,-0.03,7506.5,7502
36,2026-07-19 20:05:00,7503.5,7505.25,7508,7503.25,-7,38,10,297.5,0.03,7508,7503.25
37,2026-07-19 20:10:00,7505.25,7509.75,7510.5,7504.5,0,74,62,299.6,0.21,7510.5,0
38,2026-07-19 20:15:00,7510,7503.5,7511.75,7502.75,-155,28,-135,296.4,-0.46,0,0
39,2026-07-19 20:20:00,7503.75,7502.5,7505.75,7501.75,-35,43,23,298.6,0.08,0,0
40,2026-07-19 20:25:00,7502.25,7504.75,7507.5,7500.25,-51,48,-7,297.8,-0.02,0,7500.25
41,2026-07-19 20:30:00,7505,7499.25,7507.25,7498,-105,70,-91,296.5,-0.31,7507.25,0
42,2026-07-19 20:35:00,7499,7499.25,7500.5,7498,-29,59,34,298.1,0.11,7500.5,7498
43,2026-07-19 20:40:00,7499,7499.75,7500.75,7497.25,-43,26,-5,298.8,-0.02,7500.75,7497.25
44,2026-07-19 20:45:00,7499.75,7495.25,7500.75,7492.75,-211,13,-191,299.3,-0.64,7500.75,0
45,2026-07-19 20:50:00,7495.25,7497.25,7498.25,7493.75,-67,36,24,299.1,0.08,7498.25,0
46,2026-07-19 20:55:00,7497.25,7490.5,7497.75,7490,-178,8,-144,299.1,-0.48,7497.75,0
47,2026-07-19 21:00:00,7490.5,7494.75,7496,7490.25,-1,104,67,298.0,0.22,0,7490.25
48,2026-07-19 21:05:00,7494.75,7504.25,7505.25,7494.75,0,107,24,299.4,0.08,0,7494.75
49,2026-07-19 21:10:00,7504.25,7503.75,7506.5,7503,-79,12,-49,294.4,-0.17,7506.5,0
50,2026-07-19 21:15:00,7503.5,7499.5,7503.75,7499,-72,10,-65,297.5,-0.22,0,7499
51,2026-07-19 21:20:00,7499.75,7495.25,7500,7494.5,-72,9,-12,298.4,-0.04,7500,0
52,2026-07-19 21:25:00,7495.5,7495.25,7496.5,7494,-15,43,36,298.8,0.12,0,0
53,2026-07-19 21:30:00,7495.25,7496.5,7498,7493.75,-13,53,44,299.4,0.15,0,7493.75
54,2026-07-19 21:35:00,7496.25,7502.5,7504.5,7496.25,-14,69,-12,299.3,-0.04,0,7496.25
55,2026-07-19 21:40:00,7502.25,7502.5,7505.5,7501,-15,86,36,297.3,0.12,0,7501
56,2026-07-19 21:45:00,7502.5,7506.75,7509.25,7502,-30,76,-25,299.2,-0.08,0,0
57,2026-07-19 21:50:00,7507,7510.25,7510.5,7506.25,-6,63,52,299.2,0.17,0,7506.25
58,2026-07-19 21:55:00,7510.25,7507.25,7511,7507,-39,25,-34,298.0,-0.11,0,7507
59,2026-07-19 22:00:00,7507.25,7505.5,7508.5,7505.25,-26,37,24,296.7,0.08,0,0
60,2026-07-19 22:05:00,7505.5,7505.25,7507.75,7505,-14,27,-13,299.8,-0.04,7507.75,0
61,2026-07-19 22:10:00,7505.25,7502.25,7505.5,7501.25,-42,28,23,287.7,0.08,7505.5,7501.25
62,2026-07-19 22:15:00,7502.5,7503.5,7504,7501.5,-3,81,75,299.0,0.25,7504,7501.5
63,2026-07-19 22:20:00,7503.5,7506,7507.75,7502.5,-11,43,15,290.6,0.05,0,0
64,2026-07-19 22:25:00,7505.5,7506.5,7507,7503.25,-61,0,-41,299.6,-0.14,7507,7503.25
65,2026-07-19 22:30:00,7506.25,7504.25,7506.75,7503.5,-71,2,-66,297.7,-0.22,0,7503.5
66,2026-07-19 22:35:00,7503.75,7504.5,7507.25,7503,-37,2,-25,290.9,-0.09,0,7503
67,2026-07-19 22:40:00,7504.5,7506,7506.75,7502.5,-46,14,6,298.6,0.02,7506.75,7502.5
68,2026-07-19 22:45:00,7505.75,7507.5,7508.25,7504,-16,37,28,298.6,0.09,0,0
69,2026-07-19 22:50:00,7507.5,7507.5,7508.5,7506,-12,28,0,290.5,0.00,0,0
70,2026-07-19 22:55:00,7507.5,7509.5,7510.25,7507,-3,59,24,296.3,0.08,7510.25,0
71,2026-07-19 23:00:00,7509.75,7505.5,7510,7504,-100,16,-90,298.6,-0.30,0,7504
72,2026-07-19 23:05:00,7505.75,7506,7507.75,7505.25,-34,50,-22,299.2,-0.07,0,7505.25
73,2026-07-19 23:10:00,7506,7504,7506.25,7502.75,-110,0,-92,297.6,-0.31,7506.25,7502.75
74,2026-07-19 23:15:00,7504,7502,7504.75,7501.25,-23,40,14,296.9,0.05,0,0
75,2026-07-19 23:20:00,7501.75,7501.25,7501.75,7499,-36,43,39,292.2,0.13,7501.75,0
76,2026-07-19 23:25:00,7501.25,7502.75,7503.25,7500,-28,14,13,295.5,0.04,7503.25,0
77,2026-07-19 23:30:00,7502.75,7507.75,7508.25,7502.75,-2,152,141,299.4,0.47,7508.25,7502.75
78,2026-07-19 23:35:00,7508,7508.5,7512.25,7506.25,-5,99,15,296.3,0.05,0,0
79,2026-07-19 23:40:00,7508.75,7510.75,7512,7507.5,-11,56,41,298.6,0.14,0,0
80,2026-07-19 23:45:00,7510.5,7512.25,7513.5,7510,-22,51,4,299.6,0.01,0,7510
81,2026-07-19 23:50:00,7512.25,7514,7514.25,7511.5,-58,0,-56,299.0,-0.19,0,7511.5
82,2026-07-19 23:55:00,7514,7511.5,7515,7511.5,-36,64,-7,297.9,-0.02,7515,7511.5
83,2026-07-20 00:00:00,7511.5,7509.25,7512.25,7508.75,-69,9,-69,294.9,-0.23,0,0
84,2026-07-20 00:05:00,7509.5,7507.25,7510.25,7506.75,-33,30,-15,299.7,-0.05,7510.25,0
85,2026-07-20 00:10:00,7507.25,7503.5,7507.25,7502.75,-107,0,-95,296.4,-0.32,0,0
86,2026-07-20 00:15:00,7503.75,7503.25,7504,7498,-180,1,-148,298.3,-0.50,7504,7498
87,2026-07-20 00:20:00,7503,7502.5,7503,7500.25,-33,26,-24,298.8,-0.08,7503,7500.25
88,2026-07-20 00:25:00,7502.5,7501,7503,7499,-59,35,-37,297.8,-0.12,7503,7499
89,2026-07-20 00:30:00,7501,7500.25,7501.75,7499.25,-34,0,-18,298.7,-0.06,7501.75,7499.25
90,2026-07-20 00:35:00,7500.25,7498.5,7500.5,7497.5,-57,2,-55,297.3,-0.19,0,0
91,2026-07-20 00:40:00,7498.75,7498.25,7500.5,7498.25,-34,15,-7,299.7,-0.02,7500.5,7498.25
92,2026-07-20 00:45:00,7498.25,7497.25,7500,7497.25,-60,19,-50,298.3,-0.17,7500,0
93,2026-07-20 00:50:00,7497.5,7498,7499.75,7496.25,-21,50,3,291.9,0.01,7499.75,7496.25
94,2026-07-20 00:55:00,7498,7495,7498,7494.5,-33,32,-29,299.7,-0.10,0,0
95,2026-07-20 01:00:00,7495,7496,7498.5,7494,-13,102,69,298.7,0.23,7498.5,0
96,2026-07-20 01:05:00,7496.25,7498,7498.5,7495.75,-16,48,35,299.7,0.12,7498.5,7495.75
97,2026-07-20 01:10:00,7498.25,7497.5,7499.75,7495,-22,84,24,299.2,0.08,0,0
98,2026-07-20 01:15:00,7497.25,7495,7497.25,7494.5,-59,2,-2,294.2,-0.01,7497.25,0
99,2026-07-20 01:20:00,7495,7495.75,7497.75,7493.75,-14,67,46,296.4,0.16,7497.75,0
100,2026-07-20 01:25:00,7496,7493.25,7498,7493.25,-85,22,-78,297.1,-0.26,7498,7493.25
101,2026-07-20 01:30:00,7493,7494.5,7496,7492.75,-57,7,-42,299.0,-0.14,7496,0
102,2026-07-20 01:35:00,7494.75,7493,7496,7492.25,-20,43,14,295.4,0.05,0,7492.25
103,2026-07-20 01:40:00,7492.75,7492.5,7493.75,7491,-55,0,-31,298.7,-0.10,7493.75,0
104,2026-07-20 01:45:00,7492.5,7496.5,7498.25,7492.25,-150,113,-73,299.1,-0.24,7498.25,7492.25
105,2026-07-20 01:50:00,7496.5,7494.75,7497,7493.5,-2,64,51,298.2,0.17,7497,7493.5
106,2026-07-20 01:55:00,7494.75,7496,7497.75,7494.75,-14,25,12,289.2,0.04,0,0
107,2026-07-20 02:00:00,7496.5,7497,7497.25,7494.25,-40,49,0,297.9,0.00,0,7494.25
108,2026-07-20 02:05:00,7497.25,7500.5,7502.5,7497.25,-2,112,78,299.7,0.26,7502.5,7497.25
109,2026-07-20 02:10:00,7500.5,7500.5,7501.5,7499,-4,67,45,299.6,0.15,7501.5,7499
110,2026-07-20 02:15:00,7500.75,7499.5,7501,7498.75,-39,23,5,297.2,0.02,7501,7498.75
111,2026-07-20 02:20:00,7499.75,7498.75,7499.75,7496.75,-253,2,-248,299.4,-0.83,7499.75,7496.75
112,2026-07-20 02:25:00,7499,7504.5,7506,7498.5,-48,167,92,299.3,0.31,7506,7498.5
113,2026-07-20 02:30:00,7504.25,7509.5,7510,7504,-3,105,41,298.0,0.14,0,7504
114,2026-07-20 02:35:00,7509.5,7515.75,7517,7509.5,-25,627,540,299.2,1.81,7517,7509.5
115,2026-07-20 02:40:00,7515.75,7516.75,7518,7514.5,-42,175,174,299.4,0.58,0,7514.5
116,2026-07-20 02:45:00,7516.5,7517.25,7519.5,7514.75,-199,104,-28,297.9,-0.09,0,7514.75
117,2026-07-20 02:50:00,7517.25,7513.5,7518.75,7513,-97,31,-25,298.4,-0.08,7518.75,0
118,2026-07-20 02:55:00,7513.5,7513.25,7514.75,7511.75,-30,55,-29,296.6,-0.10,0,7511.75
119,2026-07-20 03:00:00,7513,7516,7517.75,7513,-86,87,19,299.3,0.06,7517.75,0
120,2026-07-20 03:05:00,7516,7518.5,7520.75,7515.75,-7,382,212,298.7,0.71,0,7515.75
121,2026-07-20 03:10:00,7518.75,7516,7519.75,7514.25,-165,7,-112,298.7,-0.37,0,7514.25
122,2026-07-20 03:15:00,7515.5,7520,7520.25,7514.75,-11,84,29,295.0,0.10,0,7514.75
123,2026-07-20 03:20:00,7520,7519.25,7521.75,7519,-218,34,-218,295.3,-0.74,0,7519
124,2026-07-20 03:25:00,7519,7518.5,7519.5,7517,-117,11,-78,299.1,-0.26,0,7517
125,2026-07-20 03:30:00,7518.5,7517.75,7519.5,7517.25,-66,101,67,298.0,0.22,0,7517.25
126,2026-07-20 03:35:00,7517.5,7514.75,7518.25,7512.75,-101,141,136,299.4,0.45,7518.25,0
127,2026-07-20 03:40:00,7514.75,7515.25,7515.75,7512.75,-128,3,-13,295.0,-0.04,7515.75,0
128,2026-07-20 03:45:00,7515,7512.75,7516.5,7512,-109,14,-98,298.6,-0.33,7516.5,0
129,2026-07-20 03:50:00,7513,7515.5,7516,7512.25,-10,128,103,297.4,0.35,0,7512.25
130,2026-07-20 03:55:00,7515.5,7512.75,7515.75,7512.5,-137,0,-127,288.0,-0.44,7515.75,7512.5
131,2026-07-20 04:00:00,7513,7514.25,7515,7512.5,0,54,29,292.1,0.10,7515,7512.5
132,2026-07-20 04:05:00,7514.25,7513,7516,7513,0,61,5,299.4,0.02,0,7513
133,2026-07-20 04:10:00,7512.75,7512.5,7514.25,7510.5,-195,6,-131,295.1,-0.44,0,0
134,2026-07-20 04:15:00,7512.5,7513,7514.75,7511.75,-53,40,2,297.0,0.01,0,0
135,2026-07-20 04:20:00,7512.75,7512.75,7517,7512.75,-78,36,-78,299.1,-0.26,0,0
136,2026-07-20 04:25:00,7513,7517.25,7518.25,7513,-12,65,-12,295.0,-0.04,7518.25,7513
137,2026-07-20 04:30:00,7517,7517,7518,7516.75,-136,0,-108,299.8,-0.36,0,7516.75
138,2026-07-20 04:35:00,7517,7517.5,7519.25,7516,-87,4,-54,298.9,-0.18,7519.25,0
139,2026-07-20 04:40:00,7517.75,7518.5,7519,7517.5,-32,19,12,297.9,0.04,7519,7517.5
140,2026-07-20 04:45:00,7518.75,7520.5,7521,7518.25,-9,114,104,296.3,0.35,0,7518.25
141,2026-07-20 04:50:00,7520.5,7523.5,7524,7520.5,-5,155,85,298.0,0.29,0,7520.5
142,2026-07-20 04:55:00,7523.5,7523.5,7527.75,7523,-10,543,401,295.9,1.36,0,0
143,2026-07-20 05:00:00,7523.5,7521.75,7523.75,7520.5,-138,7,-98,298.2,-0.33,0,0
144,2026-07-20 05:05:00,7521.75,7520.5,7522.75,7519.75,-252,69,-252,298.8,-0.84,7522.75,7519.75
145,2026-07-20 05:10:00,7520.5,7519.25,7521,7518.5,-100,4,-83,299.3,-0.28,0,7518.5
146,2026-07-20 05:15:00,7519.25,7518.25,7521.25,7518,-126,24,-125,291.6,-0.43,0,7518
147,2026-07-20 05:20:00,7518.5,7517.5,7518.5,7516,-137,347,295,298.6,0.99,7518.5,0
148,2026-07-20 05:25:00,7517.75,7520,7521,7517.5,-17,69,21,298.6,0.07,0,7517.5
149,2026-07-20 05:30:00,7520,7520,7520.75,7518,-113,5,-105,295.0,-0.36,7520.75,0
150,2026-07-20 05:35:00,7519.75,7520.5,7523,7518.75,-22,115,36,299.6,0.12,7523,7518.75
151,2026-07-20 05:40:00,7520.25,7518.75,7520.5,7517.5,-64,31,13,296.9,0.04,0,0
152,2026-07-20 05:45:00,7518.5,7519.5,7520,7517.5,-9,80,48,295.5,0.16,7520,7517.5
153,2026-07-20 05:50:00,7519.5,7521.25,7522.5,7518.5,-4,263,258,295.0,0.87,0,7518.5
154,2026-07-20 05:55:00,7521.5,7524,7524.25,7520.5,-15,75,66,295.1,0.22,7524.25,7520.5
155,2026-07-20 06:00:00,7524,7522,7524,7521,-64,31,31,297.7,0.10,0,0
156,2026-07-20 06:05:00,7522,7525.75,7526,7520.75,-318,125,-121,298.7,-0.41,7526,7520.75
157,2026-07-20 06:10:00,7525.75,7527.25,7527.75,7525.5,-402,4,-395,296.3,-1.33,0,7525.5
158,2026-07-20 06:15:00,7527.25,7527.5,7529.75,7526.5,0,201,169,296.3,0.57,0,7526.5
159,2026-07-20 06:20:00,7527.5,7525.25,7528.25,7525,-207,22,-188,295.4,-0.64,0,7525
160,2026-07-20 06:25:00,7525.25,7524,7526.25,7524,-81,11,-78,295.9,-0.26,7526.25,7524
161,2026-07-20 06:30:00,7523.75,7523.5,7524.5,7522.75,-51,79,58,294.9,0.20,0,0
162,2026-07-20 06:35:00,7523.5,7540.75,7545.25,7523.25,-15,2902,2608,299.2,8.72,7545.25,7523.25
163,2026-07-20 06:40:00,7541,7538.75,7544.25,7538,-122,317,-86,299.6,-0.29,0,7538
164,2026-07-20 06:45:00,7539,7539.25,7544.25,7535.75,-264,874,872,297.6,2.93,0,0
165,2026-07-20 06:50:00,7539.25,7534.75,7540.75,7533.25,-827,35,-702,298.9,-2.35,7540.75,0
166,2026-07-20 06:55:00,7534.5,7537.25,7537.5,7531,-367,0,-307,298.7,-1.03,7537.5,0
167,2026-07-20 07:00:00,7537.25,7535.5,7537.5,7534.75,-116,1,-101,299.5,-0.34,7537.5,7534.75
168,2026-07-20 07:05:00,7535.5,7525,7536,7521,-498,335,-323,299.8,-1.08,7536,0
