BarIdx,BarTime,Open,Close,High,Low,MinDelta,MaxDelta,Delta,DurationSec,DeltaRate,UnfHigh,UnfLow
0,2026-07-27 17:00:00,7453,7443.5,7456,7440,-403,56,-286,4300.5,-0.07,0,0
1,2026-07-27 18:11:40,7443.5,7444,7452,7441.75,-78,121,-30,3420.7,-0.01,0,7441.75
2,2026-07-27 19:08:45,7444.25,7441.75,7445,7434.25,-184,45,-40,1587.0,-0.03,7445,0
3,2026-07-27 19:35:12,7441.5,7429.25,7445,7428.5,-445,20,-375,2079.4,-0.18,7445,7428.5
4,2026-07-27 20:09:52,7429,7438.75,7443.5,7425,-178,76,-21,1822.9,-0.01,7443.5,7425
5,2026-07-27 20:40:15,7438.75,7429.5,7443.5,7428,-351,11,-328,2203.5,-0.15,7443.5,0
6,2026-07-27 21:17:00,7429.5,7426,7435.75,7425.25,-36,258,144,3063.8,0.05,0,0
7,2026-07-27 22:08:03,7426,7438.5,7438.75,7424,-210,338,332,1860.4,0.18,0,0
8,2026-07-27 22:39:04,7438.5,7432.25,7442,7429.75,-17,483,300,2217.2,0.14,0,0
9,2026-07-27 23:16:01,7432.25,7426.75,7435.75,7426,-104,119,-100,3987.8,-0.03,0,0
10,2026-07-28 00:22:29,7426.75,7422.5,7427.5,7419,-356,5,-298,2271.1,-0.13,7427.5,0
11,2026-07-28 01:00:20,7422.5,7420.5,7426.5,7419.5,-51,683,644,1438.2,0.45,7426.5,7419.5
12,2026-07-28 01:24:18,7420.5,7428.5,7429.5,7419.75,-52,728,608,1875.9,0.32,0,0
13,2026-07-28 01:55:38,7428.25,7436.75,7437.75,7428,-223,267,-150,1212.7,-0.12,7437.75,7428
14,2026-07-28 02:15:50,7436.75,7432.75,7438.5,7432,-294,0,-260,1801.8,-0.14,7438.5,0
15,2026-07-28 02:45:52,7432.75,7435.25,7436.5,7429.25,-462,74,-456,1270.8,-0.36,7436.5,7429.25
16,2026-07-28 03:07:03,7435.25,7439.25,7440,7425.25,-163,81,42,866.9,0.05,0,0
17,2026-07-28 03:21:30,7439.25,7445,7446.25,7436.5,-96,145,60,1286.6,0.05,0,7436.5
18,2026-07-28 03:42:57,7445,7442.25,7449,7440.25,-214,175,22,1858.7,0.01,7449,7440.25
19,2026-07-28 04:13:55,7442.25,7439.5,7445.75,7438,-434,2,-396,2764.3,-0.14,7445.75,0
20,2026-07-28 05:00:00,7439.5,7439.5,7444.25,7436.75,-379,48,-278,2068.4,-0.13,7444.25,0
21,2026-07-28 05:34:28,7439.5,7441,7441.25,7433.75,-232,47,-164,1191.7,-0.14,7441.25,0
22,2026-07-28 05:54:20,7441,7438,7446.25,7437,-126,209,-126,786.1,-0.16,7446.25,7437
23,2026-07-28 06:07:26,7438,7442,7445,7432.5,-236,205,10,623.9,0.02,0,0
24,2026-07-28 06:17:50,7442,7436.5,7450,7435.5,-11,433,88,780.0,0.11,0,7435.5
25,2026-07-28 06:30:51,7436.75,7435.25,7450,7435.25,-12,1390,1342,573.9,2.34,0,0
26,2026-07-28 06:40:25,7435.25,7445.25,7446.75,7433,-49,448,362,923.2,0.39,0,0
27,2026-07-28 06:55:54,7445.25,7452.5,7455,7445.25,-202,343,264,724.7,0.36,0,7445.25
28,2026-07-28 07:07:59,7452.5,7456,7456,7448.25,-680,50,-418,1094.3,-0.38,0,0
29,2026-07-28 07:26:13,7456,7453.5,7459.75,7451.25,-42,424,244,475.9,0.51,0,0
30,2026-07-28 07:34:09,7453.5,7458.25,7458.75,7452,-432,229,-284,552.7,-0.51,0,0
