day,level_type,level,gex,bar_time,touch_px,approach,appr_delta,appr_range,absorbing,divergence,imb_with,imb_against,touch_delta,touch_min_delta,touch_max_delta,delta_rate,unf_auction,sess_poc,hvn_at_level,poc_just_below,ret_5m,ret_15m,ret_30m,ret_60m,mfe_fade,mae_fade,held
2026-07-13,hvl0,7585.0,-720074.805555527,2026-07-13 09:16:44,7582.5,from_above,556,-5.75,False,False,8,1,-912,-920,1,-894.12,False,7600.25,False,False,5.5,17.5,5.25,9.0,21.25,9.0,False
2026-07-13,hvl0,7585.0,-720074.805555527,2026-07-13 09:16:54,7584.5,from_above,-1606,-19.75,False,False,1,1,54,-56,89,12.86,True,7600.25,False,False,3.5,13.5,3.25,7.0,19.25,9.25,False
2026-07-13,hvl0,7585.0,-720074.805555527,2026-07-13 09:17:40,7585.25,from_below,-1406,-1.75,False,True,1,1,76,-24,129,5.79,False,7600.25,False,False,3.5,12.0,2.5,6.75,4.5,18.5,False
2026-07-13,hvl0,7585.0,-720074.805555527,2026-07-13 09:21:36,7588.0,from_above,732,6.5,False,False,1,0,-59,-156,25,-2.47,False,7600.25,False,False,11.25,4.25,2.5,5.25,15.75,1.5,True
2026-07-13,hvl0,7585.0,-720074.805555527,2026-07-13 09:42:10,7586.75,from_above,-1137,-6.75,False,False,1,0,-413,-464,3,-11.76,True,7599.25,False,False,1.0,5.75,6.0,3.0,9.0,6.0,False
2026-07-13,hvl0,7585.0,-720074.805555527,2026-07-13 09:52:04,7588.0,from_above,822,6.5,False,False,3,1,-74,-107,126,-1.69,True,7599.25,False,False,4.5,7.0,7.0,-2.5,13.75,2.0,True
2026-07-13,hvl0,7585.0,-720074.805555527,2026-07-13 10:44:49,7587.75,from_above,36,-6.75,False,False,0,0,-144,-160,22,-2.03,True,7599.25,False,False,0.25,-5.0,-6.5,-12.25,1.0,6.0,False
2026-07-13,gex_1,7550.0,3341697.5398531533,2026-07-13 14:29:28,7555.25,from_above,-3747,-7.5,False,False,1,0,-201,-408,0,-6.2,True,7570.0,False,False,0.75,5.25,7.5,4.25,6.25,4.25,True
2026-07-13,gex_1,7550.0,3341697.5398531533,2026-07-13 14:37:24,7552.0,from_above,-379,-1.0,False,False,0,0,-260,-260,262,-3.7,True,7570.0,False,False,7.25,13.5,9.75,7.5,13.75,1.0,True
2026-07-13,gex_3,7610.0,2969047.134248901,2026-07-13 08:31:59,7608.25,from_below,1200,9.5,False,False,1,0,230,-29,231,11.8,True,7602.5,False,False,-4.75,-8.5,-3.5,-10.25,14.5,1.5,True
