t_start,t_end,dir,p_start,p_end,move,vol,delta,bars,vol_per_pt
2026-09-15 08:30:03.865,2026-09-15 08:30:24.308,up,7615.75,7618.0,2.25,5413,,1,2406.0
2026-09-15 08:30:24.308,2026-09-15 08:34:24.838,dn,7618.0,7603.75,-14.25,26934,,10,1890.0
2026-09-15 08:34:24.838,2026-09-15 08:41:11.971,up,7603.75,7613.25,9.5,27643,,10,2910.0
2026-09-15 08:41:11.971,2026-09-15 08:43:19.405,dn,7613.25,7609.75,-3.5,7194,,2,2055.0
2026-09-15 08:43:19.405,2026-09-15 08:45:44.580,up,7609.75,7615.0,5.25,9969,,3,1899.0
2026-09-15 08:45:44.580,2026-09-15 08:50:46.525,dn,7615.0,7607.25,-7.75,14973,,5,1932.0
2026-09-15 08:50:46.525,2026-09-15 08:53:17.836,up,7607.25,7611.5,4.25,9567,,3,2251.0
2026-09-15 08:53:17.836,2026-09-15 09:13:57.849,dn,7611.5,7594.25,-17.25,60389,,23,3501.0
2026-09-15 09:13:57.849,2026-09-15 09:18:39.839,up,7594.25,7598.5,4.25,20980,,7,4936.0
2026-09-15 09:18:39.839,2026-09-15 09:23:59.358,dn,7598.5,7586.5,-12.0,21219,,7,1768.0
2026-09-15 09:23:59.358,2026-09-15 09:25:15.620,up,7586.5,7591.75,5.25,7985,,2,1521.0
2026-09-15 09:25:15.620,2026-09-15 09:31:10.735,dn,7591.75,7587.25,-4.5,20266,,7,4504.0
2026-09-15 09:31:10.735,2026-09-15 09:31:51.594,up,7587.25,7590.0,2.75,5065,,1,1842.0
2026-09-15 09:31:51.594,2026-09-15 09:34:15.269,dn,7590.0,7586.75,-3.25,9453,,3,2909.0
2026-09-15 09:34:15.269,2026-09-15 09:37:28.820,up,7586.75,7589.5,2.75,12318,,4,4479.0
2026-09-15 09:37:28.820,2026-09-15 09:41:12.776,dn,7589.5,7584.75,-4.75,13046,,4,2747.0
2026-09-15 09:41:12.776,2026-09-15 09:45:46.566,up,7584.75,7587.25,2.5,12850,,4,5140.0
2026-09-15 09:45:46.566,2026-09-15 09:51:05.493,dn,7587.25,7578.25,-9.0,21718,,7,2413.0
2026-09-15 09:51:05.493,2026-09-15 09:51:14.434,up,7578.25,7581.25,3.0,5464,,1,1821.0
2026-09-15 09:51:14.434,2026-09-15 09:53:29.015,dn,7581.25,7576.0,-5.25,15598,,5,2971.0
2026-09-15 09:53:29.015,2026-09-15 10:01:58.212,up,7576.0,7584.0,8.0,32658,,12,4082.0
2026-09-15 10:01:58.212,2026-09-15 10:02:42.530,dn,7584.0,7581.25,-2.75,5262,,1,1913.0
2026-09-15 10:02:42.530,2026-09-15 10:04:48.437,up,7581.25,7585.75,4.5,7943,,2,1765.0
2026-09-15 10:04:48.437,2026-09-15 10:13:50.185,dn,7585.75,7582.25,-3.5,22672,,8,6478.0
2026-09-15 10:13:50.185,2026-09-15 10:25:10.568,up,7582.25,7588.5,6.25,25332,,9,4053.0
2026-09-15 10:25:10.568,2026-09-15 10:33:59.427,dn,7588.5,7584.75,-3.75,19591,,7,5224.0
2026-09-15 10:33:59.427,2026-09-15 10:44:03.115,up,7584.75,7591.75,7.0,21574,,8,3082.0
2026-09-15 10:44:03.115,2026-09-15 10:50:01.843,dn,7591.75,7584.75,-7.0,12007,,4,1715.0
2026-09-15 10:50:01.843,2026-09-15 10:50:29.521,up,7584.75,7588.75,4.0,9991,,3,2498.0
2026-09-15 10:50:29.521,2026-09-15 10:54:09.555,dn,7588.75,7585.0,-3.75,9553,,3,2547.0
2026-09-15 10:54:09.555,2026-09-15 10:55:56.152,up,7585.0,7588.0,3.0,7182,,2,2394.0
2026-09-15 10:55:56.152,2026-09-15 11:09:38.544,dn,7588.0,7580.75,-7.25,24514,,9,3381.0
2026-09-15 11:09:38.544,2026-09-15 11:28:11.090,up,7580.75,7592.0,11.25,30668,,11,2726.0
2026-09-15 11:28:11.090,2026-09-15 11:30:47.727,dn,7592.0,7587.75,-4.25,7358,,2,1731.0
2026-09-15 11:30:47.727,2026-09-15 11:32:46.036,up,7587.75,7592.0,4.25,7235,,2,1702.0
2026-09-15 11:32:46.036,2026-09-15 11:49:29.649,dn,7592.0,7588.0,-4.0,21929,,8,5482.0
2026-09-15 11:49:29.649,2026-09-15 11:54:50.363,up,7588.0,7593.75,5.75,10160,,3,1767.0
2026-09-15 11:54:50.363,2026-09-15 12:06:03.234,dn,7593.75,7585.0,-8.75,22434,,8,2564.0
2026-09-15 12:06:03.234,2026-09-15 12:07:26.552,up,7585.0,7588.25,3.25,5087,,1,1565.0
2026-09-15 12:07:26.552,2026-09-15 12:24:59.872,dn,7588.25,7580.75,-7.5,26137,,9,3485.0
2026-09-15 12:24:59.872,2026-09-15 13:13:50.106,up,7580.75,7593.25,12.5,57967,,22,4637.0
2026-09-15 13:13:50.106,2026-09-15 13:33:01.324,dn,7593.25,7586.25,-7.0,28176,,10,4025.0
2026-09-15 13:33:01.324,2026-09-15 13:41:55.465,up,7586.25,7590.25,4.0,15118,,5,3780.0
2026-09-15 13:41:55.465,2026-09-15 13:50:00.991,dn,7590.25,7583.25,-7.0,15559,,5,2223.0
2026-09-15 13:50:00.991,2026-09-15 14:01:41.124,up,7583.25,7589.5,6.25,18153,,6,2904.0
2026-09-15 14:01:41.124,2026-09-15 14:40:43.548,dn,7589.5,7581.5,-8.0,46236,,17,5780.0
2026-09-15 14:40:43.548,2026-09-15 14:49:54.420,up,7581.5,7585.25,3.75,19143,,6,5105.0
2026-09-15 14:49:54.420,2026-09-15 14:52:10.752,dn,7585.25,7582.0,-3.25,8548,,2,2630.0
2026-09-15 14:52:10.752,2026-09-15 14:59:28.224,up,7582.0,7589.75,7.75,47005,,13,6065.0
2026-09-15 14:59:28.224,2026-09-15 14:59:50.450,dn,7589.75,7586.75,-3.0,21258,,4,7086.0
2026-09-15 14:59:50.450,2026-09-15 15:12:15.012,up,7586.75,7596.75,10.0,48498,,10,4850.0
