session_date,eod_date,spot_eod,spot_intraday,cr,cr_gex,ps,ps_gex,hvl,hvl_gex,d1_min,d1_min_gex,d1_max,d1_max_gex,cr0,cr0_gex,ps0,ps0_gex,hvl0,hvl0_gex,gw0,gw0_gex,gex_1,gex_1_gex,gex_2,gex_2_gex,gex_3,gex_3_gex,gex_4,gex_4_gex,gex_5,gex_5_gex,gex_6,gex_6_gex,gex_7,gex_7_gex,gex_8,gex_8_gex,gex_9,gex_9_gex,gex_10,gex_10_gex
2021-09-27,2021-09-27,,,150.0,144970648.2898825,145.0,-34373184.08676987,145.0,-34373184.08676987,140.61,,150.13,,150.0,144970648.2898825,142.0,-13178955.312738597,145.0,-34373184.08676987,150.0,144970648.2898825,148.0,13768711.766089676,149.0,3111415.5539584416,147.0,1582653.625729077,143.0,-5884471.909935591,141.0,-3497700.6794463205,152.5,16888729.533338875,140.0,-242000.6896120105,138.0,-2842835.2358204564,139.0,-3774560.819585614,136.0,-764785.7940927461
2021-09-28,2021-09-28,141.91,141.92,150.0,104789031.17432949,135.0,-36916333.8670941,145.0,-18906415.820878655,137.19,,146.63,,150.0,104789031.17432949,142.0,-16590216.303532934,144.0,-6066739.173071738,150.0,104789031.17432949,140.0,-7308530.903475701,143.0,-9176042.794275435,146.0,9000971.940957965,141.0,-10417912.834005427,139.0,-7295848.792683475,148.0,11512705.675988527,147.0,6033382.613983728,149.0,3590664.992302807,137.0,-4337444.00982277,136.0,-1988227.2873344705
2021-09-29,2021-09-29,142.83,142.84,150.0,108187070.79855679,135.0,-36270050.40506625,142.0,-17517993.34755142,139.1,,146.56,,145.0,9424745.000270968,140.0,-12136583.057030806,142.0,-17517993.34755142,145.0,9424745.000270968,146.0,16196623.62254779,141.0,-15118988.235715106,144.0,17012697.46003834,143.0,5034582.72003613,148.0,17472419.98253414,147.0,12126184.339240395,139.0,-12437056.62329788,136.0,-9848390.985918818,149.0,880033.0244798331,137.0,-5267868.474732259
2021-09-30,2021-09-30,141.5,141.32,150.0,93124603.29405622,135.0,-40638056.04815071,143.0,-4752402.770568723,138.85,,144.15,,145.0,314686.48930541216,140.0,-27286990.997876294,143.0,-4752402.770568723,145.0,314686.48930541216,142.0,-22933644.728725746,141.0,-31581998.153347466,144.0,14130630.38843976,139.0,-18084658.70037188,146.0,12618586.005474497,138.0,-9010815.59670899,137.0,-7244450.947738867,160.0,49941163.13308692,130.0,-14707731.28301385,155.0,43275608.02620869
2021-10-01,2021-10-01,142.65,142.64,150.0,102239869.56501867,135.0,-37498588.4915254,142.0,-22890298.276246555,137.25,,148.05,,144.0,10848473.840723142,142.0,-22890298.276246555,142.0,-22890298.276246555,144.0,10848473.840723142,145.0,-9893320.90915408,140.0,-983733.8330475916,147.0,3561110.491118428,139.0,-6108079.500314618,146.0,10053759.70476821,136.0,-8902362.066952758,149.0,-557412.137749688,152.5,7071819.846655944,137.0,-4396997.811880097,134.0,-1527503.003068542
2021-10-04,2021-10-04,139.14,139.19,150.0,77260985.50702463,135.0,-48133633.51549478,142.0,-15206902.03102526,133.8,,144.48,,144.0,9612809.486293172,142.0,-15206902.03102526,142.0,-15206902.03102526,144.0,9612809.486293172,136.0,-12964395.735633763,140.0,-4789219.8648943985,139.0,-8056705.189465143,143.0,3149884.546459097,137.0,-7762846.407442543,130.0,-19308070.551332027,145.0,-2836364.457741542,147.0,4869538.74016949,146.0,7393138.757133808,149.0,907869.4149380903
2021-10-05,2021-10-05,141.11,141.1,150.0,87366380.34681377,135.0,-45433331.93935417,139.0,-3361922.0755272815,136.7,,145.52,,144.0,29696591.781451866,137.0,-11230345.568616865,139.0,-3361922.0755272815,144.0,29696591.781451866,145.0,10600126.687422935,140.0,13049010.321351193,141.0,14949546.374586532,143.0,15679496.007774852,142.0,7581782.078309135,147.0,6683534.280558269,149.0,1887242.6347428344,136.0,-13191362.365432745,146.0,11503510.286072508,148.0,11727725.402960882
2021-10-06,2021-10-06,142.0,141.97,150.0,95816819.99915022,135.0,-41025590.84664582,142.0,-5745210.857255001,138.54,,145.46,,144.0,47374292.36112025,140.0,-4312588.920454746,142.0,-5745210.857255001,144.0,47374292.36112025,145.0,31848692.04599994,139.0,-16388467.084600272,143.0,22686255.687877353,141.0,546842.8581137925,147.0,8741084.330561275,148.0,14598263.581277141,138.0,-10322657.33194005,146.0,16655619.959930299,136.0,-10400598.955181077,137.0,-9824109.194281535
2021-10-08,2021-10-08,142.9,143.01,150.0,107686450.19686106,135.0,-32539121.688606177,142.0,-5685996.461724035,137.75,,148.05,,147.0,20385199.33720099,140.0,936183.2326616868,142.0,-5685996.461724035,147.0,20385199.33720099,145.0,21572637.69812121,148.0,15265144.304125067,146.0,13869956.183396738,144.0,9823790.918046234,139.0,-12764881.53116005,149.0,7135656.35934925,134.0,-2603891.1375609087,137.0,-3675470.0612064516,152.5,4533000.262236194,133.0,-905824.3132541855
2021-10-11,2021-10-11,142.81,142.8,150.0,107818611.2107622,135.0,-33002982.20044329,142.0,-7266148.168378142,138.11,,147.51,,145.0,26837249.97850657,140.0,5790663.237471987,142.0,-7266148.168378142,145.0,26837249.97850657,144.0,20575138.779456228,147.0,21781345.208163917,146.0,16756032.022721475,143.0,7892842.4529636735,141.0,-2839924.997618439,148.0,16841961.858314916,149.0,7221756.1276134495,138.0,-6055553.951110337,134.0,-4253512.532405766,136.0,-7701390.457634885
2021-10-12,2021-10-12,141.51,141.46,150.0,96152036.31600071,135.0,-36602158.41714992,142.0,-7309942.096662939,137.37,,145.65,,145.0,24461792.064934675,140.0,-3149580.5390300937,142.0,-7309942.096662939,145.0,24461792.064934675,143.0,6416942.706320113,139.0,-11604297.016221957,144.0,20923076.60911859,141.0,-5855476.4654829465,138.0,-8833927.376967426,148.0,14961400.31880295,147.0,20424996.211138677,149.0,7319972.190735845,136.0,-11186479.209441764,137.0,-6343308.818273876
2021-10-13,2021-10-13,140.91,140.96,150.0,95805461.29872027,135.0,-34956801.30017488,141.0,-10914529.481781365,137.76,,144.06,,143.0,29276195.055230636,140.0,-12148511.761072682,141.0,-10914529.481781365,143.0,29276195.055230636,144.0,21037805.50981441,142.0,10680184.03429018,139.0,-16086347.516738102,138.0,-10726364.62082602,145.0,29764905.450950604,146.0,12872289.041243223,147.0,16039382.926512524,137.0,-8454919.199455833,136.0,-10849591.261794671,130.0,-12921931.385798275
