session_date,eod_date,spot_eod,spot_intraday,cr,cr_gex,ps,ps_gex,hvl,hvl_gex,d1_min,d1_min_gex,d1_max,d1_max_gex,cr0,cr0_gex,ps0,ps0_gex,hvl0,hvl0_gex,gw0,gw0_gex,gex_1,gex_1_gex,gex_2,gex_2_gex,gex_3,gex_3_gex,gex_4,gex_4_gex,gex_5,gex_5_gex,gex_6,gex_6_gex,gex_7,gex_7_gex,gex_8,gex_8_gex,gex_9,gex_9_gex,gex_10,gex_10_gex
2021-09-27,2021-09-27,,,3500.0,13669615.67140742,3370.0,-2489751.623209587,3395.0,-500527.4358070347,3290.53,,3521.07,,3500.0,13669615.67140742,3370.0,-2489751.623209587,3395.0,-500527.4358070347,3500.0,13669615.67140742,3300.0,2914540.3780349535,3400.0,3662039.247619822,3350.0,2338539.5498145293,3420.0,-1700389.8121596733,3340.0,-1854355.6418464736,3600.0,8083677.182091197,3200.0,513936.0094084559,3250.0,610489.2164006239,3270.0,-1274505.1582352521,3550.0,2168246.81382743
2021-09-28,2021-09-28,3315.96,3315.96,3500.0,10303064.218985327,3000.0,-2315284.487718167,3395.0,-27537.239066412316,3186.71,,3445.21,,3350.0,3508696.087519406,3300.0,1814176.0592445799,3345.0,-1220905.1472209976,3350.0,3508696.087519406,3200.0,887990.0335259782,3400.0,3515773.5376692754,3270.0,-1794241.8604263458,3340.0,-1639993.8632575478,3250.0,1065419.8382515165,3150.0,-2127937.7660017163,3450.0,2183636.6875540246,3490.0,844167.9200842775,3460.0,421452.85319527984,3550.0,1406913.0550178322
2021-09-29,2021-09-29,3301.12,3302.75,3500.0,8777941.998230696,3295.0,-7650637.22965672,3345.0,-956972.0378027008,3211.32,,3390.92,,3350.0,4496146.636190416,3300.0,-4827239.782264436,3340.0,-1285223.5440524912,3350.0,4496146.636190416,3270.0,-2222486.958000905,3370.0,-1511783.2382624436,3320.0,-1922564.9717483828,3280.0,-2051109.593542775,3290.0,-2244417.863616768,3400.0,5206138.088391322,3150.0,-2855906.864462865,3450.0,2154699.337492502,3200.0,429816.80104904517,3420.0,-343636.1031573866
2021-09-30,2021-09-30,3285.04,3286.61,3500.0,7276100.587212956,3295.0,-11883797.46652122,3390.0,-547899.7042866662,3223.01,,3347.07,,3400.0,3819268.2203045357,3300.0,-10207260.993789086,3330.0,-1028378.1866229055,3400.0,3819268.2203045357,3270.0,-2989372.289485057,3320.0,-2644113.558876527,3290.0,-3653987.948396712,3280.0,-2845126.993727843,3340.0,-952801.2399544064,3350.0,2129428.598122913,3220.0,-2036628.138733429,3200.0,376361.1604167783,3370.0,-576772.489617703,3375.0,-621182.0769586619
2021-10-01,2021-10-01,3283.26,3283.17,3500.0,6707009.869917719,3000.0,-2532035.5416393727,3295.0,-600795.8216495708,3150.35,,3416.17,,3400.0,3556648.844534263,3200.0,482172.06791028305,3335.0,-133039.90072905557,3400.0,3556648.844534263,3270.0,-1461846.419058477,3300.0,5279332.705177235,3350.0,1692889.315347021,3340.0,-950815.602378875,3280.0,-1554214.8670848624,3150.0,-2379395.258551417,3450.0,1316352.9345879448,3420.0,-963346.2304066923,3040.0,-679578.4360274622,3100.0,-2042867.1748600502
2021-10-04,2021-10-04,3189.78,3191.7,3300.0,4150000.7401943225,3000.0,-3424839.4544250015,3295.0,-532435.0020742151,3060.95,,3318.61,,3400.0,2126097.5736310305,3200.0,483878.4538958522,3310.0,989414.474295165,3400.0,2126097.5736310305,3150.0,-2962244.23440256,3100.0,-2999393.9512178786,3270.0,-1474326.0461131025,3280.0,-1404425.3529351673,3220.0,-1141211.277468218,3350.0,1110701.0385740988,3340.0,-842798.7292879345,3420.0,-659478.1092265727,3380.0,-599617.4952676708,3345.0,-739187.3844274004
2021-10-05,2021-10-05,3221.0,3220.99,3300.0,6039522.908307092,3000.0,-3470582.227384577,3290.0,-70548.8184386619,3114.01,,3327.99,,3300.0,6039522.908307092,3175.0,-1276613.2604257355,3245.0,-470396.1168736421,3300.0,6039522.908307092,3150.0,-3041753.2064782204,3200.0,2581720.238311957,3270.0,-1450135.2334722632,3250.0,1731298.119833286,3280.0,-1175740.2356752278,3400.0,2719926.6813738137,3350.0,1802921.9470646866,3100.0,-3069403.357114695,3340.0,-827898.034656954,3420.0,-740749.9265047385
2021-10-06,2021-10-06,3262.01,3263.2,3300.0,8185454.474037286,3000.0,-2998384.842190551,3285.0,-199158.55912722135,3177.34,,3346.68,,3300.0,8185454.474037286,3235.0,-2336211.545507731,3240.0,-2899763.7995566623,3300.0,8185454.474037286,3200.0,1655234.3921831828,3270.0,-775468.6230711846,3280.0,-1119819.4921572201,3250.0,2106950.097495479,3275.0,-1043342.5815318812,3400.0,3074715.2072664793,3350.0,2785305.287773852,3150.0,-2846940.372915211,3380.0,1271826.8960177351,3100.0,-2657490.5568937934
2021-10-08,2021-10-08,3288.62,3290.57,3300.0,7174780.711082927,3150.0,-2687218.0677580694,3290.0,-800608.5122024086,3158.34,,3418.9,,3300.0,7174780.711082927,3375.0,-738367.7466706352,3185.0,-286865.3201839787,3300.0,7174780.711082927,3400.0,3864730.9381258194,3200.0,1954376.8429235118,3350.0,2967144.2747891746,3270.0,-1405268.1161374138,3340.0,-994356.9542172657,3500.0,3439785.8733607046,3420.0,-952113.5996553686,3100.0,-2246941.495298797,3450.0,888455.0599110157,3140.0,-750866.4114877088
2021-10-11,2021-10-11,3246.3,3245.15,3300.0,7265576.082639568,3150.0,-3104448.2595136636,3290.0,-866711.5847209619,3125.76,,3366.84,,3300.0,7265576.082639568,3180.0,-1941579.7659701093,3195.0,-1124138.5198188066,3300.0,7265576.082639568,3200.0,2582489.576473283,3350.0,2055726.8276984273,3270.0,-1497158.5780924899,3340.0,-1015792.4704638458,3280.0,-1582391.4515178886,3400.0,2849821.398580862,3100.0,-2666346.2863865085,3420.0,-732511.5205768698,3450.0,620363.6255070551,3380.0,-620126.2237959119
2021-10-12,2021-10-12,3247.33,3247.33,3300.0,7626852.385086261,3150.0,-4012317.4346868866,3280.0,-1446674.8121267948,3145.76,,3348.9,,3300.0,7626852.385086261,3150.0,-4012317.4346868866,3245.0,-1296713.0441369954,3300.0,7626852.385086261,3270.0,-1281413.9052380682,3200.0,1115181.3999788675,3340.0,-841823.476625758,3220.0,-1686778.1681724642,3240.0,-1350451.825161259,3400.0,3292046.3520885007,3370.0,-965127.7126147539,3100.0,-2989064.9279634403,3450.0,892350.9721161653,3350.0,281525.2966256103
2021-10-13,2021-10-13,3284.28,3285.0,3300.0,13789244.722530117,3150.0,-3007592.116791767,3290.0,-567907.8086491381,3208.91,,3359.65,,3300.0,13789244.722530117,3350.0,476859.3888512166,3245.0,-1225881.063466826,3300.0,13789244.722530117,3270.0,-1183182.9706012947,3310.0,4929810.245966573,3250.0,1001687.0101737613,3280.0,-1333572.34102985,3220.0,-1683788.1339024662,3400.0,4776839.215001143,3200.0,561285.8359790258,3370.0,-1176213.7256582829,3420.0,-773736.504973865,3390.0,2369603.6185321235
2021-10-14,2021-10-14,3299.86,3299.88,3300.0,22459004.15515014,3150.0,-2682346.1414985415,3280.0,-1782600.068171058,3248.54,,3351.18,,3300.0,22459004.15515014,3370.0,-797935.9495213705,3280.0,-1782600.068171058,3300.0,22459004.15515014,3350.0,2035710.61959286,3310.0,9464728.15250918,3250.0,-1553739.5534910497,3270.0,-1782282.257536077,3320.0,3285778.255538744,3400.0,5973982.732356258,3200.0,-265561.3063952755,3390.0,2090728.3123100682,3380.0,613392.608765686,3375.0,603267.5977580245
2021-10-15,2021-10-15,3409.02,3409.23,3550.0,7162660.615179284,3000.0,-2019285.220885492,3295.0,-944391.6830383688,3293.45,,3524.59,,3550.0,7162660.615179284,3420.0,-1581367.466507937,3295.0,-944391.6830383688,3550.0,7162660.615179284,3400.0,5641571.155003024,3500.0,5372419.027018938,3300.0,1405467.3174830654,3350.0,2348500.2304057525,3450.0,1739230.2299157227,3200.0,-1179490.3670777075,3600.0,4387557.315681502,3270.0,-1324634.0273581115,3250.0,-1427390.4145333932,3280.0,-633002.6844749666
2021-10-18,2021-10-18,3446.74,3446.01,3500.0,10863234.460335027,3000.0,-1881319.7666473647,3345.0,-106245.42693773612,3339.64,,3553.84,,3500.0,10863234.460335027,3420.0,-1637956.3701422485,3295.0,-1001464.3508682309,3500.0,10863234.460335027,3400.0,7441481.790184106,3550.0,7308771.697765825,3450.0,5184665.726222151,3350.0,1843275.413528481,3415.0,1792583.2220519711,3600.0,5564134.621921867,3300.0,-611872.9715837459,3250.0,-1313143.1892847675,3270.0,-1333405.922503186,3280.0,-646830.2689167378
2021-10-19,2021-10-19,3444.15,3444.47,3500.0,14645218.39901006,3420.0,-2481707.0107301897,3395.0,-315071.7061057994,3354.42,,3533.88,,3500.0,14645218.39901006,3420.0,-2481707.0107301897,3395.0,-315071.7061057994,3500.0,14645218.39901006,3400.0,5695853.014028935,3450.0,6388002.53770307,3415.0,1915525.289136516,3475.0,2257256.095638499,3430.0,1435837.4475010047,3550.0,6866719.088632345,3300.0,-1330732.05360294,3600.0,5357148.976955809,3350.0,797889.5855753081,3270.0,-1361035.7687866767
2021-10-20,2021-10-20,3415.06,3414.83,3500.0,11406888.217868958,3420.0,-3717167.204555852,3395.0,-749914.797634795,3342.04,,3488.08,,3500.0,11406888.217868958,3420.0,-3717167.204555852,3395.0,-749914.797634795,3500.0,11406888.217868958,3400.0,5643717.980212265,3450.0,6920262.856469973,3350.0,1075103.3382044816,3380.0,-1733192.2740616777,3475.0,2772789.356337753,3300.0,-1510343.3650619232,3550.0,4793579.6099676285,3270.0,-1460091.7195240885,3280.0,-815377.2295873804,3295.0,-1190614.8792840925
2021-10-21,2021-10-21,3435.01,3435.01,3500.0,14895617.304917945,3420.0,-4330516.420572949,3395.0,-740756.2043175559,3383.02,,3487.0,,3500.0,14895617.304917945,3420.0,-4330516.420572949,3395.0,-740756.2043175559,3500.0,14895617.304917945,3400.0,4650090.005394809,3450.0,10441102.498274626,3430.0,2626513.1367430463,3475.0,3925736.122512991,3455.0,4419568.972069862,3360.0,-737139.111523705,3380.0,-1518299.7344874009,3350.0,-203608.6278897335,3370.0,-497987.18033278396,3355.0,-544637.8342543071
2021-10-22,2021-10-22,3335.55,3335.52,3500.0,4345175.519729914,3000.0,-2410534.557624364,3395.0,-67629.10647638119,3212.99,,3458.11,,3500.0,4345175.519729914,3250.0,-1963137.1895936208,3395.0,-67629.10647638119,3500.0,4345175.519729914,3300.0,-2080726.1609818821,3270.0,-1524315.8324527582,3400.0,2187552.3061662284,3295.0,-1220642.424823802,3380.0,-756844.5735569075,3150.0,-2051340.942916396,3200.0,-1946102.825139217,3550.0,1562518.3735645069,3140.0,-1052668.3217229692,3100.0,-1825173.4236324923
2021-10-25,2021-10-25,3320.37,3322.4,3500.0,4516253.4101333385,3000.0,-2717498.8960655537,3395.0,-65686.94991122099,3211.9,,3428.84,,3500.0,4516253.4101333385,3250.0,-2498306.4318227293,3360.0,-111067.88683851229,3500.0,4516253.4101333385,3270.0,-1758268.7398567854,3400.0,2798482.0517728846,3300.0,-1281630.1691212456,3295.0,-1323285.6041677482,3340.0,-863254.3392510794,3150.0,-2000294.3942056873,3200.0,-2450617.7387952395,3140.0,-1440267.9683426353,3195.0,-507602.06589708716,3450.0,2319248.4259100948
2021-10-26,2021-10-26,3376.07,3375.89,3500.0,6537566.686692821,3000.0,-2447210.313285389,3395.0,-36332.912113851904,3280.8,,3471.34,,3500.0,6537566.686692821,3250.0,-2360660.953339366,3360.0,-37504.705737231976,3500.0,6537566.686692821,3400.0,4080360.886694731,3450.0,2684065.6810075743,3300.0,-1200195.646942367,3295.0,-1342703.980300304,3340.0,-720561.2029517114,3200.0,-2203934.462516248,3270.0,-1721579.403512366,3550.0,1975222.606201095,3275.0,-905365.3604443598,3240.0,-814575.9880195713
2021-10-27,2021-10-27,3392.49,3393.33,3500.0,6830663.205964647,3000.0,-2287172.35936564,3395.0,-46662.82599462988,3313.0,,3471.98,,3500.0,6830663.205964647,3250.0,-2249304.33844079,3360.0,-91037.3742622089,3500.0,6830663.205964647,3400.0,3869709.4348847363,3450.0,2546603.27987414,3340.0,-744008.7064305745,3380.0,-436427.49773527327,3350.0,-542148.3369965944,3550.0,2225926.8576198686,3270.0,-1670851.1487716518,3300.0,-1208625.637578169,3295.0,-1347577.6369469045,3275.0,-904088.6936002851
