session_date,eod_date,spot_eod,spot_intraday,cr,cr_gex,ps,ps_gex,hvl,hvl_gex,d1_min,d1_min_gex,d1_max,d1_max_gex,cr0,cr0_gex,ps0,ps0_gex,hvl0,hvl0_gex,gw0,gw0_gex,gex_1,gex_1_gex,gex_2,gex_2_gex,gex_3,gex_3_gex,gex_4,gex_4_gex,gex_5,gex_5_gex,gex_6,gex_6_gex,gex_7,gex_7_gex,gex_8,gex_8_gex,gex_9,gex_9_gex,gex_10,gex_10_gex
2024-07-01,2024-07-01,,,85.0,74741426.81391992,78.0,-16065849.650806112,79.75,-373125.3927202559,82.11,,84.65,,84.0,65914687.68552581,83.0,20952475.95263584,83.0,20952475.95263584,84.0,65914687.68552581,82.5,38318512.030412845,83.5,25018646.651734743,84.5,20378715.540303547,82.75,915013.524825062,84.25,1544249.364319725,82.0,33197696.46010593,81.0,14144672.459569257,85.5,12968591.4937919,81.5,-2275824.459890575,81.75,818386.8091080659
2024-07-02,2024-07-02,,,85.0,75384905.63390511,78.0,-16243507.954678444,79.75,-419865.3902969725,82.03,,84.31,,84.0,70254544.52090462,83.0,9590641.154475927,83.25,-1307699.5473550109,84.0,70254544.52090462,82.5,31988754.45789161,83.5,34498376.40651174,82.25,-5234945.593754963,84.25,4446101.066835383,82.75,-1517654.5036652745,82.0,27713325.66127557,81.0,11185413.505346414,84.5,25838674.99153397,81.5,-4025712.467147716,81.75,544962.3084834118
2024-07-03,2024-07-03,,,85.0,106381191.6889759,78.0,-12306558.524250412,81.5,-6907965.888575043,82.54,,84.66,,84.0,63342209.75751439,82.0,26833322.471726257,83.25,-928480.168878861,84.0,63342209.75751439,83.0,33744630.32798608,83.5,37393469.04885678,84.5,31634870.100288693,84.25,3556173.0102395625,82.75,788203.1939014693,82.5,38679922.42755566,85.5,17324271.317748293,84.75,1565480.6013444967,81.75,96452.64534564829,85.25,600126.4859192822
2024-07-05,2024-07-05,,,85.0,109348506.84932914,78.0,-11917915.321414234,79.75,-210645.20956188123,82.43,,84.45,,84.0,62612236.46522897,82.25,-1166912.843784561,82.25,-1166912.843784561,84.0,62612236.46522897,82.5,45126379.62118503,83.0,40225869.188028194,83.5,38934596.39463907,82.75,333634.87215299666,84.25,969828.5226461104,82.0,34738788.25053453,84.5,28969017.39078177,81.5,-6149925.900758331,81.75,684864.1623585587,84.75,566117.6305622326
2024-07-08,2024-07-08,,,85.0,80649629.25135522,78.0,-18702064.10984437,81.75,-829789.3008676135,81.17,,83.27,,84.0,47169350.47202809,82.0,36339279.60026163,82.25,-1737506.5277463328,84.0,47169350.47202809,82.5,40899094.20351499,83.0,37116608.48532375,81.5,-7484408.96949813,81.25,-1452443.2441921055,82.75,-302286.07395258726,83.5,38967253.7833285,81.0,-5851148.08573456,80.5,-15542924.42103202,83.75,308031.4186914817,80.75,-946372.7296348468
2024-07-09,2024-07-09,,,84.0,63323253.38604854,79.0,-35874773.71782868,81.75,-1587186.6316996743,80.78,,82.84,,83.0,40252685.051301874,82.0,37110339.28646786,82.0,37110339.28646786,83.0,40252685.051301874,82.5,43535999.671210885,81.5,-5165817.151325876,82.75,5880183.893789627,81.0,-42787.40232729912,82.25,-375168.0518354888,80.0,20119175.45558057,83.5,37610616.72057558,80.5,-20168194.159781065,80.75,-5528305.874713525,83.75,608109.22535003
2024-07-10,2024-07-10,,,85.0,84361935.42282851,79.0,-31164540.02952119,81.75,-431006.35708589846,81.43,,83.39,,83.5,47939148.20248971,81.0,-8636103.04879473,82.5,53649365.14159092,83.5,47939148.20248971,82.0,39336224.63609402,83.0,50278279.74771932,81.5,-11342281.651504133,82.75,9034216.661715772,83.25,1294665.657561744,80.5,-17313464.23365221,84.0,80000169.3677403,80.75,-4603077.442731416,84.25,1201265.0796529665,83.75,1625609.8179536497
2024-07-11,2024-07-11,,,85.0,101277221.92360896,79.0,-23454246.15592085,81.75,-1908253.925000406,81.88,,83.8,,83.0,81489524.72691043,81.0,-10830335.609177032,82.5,40778418.628699824,83.0,81489524.72691043,82.0,32856204.80988183,83.5,64073760.531234026,82.75,10954007.972025722,83.25,9008227.174287222,83.75,3196067.59893797,84.0,89861366.46613045,81.5,-10777510.10695067,84.5,32061419.66549967,84.25,1454131.711077302,81.25,-285249.6495035056
2024-07-12,2024-07-12,,,83.0,66821005.06552684,79.0,-30991696.717983104,81.5,-11723217.996467598,81.22,,83.14,,82.75,6304931.2917746,82.0,40487894.78962342,82.5,50892119.21261976,82.75,6304931.2917746,81.75,250829.72326090213,82.25,-63086.27939289343,81.25,-81393.27682950124,84.0,66663847.33179496,83.5,48013203.830340005,80.5,-18681864.05916769,81.0,-4412481.259609967,80.75,-3515339.827592163,83.25,581572.1398620128,83.75,687533.351416059
2024-07-15,2024-07-15,,,85.0,124663991.67301196,75.0,-25778291.98119518,78.75,-329189.2347303244,79.83,,81.95,,81.25,13776111.429065453,79.0,4289124.581525409,80.0,27509211.03663945,81.25,13776111.429065453,81.5,32824089.82604644,81.0,13546424.407201162,80.5,1499562.6723571855,80.25,-2382911.5464121643,80.75,-1268999.604371905,83.0,39796427.98458575,82.0,14532646.89499222,79.5,2564313.395353239,82.5,7805452.76357577,79.75,-1346712.8296445794
