date,bl_1,bl_2,bl_3,bl_4,bl_5,bl_6,bl_7,bl_8,bl_9,bl_10
2025-09-30,6682.65,6792.37,6772.94,6750.41,6828.25,6724.25,6813.56,6549.46,6652.5,6766.71
2025-10-01,6818.02,6829.65,6765.7,6778.1,6748.74,6705.92,6895.44,6798.05,6743.38,6693.87
2025-10-02,6653.12,6803.21,6824.21,6843.8,6775.35,6607.32,6748.0,6691.98,6852.68,6886.38
2025-10-03,6822.1,6799.03,6779.07,6995.64,6668.83,6809.28,6708.74,6697.33,6774.61,6547.22
2025-10-06,6847.25,6874.69,6779.88,6822.95,6809.76,6750.99,6549.62,6799.63,6792.42,6732.47
2025-10-07,6821.87,6776.06,6851.91,6700.32,6789.28,6839.29,7034.15,6876.49,6722.46,6741.27
2025-10-08,6743.83,6822.04,6796.29,6870.27,6771.64,6851.03,6858.61,6544.75,6608.68,6691.71
2025-10-09,6774.38,6720.24,6876.06,6837.36,6940.12,6667.62,6747.19,6805.66,6827.44,6847.01
2025-10-10,7011.46,6643.44,6842.11,7109.9,6521.55,6667.3,6722.63,6867.93,6622.5,6584.54
2025-10-13,6692.34,6756.99,6716.02,6641.54,6512.28,6615.52,6771.81,6788.31,6930.84,6996.83
2025-10-14,6748.09,6719.87,6621.02,6770.24,6800.41,6742.01,6605.38,6642.42,6673.59,6684.93
2025-10-15,6690.77,6735.07,6646.05,6782.49,6801.17,6551.36,6701.22,6666.87,6353.08,6465.36
2025-10-16,6741.38,6778.26,6787.12,6592.19,6874.03,6763.48,6563.25,6450.48,6629.92,6601.87
2025-10-17,6657.68,6638.21,6775.0,6709.27,6661.26,6919.51,7011.88,6768.67,6879.79,7195.02
2025-10-20,6714.47,6835.62,6863.64,6790.27,6814.55,6750.9,6593.15,6684.75,6780.52,6799.94
2025-10-21,6831.07,6801.35,6712.73,6762.32,6862.78,6789.68,6672.67,6691.3,6580.89,6811.44
2025-10-22,6797.75,6758.74,6827.27,6677.08,6890.92,6743.25,6491.23,6600.59,6624.88,6647.78
2025-10-23,6786.93,6834.07,6738.0,6879.11,6600.86,6799.57,6895.13,6827.06,6589.71,6759.59
2025-10-24,6749.94,6883.42,6770.42,6827.63,6874.61,6765.49,6935.26,7171.08,7304.58,6964.08
2025-10-27,6852.11,7010.52,6965.47,7248.25,6885.86,6808.08,7001.01,6824.26,6925.45,6875.06
2025-10-28,6948.42,7026.69,6927.69,7250.32,6886.34,6629.03,6863.36,6986.05,6962.17,6823.06
2025-10-29,6902.51,6816.67,6930.93,6988.6,7186.18,6949.28,6999.71,7030.84,7059.44,7367.05
2025-10-30,6821.52,6920.69,6944.31,6756.75,6881.07,6925.82,6789.64,6693.17,6747.81,6843.18
2025-10-31,6805.09,6904.22,6935.8,6844.58,7036.09,6864.37,6835.46,6753.97,6883.29,6507.08
2025-11-03,6907.88,6901.44,6987.47,6854.22,6819.97,6791.07,6948.51,6889.35,6850.78,6799.43
