session_date,eod_date,spot_eod,spot_intraday,cr,cr_gex,ps,ps_gex,hvl,hvl_gex,d1_min,d1_min_gex,d1_max,d1_max_gex,cr0,cr0_gex,ps0,ps0_gex,hvl0,hvl0_gex,gw0,gw0_gex,gex_1,gex_1_gex,gex_2,gex_2_gex,gex_3,gex_3_gex,gex_4,gex_4_gex,gex_5,gex_5_gex,gex_6,gex_6_gex,gex_7,gex_7_gex,gex_8,gex_8_gex,gex_9,gex_9_gex,gex_10,gex_10_gex
2024-07-01,2024-07-01,,,5600.0,22526591.88918052,5400.0,-12241141.607196383,5525.0,-1360781.9720000285,5495.87,,5568.13,,5530.0,6009455.360424832,5500.0,-10800329.917096024,5525.0,-1360781.9720000285,5530.0,6009455.360424832,5550.0,15643733.05680108,5515.0,-8606045.666808147,5560.0,8985802.691734763,5510.0,-2308514.6651595235,5540.0,2173000.5271991044,5575.0,17769457.862445146,5570.0,10846454.868602296,5590.0,7224969.826298304,5475.0,-5678642.681848613,5460.0,-4172398.8588820375
2024-07-02,2024-07-02,,,5575.0,49270405.39759214,5400.0,-9727109.367532851,5545.0,-1304881.0049345712,5527.24,,5598.26,,5575.0,49270405.39759214,5540.0,-2304491.338411115,5540.0,-2304491.338411115,5575.0,49270405.39759214,5550.0,15883795.368281135,5570.0,16392692.465084529,5590.0,12784385.09466954,5580.0,15420158.38920232,5560.0,5403870.053156613,5600.0,30905118.811320752,5500.0,2620582.255587234,5630.0,15687919.438704122,5610.0,10399085.417214038,5625.0,7237305.151417861
2024-07-03,2024-07-03,,,5600.0,112014912.87591717,5400.0,-11242858.11272869,5545.0,-1436532.0648822458,5555.54,,5627.46,,5600.0,112014912.87591717,5500.0,6037008.897654292,5550.0,6285243.791218743,5600.0,112014912.87591717,5575.0,19367827.204382084,5610.0,20316902.43979336,5590.0,13977035.23802762,5620.0,13737487.82431429,5580.0,9764575.877377084,5650.0,34864657.34148451,5630.0,22347442.88413956,5640.0,8467852.388369014,5660.0,6006234.600046865,5520.0,-3459665.213646154
2024-07-05,2024-07-05,,,5650.0,41788600.35176179,5400.0,-6610431.377829717,5495.0,-315650.512534573,5578.54,,5651.46,,5630.0,24850039.80076265,5490.0,-1324929.9533390158,5520.0,-916911.2752418788,5630.0,24850039.80076265,5600.0,27069279.875557408,5610.0,14685062.578016022,5590.0,10050872.303007996,5620.0,12806438.56987228,5625.0,11694374.930114768,5575.0,13246401.565483157,5550.0,5303749.602522912,5675.0,9413615.007556798,5670.0,7469287.468882853,5660.0,7041047.024185776
2024-07-08,2024-07-08,,,5650.0,49443419.65913681,5400.0,-7509446.209463036,5565.0,-1241098.0300792265,5592.05,,5664.95,,5630.0,24582004.688754342,5610.0,4943978.099197368,5615.0,673096.0899660375,5630.0,24582004.688754342,5640.0,16159991.729529744,5660.0,18206045.864299044,5620.0,9653877.826271905,5600.0,2294777.645128602,5625.0,9753726.887980476,5700.0,21542519.310808297,5575.0,10038115.18868931,5675.0,13075387.9751026,5680.0,13864972.309362495,5670.0,10520136.05459439
2024-07-09,2024-07-09,,,5700.0,22800271.43075308,5400.0,-7534541.247741981,5605.0,-2954423.046344256,5595.24,,5668.76,,5640.0,15053313.7748808,5650.0,18724250.01509349,5650.0,18724250.01509349,5640.0,15053313.7748808,5660.0,15709697.676957358,5600.0,-3850269.460349711,5610.0,6783394.5870397575,5630.0,-4967647.936880575,5625.0,6735607.540036411,5575.0,7874754.616476241,5675.0,13354376.347862177,5670.0,12404414.080738872,5680.0,12108975.029780231,5590.0,2703221.4518282
2024-07-10,2024-07-10,,,5750.0,26248981.706349,5650.0,-23869535.33107081,5650.0,-23869535.33107081,5647.29,,5721.71,,5725.0,15514181.837627508,5700.0,1046829.3012468736,5700.0,1046829.3012468736,5725.0,15514181.837627508,5710.0,21586446.58459877,5660.0,11895274.603249872,5670.0,10096072.764330406,5720.0,11682282.773136713,5690.0,8524753.51531946,5730.0,25770925.562990528,5630.0,10297478.195614018,5640.0,7659017.604588008,5620.0,2927161.9818520867,5625.0,1880081.089910028
2024-07-11,2024-07-11,,,5700.0,24871926.2688144,5650.0,-24017037.880670123,5650.0,-24017037.880670123,5602.53,,5677.47,,5660.0,11763328.252495255,5650.0,-24017037.880670123,5675.0,-5597601.905921692,5660.0,11763328.252495255,5630.0,11894062.87660668,5640.0,5528943.277001538,5610.0,791593.1021076024,5670.0,7105219.175791936,5645.0,-2523082.310187567,5600.0,-22460522.335162465,5575.0,3606234.037229283,5710.0,11160876.88271716,5680.0,8001613.342674319,5690.0,7369455.5505112
2024-07-12,2024-07-12,,,5650.0,30490810.99004791,5400.0,-6820065.564071586,5565.0,-531662.9968037425,5631.29,,5703.71,,5650.0,30490810.99004791,5640.0,7310998.625863709,5645.0,-363699.1309560044,5650.0,30490810.99004791,5700.0,28631350.890817493,5675.0,9799864.643317088,5660.0,7843014.538139136,5670.0,8032166.732590654,5680.0,7900574.088560211,5630.0,12856782.550333897,5710.0,13338222.676877672,5730.0,10968523.584761778,5725.0,9199093.71186425,5720.0,9423567.277257808
2024-07-15,2024-07-15,,,5700.0,22692378.89002737,5600.0,-12006132.012001842,5625.0,-2073794.9877111705,5649.8,,5726.7,,5700.0,22692378.89002737,5650.0,15652587.691703796,5685.0,-9112.749621785391,5700.0,22692378.89002737,5720.0,16999511.217555504,5710.0,10853929.996490115,5725.0,9719703.823760968,5670.0,5195744.036242309,5675.0,4929009.837551172,5750.0,19450022.165369604,5640.0,10437148.950790895,5630.0,8830401.71510685,5730.0,12186530.730101837,5740.0,8286642.453473931
