date,bl_1,bl_2,bl_3,bl_4,bl_5,bl_6,bl_7,bl_8,bl_9,bl_10
2025-09-30,3917.41,3867.71,4017.57,3845.33,3799.1,3826.83,3644.94,3819.82,3879.05,3985.44
2025-10-01,3712.06,3870.64,3715.62,3799.9,3909.94,3958.1,3960.1,3856.01,3859.92,3846.32
2025-10-02,3768.8,3880.8,3799.51,3776.87,3935.76,3951.12,3852.61,3962.44,3654.1,3864.32
2025-10-03,3894.43,3929.66,3841.51,3921.53,3644.34,3668.14,4027.9,3976.18,3885.31,4123.15
2025-10-06,3968.09,3882.13,3917.03,3623.57,3738.05,4161.38,3971.99,4170.52,3672.62,4118.97
2025-10-07,3951.21,3931.77,4029.54,3896.57,3770.86,4184.41,4022.77,4069.73,3801.0,4006.58
2025-10-08,4114.37,4072.63,3934.37,3995.23,4232.98,3820.47,3972.52,3447.91,3908.38,3883.0
2025-10-09,3994.06,3834.5,4008.46,3964.8,3899.42,4122.33,4046.5,3751.54,3902.85,3941.31
2025-10-10,4017.0,3931.22,3921.91,4250.08,3933.88,4072.84,4203.3,4050.5,4092.61,4178.96
2025-10-13,4036.08,4067.33,3869.89,3777.66,3891.65,4308.05,4145.86,4358.57,4313.11,4189.18
2025-10-14,4124.36,4360.8,4161.39,4119.78,4483.67,4085.49,3936.79,4204.19,4240.38,4043.14
2025-10-15,4215.06,4105.75,4161.28,4246.33,4249.03,4275.13,4110.8,4116.06,4143.93,4206.25
2025-10-16,4231.29,4165.14,4420.24,4149.32,4139.9,4307.65,4333.92,4435.27,4408.14,4369.63
2025-10-17,4480.06,4208.94,4273.89,4533.69,4269.58,4059.18,4865.09,4515.64,4485.27,4472.3
2025-10-20,4256.37,4529.29,4242.86,4119.1,4159.73,4501.54,4053.43,4439.11,4962.29,4580.96
2025-10-21,3887.57,4613.86,4233.05,4211.01,4047.31,4312.55,4014.39,4080.41,4484.94,4301.38
2025-10-22,4211.35,4220.32,4135.03,4240.79,4087.18,4035.88,4025.75,4144.0,5114.27,4164.32
2025-10-23,4085.71,4008.68,4198.33,3970.7,4134.41,4143.88,4307.51,4231.08,3995.27,4203.16
2025-10-24,4133.91,4063.91,4159.35,4451.03,4046.49,4085.04,4105.41,4388.74,3786.59,4284.62
2025-10-27,3947.5,4240.6,4131.45,4125.33,4387.31,4278.51,3899.5,4213.61,4024.64,4081.62
2025-10-28,3912.75,4050.67,3987.54,3952.12,4240.28,3856.29,3800.82,4042.93,4096.92,4128.05
2025-10-29,4063.93,4290.38,4253.07,3967.66,3953.14,4066.82,4041.01,4053.29,4103.46,4139.79
2025-10-30,3945.17,4116.2,3936.59,3897.86,4059.48,3933.74,3959.9,3979.12,4105.32,4131.78
2025-10-31,3961.91,4249.72,4200.2,4034.52,4085.08,3884.93,4209.4,5183.81,4378.27,4283.78
2025-11-03,4000.93,4104.41,4235.48,4128.35,3982.62,3788.0,3949.06,4017.49,3871.96,3691.75
2025-11-04,3988.09,4304.48,3763.12,3863.29,4042.37,4127.19,4204.85,4392.24,4140.77,4362.79
2025-11-05,4110.63,4129.15,3885.6,4047.02,3987.21,3830.28,4006.72,4057.58,3997.76,4003.3
2025-11-06,3935.75,3873.85,4086.47,4050.59,3913.25,3968.43,4008.32,3880.49,3964.54,4022.85
2025-11-07,3997.63,3692.58,4050.46,4001.37,3955.77,3868.79,4125.64,3989.26,4018.6,4077.89
2025-11-10,4040.9,4018.08,3897.59,4193.44,4139.96,4115.33,4085.21,3788.97,3998.83,4006.76
2025-11-11,4013.19,4064.39,4222.28,4144.05,4163.65,4108.84,4283.66,4049.61,3927.36,3899.63
2025-11-12,4117.52,4041.87,4291.66,4096.09,4361.53,4139.75,4165.58,4174.12,4372.89,4368.42
2025-11-13,4183.76,4157.73,4034.91,4079.86,4075.38,4246.58,4199.57,4267.31,4298.85,4306.76
2025-11-14,4194.9,4188.4,4004.3,4142.55,4132.77,3817.69,4120.34,4306.18,4110.22,3696.7
2025-11-17,4076.34,4023.13,3969.18,3859.66,4001.71,4177.17,4069.31,4187.93,4446.04,4210.64
2025-11-18,3977.15,3944.93,4084.22,4029.73,4168.34,4007.72,3865.03,3877.62,4268.88,3986.35
2025-11-19,4199.42,4382.94,4158.16,3923.28,3920.13,4138.73,4174.64,4094.4,4007.75,4152.89
2025-11-20,4172.21,4062.09,3950.43,4116.04,4157.98,4107.44,4071.47,3939.81,4007.1,4023.59
2025-11-21,4153.82,4119.91,4031.4,4098.88,4314.4,4020.52,4125.96,4398.5,4045.13,3846.78
2025-11-24,4017.8,4187.01,4306.63,4163.52,4114.69,4099.67,3832.6,4090.99,3879.87,4124.37
2025-11-25,4125.27,4233.2,4319.71,3964.95,3967.96,4241.82,3959.16,4133.42,4149.69,4362.52
2025-11-26,4087.79,4097.34,4113.73,4141.61,4151.88,4310.99,3912.62,4239.64,3952.79,4018.39
2025-11-28,4052.24,4275.04,3975.49,4081.16,3985.56,4110.55,4163.54,4170.42,4426.09,3877.28
2025-12-01,4005.39,4240.62,4249.11,4188.94,4111.19,4466.79,4201.16,4461.66,4384.67,4351.02
2025-12-02,4131.22,4239.35,4163.75,4351.6,4189.76,3884.48,4215.69,3945.89,4081.06,4235.04
2025-12-03,4215.18,4146.96,4344.61,4053.52,4276.86,4042.26,4102.26,4121.96,4356.36,4335.18
2025-12-04,4295.97,4115.95,4271.78,4133.47,4143.83,4219.21,4243.33,4263.86,4269.31,4165.23
2025-12-05,4366.8,4209.58,4106.89,3992.33,4263.11,4164.5,4491.43,4194.45,4258.68,3899.27
2025-12-08,4235.01,4187.56,4139.92,3965.4,4409.21,4280.2,4193.95,4208.06,4243.19,4289.46
2025-12-09,4235.47,4365.43,4225.18,4368.61,4393.01,4273.51,4157.54,4112.68,4004.01,4247.89
