session_date,eod_date,spot_eod,spot_intraday,cr,cr_gex,ps,ps_gex,hvl,hvl_gex,d1_min,d1_min_gex,d1_max,d1_max_gex,cr0,cr0_gex,ps0,ps0_gex,hvl0,hvl0_gex,gw0,gw0_gex,gex_1,gex_1_gex,gex_2,gex_2_gex,gex_3,gex_3_gex,gex_4,gex_4_gex,gex_5,gex_5_gex,gex_6,gex_6_gex,gex_7,gex_7_gex,gex_8,gex_8_gex,gex_9,gex_9_gex,gex_10,gex_10_gex
2024-07-01,2024-07-01,,,2450.0,5104866.58652396,2300.0,-5252279.123999938,2335.0,-120781.97261631908,2322.48,,2361.32,,2340.0,2345743.7928027194,2310.0,-2109601.95125778,2335.0,-120781.97261631908,2340.0,2345743.7928027194,2350.0,4348342.80918532,2360.0,3071462.913887877,2325.0,-2308107.7208438045,2355.0,1876464.3857186865,2330.0,-533519.2965782897,2370.0,2680321.949035846,2375.0,3006704.6902717254,2365.0,1310658.5285036536,2320.0,-1436663.3023313698,2315.0,-1229304.855223995
2024-07-02,2024-07-02,,,2450.0,4758264.772080219,2300.0,-5868934.316212225,2335.0,-413362.2652717211,2320.0,,2357.2,,2350.0,4084282.699364045,2325.0,-3001482.184928312,2335.0,-413362.2652717211,2350.0,4084282.699364045,2340.0,3521125.14023663,2355.0,2286707.18556984,2330.0,-742895.6854644755,2345.0,702149.6225556495,2360.0,3215827.402786272,2370.0,2362533.367624027,2375.0,2790242.3256553933,2365.0,1406850.2075814372,2310.0,-1906506.8919084724,,
2024-07-03,2024-07-03,,,2450.0,7400255.551394607,2300.0,-3809137.689098729,2335.0,-258219.63141035943,2345.61,,2385.19,,2385.0,2067765.7661706011,2290.0,-763134.5723629112,2335.0,-258219.63141035943,2385.0,2067765.7661706011,2370.0,3457424.901471488,2350.0,1637904.5061610702,2375.0,3519387.209326385,2360.0,1927547.327805256,2365.0,1287924.3929902837,2400.0,6857136.210678791,2340.0,909348.38705099,2390.0,1361761.1955436822,2395.0,1077794.3862497995,2345.0,199566.8903376601
2024-07-05,2024-07-05,,,2450.0,10623234.353924626,2300.0,-2139309.303094421,2335.0,-77783.74873228339,2378.66,,2420.94,,2375.0,2530077.428569042,2300.0,-2139309.303094421,2325.0,-1193326.975495034,2375.0,2530077.428569042,2400.0,7204540.731238082,2420.0,3472595.263523112,2405.0,1496293.8057514108,2385.0,1390356.7663511834,2380.0,1049580.3564362847,2370.0,2668533.5927903284,2425.0,2832248.336369864,2360.0,1215846.0346948372,2430.0,2527064.613256739,2365.0,1043084.1319909856
2024-07-08,2024-07-08,,,2400.0,8799772.06788726,2300.0,-3231519.4934315598,2355.0,-701693.7039492829,2345.83,,2386.97,,2400.0,8799772.06788726,2340.0,-467430.1485043509,2370.0,3111543.9014697764,2400.0,8799772.06788726,2375.0,2582245.316942232,2360.0,1112118.567884738,2350.0,401806.7504535675,2385.0,1705201.1873457192,2380.0,632902.4107630833,2330.0,-3213973.9805051005,2405.0,1667327.6929395231,2335.0,-819161.2446537558,2395.0,1465951.3475597247,2390.0,1216354.3334130724
2024-07-09,2024-07-09,,,2400.0,9368424.414802972,2300.0,-2882450.6544883777,2355.0,-1147407.2441148094,2351.25,,2390.95,,2370.0,4796905.119521857,2365.0,-29633.939958172487,2365.0,-29633.939958172487,2370.0,4796905.119521857,2375.0,2683705.338688848,2385.0,2667268.948363506,2360.0,1121365.85126658,2390.0,1433182.999041665,2380.0,1004821.5530736032,2350.0,-683020.6052054651,2405.0,2130375.1296733944,2410.0,1682346.0054828364,2335.0,-802507.7294372021,2395.0,1895167.4255710384
2024-07-10,2024-07-10,,,2400.0,10489278.90687577,2330.0,-2737768.6128587755,2355.0,-770394.7312199022,2357.7,,2398.1,,2400.0,10489278.90687577,2365.0,643687.8340341542,2365.0,643687.8340341542,2400.0,10489278.90687577,2370.0,3084009.1444108365,2375.0,2076427.881368668,2360.0,1021811.0228585812,2385.0,1494616.4813613915,2395.0,1317736.313999029,2405.0,2362822.329987984,2350.0,-376444.1085321348,2410.0,2180983.098453892,2415.0,1595524.95680079,2345.0,-643206.8855226028
2024-07-11,2024-07-11,,,2450.0,13841159.817442164,2330.0,-1232962.5974926902,2345.0,-153393.70861135088,2399.33,,2442.47,,2400.0,7474049.231489329,2360.0,247560.24865796295,2375.0,1028561.3776857724,2400.0,7474049.231489329,2425.0,4875963.50037531,2420.0,3632699.041573908,2430.0,4247639.548936156,2405.0,2633534.350677084,2410.0,2403600.8117042906,2455.0,1727963.6380571895,2460.0,2094373.597585766,2385.0,755382.5712182065,2445.0,1340543.2173097385,2395.0,644307.6062260602
2024-07-12,2024-07-12,,,2450.0,13708690.393060116,2330.0,-1170115.8514346264,2345.0,-123218.58038418384,2396.25,,2435.75,,2430.0,4170212.217599815,2390.0,-270842.51840912946,2400.0,6895444.598899782,2430.0,4170212.217599815,2425.0,3824642.975540682,2420.0,2979976.4251505323,2405.0,2899892.4222372025,2435.0,2176754.9900544514,2410.0,1822618.2517611547,2440.0,2344583.9753845725,2455.0,1540644.9443531884,2385.0,853947.4223036682,2445.0,1041883.3443252136,2395.0,578642.2740152202
2024-07-15,2024-07-15,,,2450.0,15455709.916225832,2300.0,-743725.9432373017,2345.0,-101365.75389530348,2405.26,,2449.54,,2430.0,3101829.438801674,2420.0,3263748.410289969,2420.0,3263748.410289969,2430.0,3101829.438801674,2425.0,4093735.978934445,2440.0,3478527.4249817883,2435.0,1883778.2124704127,2445.0,1705357.923701211,2415.0,1179298.257026639,2400.0,4362548.172388806,2455.0,1935533.7880355932,2460.0,2409811.6877425285,2465.0,1681914.3096192507,2385.0,542595.7793851339
2024-07-16,2024-07-16,,,2450.0,11267113.330708494,2300.0,-390834.31351899856,2345.0,-42161.19689495344,2448.19,,2499.01,,2480.0,2791506.0312890047,2440.0,1731425.7662360528,2440.0,1731425.7662360528,2480.0,2791506.0312890047,2475.0,3913538.16372394,2470.0,2826410.621503281,2465.0,2067013.811047768,2490.0,2099726.216636469,2485.0,2014941.6803739856,2500.0,10215992.694996271,2425.0,1697777.934948974,2515.0,2736214.54759331,2430.0,1203169.259350033,2505.0,2105156.476873916
2024-07-17,2024-07-17,,,2450.0,9866089.36322998,2455.0,-1303993.510701316,2355.0,-17896.90695453651,2438.93,,2487.27,,2480.0,2053410.4767186907,2455.0,-1303993.510701316,2455.0,-1303993.510701316,2480.0,2053410.4767186907,2440.0,1744408.9709182545,2470.0,2203595.2457105145,2475.0,2248528.418560245,2465.0,1609342.2421732682,2445.0,960497.6612061592,2500.0,8276312.997662039,2420.0,1012789.933135672,2430.0,1340609.2513511674,2425.0,540706.7445861952,2505.0,1934248.7585993365
2024-07-18,2024-07-18,,,2450.0,10113978.50751034,2415.0,-523739.1251383566,2345.0,-45941.14177233644,2425.3,,2470.5,,2470.0,2281362.7256586542,2435.0,-58173.579810534255,2455.0,1239711.8255498183,2470.0,2281362.7256586542,2440.0,2210156.0250241016,2430.0,1566970.3881150105,2445.0,1114431.076935746,2465.0,1432840.6762704018,2460.0,891623.5459057634,2420.0,1271512.1903523216,2425.0,912063.7018486682,2480.0,1419619.0841870955,2405.0,395701.4123297375,2410.0,-242911.8899844929
2024-07-19,2024-07-19,,,2450.0,6492018.969480859,2300.0,-994791.9639986393,2345.0,-124548.42114830302,2380.06,,2425.54,,2385.0,468593.54182462266,2400.0,1498446.401530739,2445.0,696923.5675397516,2385.0,468593.54182462266,2425.0,1184670.6897194115,2420.0,1719328.169172821,2410.0,-373723.05305918073,2390.0,290541.6974651158,2415.0,-284072.7069811592,2370.0,1723605.2848375891,2375.0,905217.7993645011,2360.0,344458.5265755529,2365.0,410055.31035142014,2440.0,1637013.5436983549
2024-07-22,2024-07-22,,,2450.0,5048309.435085354,2380.0,-1176242.9435187604,2355.0,-297609.03740571544,2373.65,,2422.75,,2400.0,4821198.483129766,2375.0,1055730.4328465273,2390.0,-77407.94711915728,2400.0,4821198.483129766,2420.0,2066148.8813002135,2410.0,595238.4456586473,2385.0,521226.9320367127,2415.0,322878.08227984625,2405.0,223330.96052254052,2370.0,1679184.4315609804,2350.0,-802552.9414951968,2425.0,1921712.8510351232,2360.0,614580.0891013207,2440.0,1842263.6212808683
2024-07-23,2024-07-23,,,2450.0,6665492.096967863,2395.0,-579032.4282257743,2355.0,-69080.3145394606,2387.2,,2434.0,,2420.0,2838550.661075947,2405.0,-409712.246798559,2405.0,-409712.246798559,2420.0,2838550.661075947,2400.0,5546608.77235881,2425.0,3117395.543232796,2430.0,2005426.678209589,2390.0,84320.96550533272,2415.0,494443.8757961879,2370.0,852787.8653524916,2375.0,593715.4814355944,2440.0,2538040.1889410345,2380.0,-478831.2546046472,2455.0,704428.1559093983
2024-07-24,2024-07-24,,,2400.0,3684308.014942164,2395.0,-1753758.184394081,2355.0,-80861.3362110533,2367.0,,2428.0,,2400.0,3684308.014942164,2395.0,-1753758.184394081,2355.0,-80861.3362110533,2400.0,3684308.014942164,2370.0,1499952.049476258,2375.0,1052085.0600447431,2425.0,804600.566749793,2420.0,629492.8346953602,2410.0,-360959.80079558026,2450.0,2237225.246615646,2350.0,-490945.868289805,2360.0,725547.0072963655,2440.0,941901.6905187856,2365.0,396303.7206105365
