date,bl_1,bl_2,bl_3,bl_4,bl_5,bl_6,bl_7,bl_8,bl_9,bl_10
2025-09-30,247.83,250.69,242.26,248.36,238.82,239.69,244.97,245.14,245.54,251.55
2025-10-01,241.51,244.57,250.58,247.71,246.89,248.15,246.5,253.14,252.52,243.55
2025-10-02,251.22,245.1,242.1,249.13,248.28,247.21,251.74,251.57,250.31,248.1
2025-10-03,250.57,243.18,241.97,242.18,247.34,249.78,241.16,243.47,243.69,244.27
2025-10-06,249.01,256.48,254.16,249.33,246.29,251.85,250.92,253.55,246.8,246.59
2025-10-07,246.47,248.7,247.63,249.03,243.91,250.97,249.89,244.61,250.72,250.49
2025-10-08,243.12,242.35,250.76,248.84,248.52,248.17,249.74,240.39,241.26,244.48
2025-10-09,247.63,236.87,239.36,240.77,245.96,242.72,243.76,246.3,245.21,244.38
2025-10-10,236.64,232.02,239.03,239.51,241.39,240.77,240.22,243.18,242.99,242.67
2025-10-13,248.7,245.85,242.8,246.96,244.62,248.92,243.57,240.47,240.08,241.48
2025-10-14,247.88,242.05,246.64,244.81,250.9,246.12,243.69,248.91,247.15,242.42
2025-10-15,247.58,250.51,247.95,255.73,255.18,248.84,257.14,251.04,253.11,250.17
2025-10-16,255.31,247.82,254.89,249.94,252.72,248.24,246.71,251.9,251.51,251.15
2025-10-17,256.7,249.29,254.29,257.44,258.17,257.02,248.96,249.64,251.84,248.53
2025-10-20,258.18,254.28,257.35,252.4,262.49,262.04,259.45,261.26,256.64,259.71
2025-10-22,252.96,257.4,256.73,253.26,247.58,257.72,256.43,255.36,254.75,254.01
2025-10-23,254.38,255.98,255.3,252.77,257.84,257.57,251.24,254.77,250.53,252.34
2025-10-24,265.86,257.21,254.26,261.97,262.26,263.56,265.51,256.15,256.38,258.75
2025-10-27,272.49,265.82,266.72,267.33,266.36,269.49,273.74,272.98,271.32,271.1
2025-10-28,269.75,267.03,262.49,262.78,266.17,272.5,269.0,262.29,271.0,271.27
2025-10-29,275.88,282.71,270.78,273.04,268.26,279.82,282.52,282.07,281.4,280.65
2025-10-30,282.61,278.4,288.94,281.1,286.6,282.29,278.04,276.22,279.41,281.63
2025-10-31,276.95,280.97,286.89,280.31,281.23,274.24,283.59,289.06,286.73,285.39
2025-11-03,278.12,286.26,287.54,288.89,291.64,279.03,284.19,282.1,283.14,283.57
2025-11-04,270.21,276.27,277.23,286.0,276.69,279.2,274.11,281.79,284.93,284.76
2025-11-05,278.45,288.31,285.28,289.53,276.45,283.05,291.24,287.68,283.93,279.75
2025-11-06,283.99,282.6,291.37,283.39,289.79,279.23,284.98,287.42,293.39,277.42
2025-11-07,276.42,287.77,284.08,273.32,286.65,286.15,284.36,279.95,283.34,281.92
2025-11-10,284.62,295.68,288.69,283.43,287.76,292.61,296.37,295.23,282.38,293.02
2025-11-11,294.97,289.24,283.25,295.52,294.08,293.07,294.72,283.77,299.78,298.81
2025-11-12,289.98,285.21,287.34,294.18,291.73,281.4,282.92,294.9,286.81,281.88
2025-11-13,271.28,287.0,278.07,273.62,276.54,279.31,284.56,280.54,284.98,271.67
