date,bl_1,bl_2,bl_3,bl_4,bl_5,bl_6,bl_7,bl_8,bl_9,bl_10
2025-09-30,245.05,230.03,244.32,238.94,226.24,246.03,243.89,208.59,239.45,235.84
2025-10-01,247.56,239.46,254.53,241.49,246.59,245.21,244.84,226.31,205.5,234.19
2025-10-02,244.11,231.62,242.12,239.17,242.64,193.67,224.54,252.63,249.06,240.92
2025-10-03,249.02,242.72,241.66,256.48,251.17,244.17,241.01,227.99,242.21,243.94
2025-10-06,245.72,224.75,247.13,247.59,234.2,243.68,245.95,257.59,249.97,221.97
2025-10-07,247.31,245.91,240.92,239.4,257.89,255.99,300.84,259.06,214.93,243.84
2025-10-08,243.68,249.86,244.32,250.37,217.18,230.37,247.78,224.09,252.07,253.4
2025-10-09,245.76,242.89,250.97,248.27,241.96,254.67,225.36,244.35,249.58,209.16
2025-10-10,239.87,234.21,241.87,210.38,244.3,243.31,201.52,216.74,216.27,241.35
2025-10-13,241.1,238.33,247.62,241.44,264.9,246.25,212.9,248.0,259.02,207.04
2025-10-14,267.01,242.91,244.36,218.99,251.39,245.33,248.81,249.31,205.6,250.8
2025-10-15,246.76,246.33,249.3,252.54,256.99,255.07,197.38,224.75,221.92,250.23
2025-10-16,247.91,234.73,250.01,245.59,244.34,239.93,266.07,248.8,222.78,202.28
2025-10-17,246.97,248.87,266.55,218.89,247.93,239.9,263.76,208.71,244.98,246.57
2025-10-20,245.0,253.08,244.23,251.99,259.35,207.32,245.96,247.18,247.98,219.22
2025-10-21,250.0,245.03,250.28,264.64,256.84,249.17,202.49,253.05,239.94,242.46
2025-10-22,241.99,243.98,209.55,228.71,249.98,249.05,248.85,212.97,268.82,265.46
2025-10-23,247.1,240.29,250.01,243.12,244.07,256.38,249.67,218.0,206.77,247.77
2025-10-24,246.13,252.5,252.03,242.08,253.0,254.86,255.01,278.15,258.44,203.82
2025-10-27,247.04,249.03,253.62,256.32,254.49,206.43,231.76,238.71,244.66,223.44
2025-10-28,250.29,233.64,251.14,245.69,252.26,247.21,267.02,254.56,273.78,199.13
2025-10-29,250.31,252.65,243.45,200.22,231.98,242.5,235.82,246.04,253.39,248.43
2025-10-30,248.17,241.39,242.37,249.83,241.0,253.14,234.41,200.74,244.02,237.32
2025-10-31,237.62,256.08,201.95,251.2,242.72,243.02,252.98,231.92,285.21,277.68
2025-11-03,246.93,248.4,241.91,244.94,244.33,248.99,259.17,249.77,204.32,237.83
2025-11-04,244.85,234.96,237.53,246.93,245.41,208.74,192.19,241.43,239.45,249.72
2025-11-05,248.15,243.29,250.18,246.28,249.7,206.44,195.74,241.23,244.0,245.24
2025-11-06,236.62,240.02,250.01,245.52,184.88,243.46,244.49,245.04,215.66,252.12
2025-11-07,245.05,200.5,211.38,238.03,235.96,280.91,275.31,253.21,239.96,253.05
2025-11-10,240.63,245.1,240.92,297.6,221.41,242.55,247.48,198.4,247.08,248.45
2025-11-11,250.46,247.56,231.83,240.95,251.31,228.85,245.38,262.83,201.02,242.38
2025-11-12,247.56,246.98,242.51,237.61,240.28,198.08,250.54,268.23,244.86,245.18
2025-11-13,231.6,233.21,240.35,247.55,202.38,247.72,220.07,250.02,267.46,234.79
2025-11-14,224.06,252.02,240.92,234.03,235.62,241.78,268.79,208.32,249.4,312.47
2025-11-17,232.69,229.11,252.79,226.42,230.7,227.02,236.37,244.18,214.53,242.65
2025-11-18,227.03,235.84,255.45,236.93,214.19,218.22,261.86,233.47,239.13,235.05
2025-11-19,237.98,224.37,236.92,230.01,240.01,232.94,244.55,252.37,219.18,248.56
2025-11-20,226.02,229.76,221.36,232.99,246.66,213.76,243.6,235.56,332.04,256.51
2025-11-21,232.11,239.05,234.03,242.69,214.18,218.73,235.31,280.75,267.7,257.37
2025-11-24,240.01,233.57,218.09,235.99,219.51,243.4,232.8,236.58,228.31,261.42
2025-11-25,228.24,238.65,249.01,248.56,216.95,241.98,234.35,244.48,271.19,240.03
2025-11-26,251.59,263.06,248.06,245.54,242.93,246.97,231.51,240.07,222.43,233.25
2025-11-28,249.13,251.99,253.89,246.26,245.69,232.43,231.74,253.57,242.99,222.55
2025-12-01,231.72,246.22,241.03,248.99,247.91,247.07,220.73,243.29,242.5,228.66
2025-12-02,242.06,247.2,248.17,246.23,229.92,230.3,244.85,266.49,226.45,219.99
2025-12-03,250.61,263.16,223.21,248.06,229.71,226.68,236.53,273.72,273.19,252.94
2025-12-04,253.01,263.25,255.02,223.86,251.78,224.94,252.34,221.62,244.2,249.3
2025-12-05,247.63,217.89,250.05,277.65,220.94,251.09,250.28,256.31,223.55,228.18
2025-12-08,216.27,231.48,241.73,270.65,260.24,251.18,252.29,221.58,254.42,247.72
2025-12-09,248.98,220.52,227.11,231.7,247.75,251.97,225.09,254.53,274.88,275.65
2025-12-10,251.39,277.85,234.91,249.94,230.42,230.6,250.95,255.89,257.92,259.22
2025-12-11,260.86,253.55,254.83,252.41,257.49,238.72,250.42,256.0,224.71,255.82
2025-12-12,251.0,239.52,253.45,232.88,256.77,254.68,209.55,256.43,271.74,253.67
2025-12-15,248.94,254.94,255.78,232.51,250.91,258.92,256.44,235.43,383.65,208.14
2025-12-16,252.93,246.96,249.24,246.01,258.94,257.93,233.22,247.81,263.65,250.93
2025-12-17,242.04,246.95,244.07,248.99,242.63,250.5,252.95,251.0,255.86,252.68
2025-12-18,240.93,248.92,245.84,251.71,252.83,242.98,255.73,255.86,253.56,209.59
2025-12-19,248.92,245.16,247.28,247.94,253.65,228.32,236.27,214.96,246.33,259.46
2025-12-22,223.73,248.72,279.78,253.61,264.27,250.28,250.79,254.04,253.13,257.6
2025-12-23,249.34,246.29,250.95,225.07,252.46,255.68,254.8,253.47,255.06,252.88
2025-12-24,251.04,256.1,254.0,252.03,225.63,254.96,247.24,248.73,249.98,253.0
