date,bl_1,bl_2,bl_3,bl_4,bl_5,bl_6,bl_7,bl_8,bl_9,bl_10
2025-09-30,743.87,725.47,745.71,739.16,737.57,722.28,734.55,741.01,740.59,736.89
2025-10-01,731.28,707.59,729.96,718.65,725.93,713.16,722.36,719.81,725.52,724.49
2025-10-02,714.79,725.88,715.61,716.12,731.73,729.78,740.3,739.54,735.64,733.07
2025-10-03,703.27,704.51,718.94,698.66,714.25,722.06,724.23,725.51,,
2025-10-06,725.59,702.12,710.17,707.98,717.96,728.08,729.31,,,
2025-10-07,721.12,723.79,699.84,710.68,711.81,717.38,719.95,726.15,,
2025-10-08,716.8,725.75,710.08,724.23,703.61,704.77,706.89,707.61,712.73,713.26
2025-10-09,745.83,718.52,732.14,720.87,723.43,737.98,743.58,722.62,725.34,725.8
2025-10-10,705.36,719.74,723.22,702.54,689.08,721.52,720.38,718.37,716.03,714.82
2025-10-13,701.26,700.9,710.12,728.06,727.48,715.67,708.15,717.4,720.66,733.86
2025-10-14,704.36,696.13,710.06,715.64,721.6,711.7,707.84,720.78,724.38,695.1
2025-10-15,723.87,721.31,713.8,710.56,703.61,704.25,715.6,722.2,706.94,730.89
2025-10-16,723.02,698.42,722.15,706.01,713.88,695.9,701.99,703.33,710.9,712.13
2025-10-17,724.76,728.25,703.86,718.05,731.89,705.99,712.97,722.43,699.3,708.67
2025-10-20,733.04,735.61,717.23,751.28,737.07,748.0,728.98,726.8,731.05,738.64
2025-10-22,720.34,747.28,743.26,744.11,724.45,723.37,740.95,742.22,718.23,733.55
2025-10-23,736.26,734.53,738.06,720.66,747.55,731.33,740.95,738.57,725.94,729.49
2025-10-24,724.78,741.3,750.99,725.65,744.34,747.28,740.1,729.45,752.78,727.78
2025-10-27,747.66,758.16,736.59,752.66,765.0,750.79,748.91,742.24,740.51,744.19
2025-10-28,765.88,740.2,741.72,760.23,752.99,745.2,757.12,761.38,736.55,754.7
2025-10-29,760.59,759.06,746.83,768.46,757.56,752.27,750.21,756.79,767.19,766.55
2025-10-30,634.45,663.48,666.18,682.83,644.15,685.91,661.42,682.24,676.84,695.98
2025-10-31,648.08,628.08,676.16,629.13,637.44,654.74,632.31,668.13,665.44,665.99
2025-11-03,615.62,637.25,610.83,626.9,656.97,668.03,643.12,639.5,629.99,641.63
2025-11-04,628.98,630.98,597.18,655.1,645.85,642.84,599.81,630.56,618.21,604.0
2025-11-05,634.72,641.66,631.14,666.31,619.96,648.19,661.56,658.88,656.97,655.77
2025-11-06,626.55,594.28,620.85,597.25,649.35,645.7,638.14,636.46,635.49,627.62
2025-11-07,647.35,601.99,622.13,632.36,639.44,638.29,604.13,616.04,596.56,648.03
2025-11-10,623.89,629.28,643.14,649.04,616.11,610.76,638.98,656.14,647.42,642.19
2025-11-11,630.29,636.97,629.66,605.07,615.17,631.02,646.7,638.14,636.26,608.18
2025-11-12,609.08,617.68,624.63,606.02,634.25,593.5,594.13,615.81,622.9,635.95
2025-11-13,599.57,605.2,634.45,627.21,582.15,620.67,630.79,612.37,603.03,597.77
2025-11-14,627.51,592.24,610.92,634.38,630.28,624.42,619.44,619.04,583.44,616.89
2025-11-17,586.8,624.51,620.23,613.48,610.64,604.19,622.8,616.92,611.74,576.5
2025-11-18,601.6,592.85,598.38,590.85,600.79,576.2,589.2,621.39,588.48,615.56
2025-11-19,590.3,583.8,585.67,574.5,581.17,586.45,596.43,,,
2025-11-20,589.45,595.09,570.99,592.07,588.68,577.19,581.08,600.42,605.95,612.35
2025-11-21,595.73,610.9,593.91,594.72,614.82,592.18,579.08,606.33,607.33,577.43
2025-11-24,606.2,633.58,595.64,615.43,592.61,621.46,630.79,625.24,634.43,623.76
2025-11-25,630.61,665.0,631.65,637.14,637.69,614.81,618.74,653.7,650.79,648.96
2025-11-26,610.56,655.03,633.1,660.17,656.75,636.71,645.09,614.99,618.84,623.04
2025-11-28,622.78,679.17,674.35,659.96,643.84,667.75,664.91,617.16,647.57,628.07
2025-12-01,660.01,658.74,644.6,655.04,651.31,647.86,640.48,621.21,624.78,625.18
2025-12-02,665.87,643.57,633.85,629.88,658.51,647.1,658.95,641.41,663.8,632.67
2025-12-03,655.67,647.84,641.76,639.25,627.97,624.26,630.48,652.45,650.44,643.5
2025-12-04,649.28,670.11,643.85,679.41,668.49,658.35,680.75,679.82,676.36,675.5
2025-12-05,654.48,656.22,661.85,682.72,664.31,664.67,666.09,668.48,673.42,677.69
2025-12-08,650.27,659.42,661.99,672.6,675.03,649.2,654.32,670.35,673.78,677.92
2025-12-09,663.99,667.74,654.12,640.23,644.03,644.72,651.92,655.61,657.32,674.34
2025-12-10,666.5,638.73,643.43,632.97,636.95,653.08,659.31,662.09,665.6,667.94
2025-12-11,662.66,669.17,648.63,658.9,634.08,636.04,637.85,638.37,641.35,642.7
2025-12-12,644.84,646.35,627.94,643.15,650.65,657.99,656.23,653.54,633.59,642.61
2025-12-15,647.85,632.8,660.73,637.49,663.27,659.18,645.83,639.57,641.59,643.32
2025-12-16,654.89,659.11,675.42,662.86,643.16,650.9,661.28,660.79,658.0,640.53
2025-12-17,664.15,648.7,637.0,644.92,633.78,663.17,661.47,666.69,665.38,667.74
2025-12-18,676.1,653.05,674.07,678.65,667.21,682.11,669.05,671.6,650.46,665.58
2025-12-19,644.43,647.14,655.09,656.37,671.53,667.79,663.98,642.62,673.42,672.05
2025-12-22,669.18,651.88,649.72,674.49,654.37,662.34,667.76,666.87,676.09,673.46
2025-12-23,675.21,683.06,653.54,670.4,657.32,668.37,683.51,646.33,667.78,674.55
2025-12-24,677.63,657.69,683.35,679.75,673.55,661.33,656.3,650.85,660.69,659.61
2025-12-26,666.12,651.64,676.82,663.02,669.3,678.2,657.94,656.12,670.52,649.56
2025-12-29,660.41,671.71,651.04,657.22,669.39,665.49,668.42,670.18,644.76,647.82
2025-12-30,665.75,660.67,668.13,669.48,673.64,678.71,654.7,655.43,657.39,661.63
2025-12-31,652.44,674.88,660.27,671.16,667.62,650.9,645.9,655.17,663.0,660.64
2026-01-02,638.14,643.76,644.53,645.81,654.69,640.57,659.53,660.96,662.93,664.52
2026-01-05,664.26,645.99,669.21,665.44,658.08,673.7,668.77,663.31,643.99,655.65
2026-01-06,658.62,649.83,663.3,668.68,648.09,654.56,656.81,659.25,654.23,653.76
2026-01-07,650.88,655.5,659.6,645.82,637.63,658.38,636.84,642.64,646.2,655.02
2026-01-08,657.64,644.57,639.1,649.75,638.52,655.89,636.25,656.96,643.63,645.7
2026-01-09,662.36,661.89,658.37,655.58,642.0,650.19,651.04,652.97,646.67,663.01
2026-01-12,631.87,641.41,642.86,651.16,647.7,644.67,648.94,630.21,638.14,633.32
2026-01-13,635.34,641.08,633.98,638.84,624.87,626.47,630.62,637.79,636.43,642.36
2026-01-14,621.35,628.27,616.75,625.3,622.85,617.5,624.16,620.89,620.43,605.05
2026-01-15,633.76,631.19,627.28,612.25,616.22,630.19,618.92,623.77,613.62,618.29
2026-01-16,630.19,614.61,624.74,622.93,632.88,615.42,628.38,626.12,622.17,632.36
2026-01-20,610.97,613.31,602.76,596.75,606.32,607.64,615.99,611.61,592.76,609.21
2026-01-21,622.78,612.4,616.67,618.21,624.52,609.81,611.13,623.7,602.14,600.77
2026-01-22,648.51,651.43,637.4,631.31,657.75,643.51,645.02,654.38,666.61,661.27
2026-01-23,667.08,657.9,675.84,662.19,645.04,650.09,672.64,654.02,678.46,676.71
2026-01-26,679.44,672.01,692.99,663.86,680.15,654.46,683.33,660.79,688.78,655.47
2026-01-27,665.59,681.23,684.34,684.98,653.14,656.35,661.56,664.73,671.33,672.97
2026-01-28,689.78,652.61,659.43,676.6,681.17,683.64,654.38,656.89,662.41,665.49
2026-01-29,720.68,716.75,732.28,738.87,747.51,768.15,724.48,728.32,759.05,755.21
2026-01-30,706.89,683.9,737.4,749.58,698.57,727.24,747.82,742.48,691.7,732.32
2026-02-02,681.57,687.04,731.22,727.21,706.97,676.36,670.89,715.03,738.86,734.96
2026-02-03,658.03,680.94,712.96,707.24,700.9,725.02,676.34,677.21,674.9,682.45
2026-02-04,655.61,701.67,649.99,684.94,676.47,700.43,699.63,691.59,690.16,684.4
2026-02-05,656.42,641.78,655.95,639.02,637.36,683.48,704.18,697.29,694.55,692.76
2026-02-06,641.92,681.26,662.84,649.95,670.27,677.29,673.88,626.59,653.95,643.97
2026-02-09,697.72,700.71,653.66,662.57,711.41,702.84,700.05,689.71,642.61,645.62
2026-02-10,656.02,649.3,693.66,675.14,677.07,637.03,706.57,705.78,704.41,702.23
2026-02-11,692.95,645.45,658.15,639.35,655.86,674.53,684.27,699.88,698.1,697.17
2026-02-12,658.54,617.93,654.34,671.91,676.25,628.18,681.7,640.96,644.87,675.31
2026-02-13,667.54,615.85,669.85,668.99,666.27,636.75,658.56,648.3,611.94,655.0
2026-02-17,654.98,644.84,631.34,627.06,634.55,647.03,644.12,643.21,648.65,651.56
2026-02-18,628.28,651.69,622.49,655.95,650.0,642.93,662.32,664.29,619.37,641.87
2026-02-19,659.93,629.37,640.11,652.07,666.63,653.21,632.33,651.42,637.37,658.52
2026-02-20,663.06,637.85,686.08,629.67,635.77,673.68,646.52,684.26,681.72,669.38
2026-02-23,643.73,623.08,610.1,616.03,654.25,664.96,657.04,656.49,649.06,666.04
2026-02-24,643.52,652.52,622.52,624.48,621.25,626.11,668.39,645.39,661.45,657.1
2026-02-25,660.76,669.98,668.83,658.39,677.13,633.24,638.24,668.42,685.47,673.24
2026-02-26,673.43,640.3,674.61,671.87,635.32,640.73,683.05,667.27,658.83,653.46
2026-02-27,664.05,654.4,618.97,631.04,650.97,666.21,657.5,643.73,673.37,655.47
2026-03-02,638.49,660.89,658.12,665.33,656.49,645.18,647.45,648.21,668.44,651.98
2026-03-03,663.54,644.74,646.74,643.18,659.14,665.52,648.1,672.54,638.02,657.86
2026-03-04,662.03,680.61,676.19,669.12,675.38,683.1,677.05,672.25,677.94,685.17
2026-03-05,666.75,658.32,649.91,674.29,652.46,676.6,659.6,670.66,651.21,677.45
2026-03-06,658.35,636.18,631.0,642.07,645.32,653.52,650.02,638.02,643.8,651.94
2026-03-09,657.01,650.82,638.63,662.95,660.78,641.52,635.02,631.85,644.8,649.32
2026-03-10,649.3,669.45,638.78,668.31,651.34,658.98,664.77,647.32,657.85,666.42
2026-03-11,639.49,662.67,651.99,654.13,660.1,659.1,666.72,667.18,641.83,642.45
2026-03-12,629.15,644.92,623.13,643.36,626.84,635.21,636.24,645.6,650.84,638.39
2026-03-13,623.4,627.93,623.07,602.82,605.79,607.83,597.94,613.25,629.29,626.34
2026-03-17,637.31,636.37,605.7,617.55,634.71,633.44,625.92,621.45,633.03,631.53
2026-03-18,608.86,615.87,622.29,603.34,616.37,629.62,628.63,599.75,602.21,620.5
2026-03-19,596.73,611.33,613.52,609.97,604.8,623.78,620.78,615.68,605.61,590.82
2026-03-20,609.89,601.12,605.42,583.14,577.32,601.97,600.37,610.95,581.46,583.79
2026-03-23,586.71,591.37,608.54,617.93,590.04,605.49,617.24,596.87,616.41,603.55
2026-03-24,607.53,595.75,579.54,592.3,601.21,577.85,606.44,584.67,603.98,599.14
2026-03-25,603.36,580.19,583.82,588.64,598.86,593.08,577.8,592.06,582.18,596.09
2026-03-26,553.64,531.9,533.08,561.62,542.87,547.3,564.86,550.17,549.49,565.74
2026-03-27,542.44,541.41,528.07,532.43,521.8,537.35,534.66,531.69,504.93,518.68
2026-03-30,534.62,528.51,545.89,530.55,535.08,543.08,539.09,515.2,542.59,550.57
2026-03-31,548.3,571.23,599.25,582.59,593.33,556.95,597.04,581.78,596.1,594.3
2026-04-01,570.67,606.04,558.52,602.1,554.65,556.36,561.79,603.28,594.01,589.73
2026-04-02,587.58,598.23,600.4,583.47,585.24,579.47,595.99,585.95,546.63,561.69
2026-04-06,600.55,564.37,594.18,546.36,588.49,552.1,548.7,572.52,571.4,563.43
2026-04-07,583.55,594.44,599.45,601.92,565.45,555.98,595.59,597.03,572.43,582.37
2026-04-08,583.73,596.74,589.34,618.08,623.05,623.5,604.64,603.37,609.67,612.29
2026-04-09,622.61,648.24,628.59,600.12,607.23,608.6,610.49,614.29,636.02,634.34
2026-04-10,625.8,644.29,619.18,653.52,607.39,640.11,636.27,612.66,617.74,627.12
2026-04-13,638.45,644.4,619.0,648.3,665.39,663.7,650.73,603.69,616.48,609.24
2026-04-14,660.48,693.02,639.05,672.22,669.58,650.9,652.77,657.55,679.64,668.03
2026-04-15,701.48,658.89,681.81,676.19,671.88,679.84,646.56,651.73,697.18,661.67
2026-04-16,681.6,659.72,707.61,706.74,670.58,678.11,691.03,649.86,669.95,674.87
2026-04-17,718.9,656.98,687.69,713.34,694.19,693.16,674.08,689.95,682.8,686.55
2026-04-20,698.3,676.39,655.65,688.98,683.94,681.27,685.31,648.78,667.66,673.7
2026-04-21,683.2,699.08,672.75,668.02,689.43,644.05,679.2,693.92,696.3,692.67
2026-04-22,688.04,674.51,703.14,678.1,698.52,697.2,686.36,684.46,648.7,646.11
2026-04-23,643.27,677.37,664.6,675.73,689.63,657.94,676.38,637.72,682.48,680.5
2026-04-24,687.18,660.55,683.17,677.91,672.0,708.59,704.95,698.32,697.39,694.56
2026-04-27,656.7,653.49,699.11,693.52,685.35,674.77,650.61,662.77,697.79,703.95
2026-04-28,687.22,652.58,697.3,664.0,690.1,689.21,675.4,681.3,684.53,692.83
2026-04-29,670.28,691.99,694.69,675.29,677.33,655.27,676.18,681.03,647.98,688.14
2026-04-30,633.39,603.63,626.38,615.41,610.99,596.13,624.86,618.54,636.71,593.85
2026-05-01,637.67,604.17,584.54,608.75,633.97,632.6,630.42,628.26,625.18,616.21
2026-05-04,629.26,591.94,586.84,587.71,599.61,603.47,605.38,635.13,620.65,626.28
2026-05-05,591.04,576.11,600.95,628.08,610.65,588.41,632.23,626.81,623.47,620.28
2026-05-06,593.08,608.41,605.18,602.03,631.36,621.12,603.31,584.17,623.71,628.96
2026-05-07,615.35,622.95,609.56,625.54,619.95,634.18,601.11,630.79,624.29,615.8
2026-05-08,605.44,587.33,617.74,603.7,634.14,609.33,620.12,601.17,612.73,613.08
2026-05-11,617.47,596.35,574.96,622.71,619.05,578.78,610.3,604.89,585.92,600.16
2026-05-12,585.77,599.48,609.54,602.22,594.39,593.34,620.08,587.79,623.87,624.91
2026-05-13,638.9,617.88,621.33,606.29,601.8,630.88,629.57,624.38,637.86,637.33
2026-05-14,606.24,628.55,630.09,633.4,617.17,625.62,641.13,638.05,615.65,597.11
2026-05-15,617.6,625.84,600.17,608.63,632.29,621.2,631.04,627.87,637.61,634.94
2026-05-18,630.13,619.93,621.96,597.72,609.87,607.75,616.47,618.34,623.21,624.06
2026-05-19,609.15,589.47,616.06,622.22,616.96,612.81,607.65,610.99,614.98,617.4
2026-05-20,615.75,600.24,606.51,608.63,596.6,594.91,609.47,613.5,612.5,586.42
2026-05-21,614.16,600.0,607.7,601.4,595.5,600.47,602.87,608.91,611.45,619.22
2026-05-22,623.8,614.22,603.04,600.3,592.37,630.53,629.07,623.22,622.56,593.48
2026-05-26,605.57,599.51,623.49,619.87,611.94,603.3,624.65,613.95,626.51,621.26
2026-05-27,650.84,613.51,648.35,637.51,631.13,656.36,636.49,618.34,621.22,638.92
2026-05-28,638.94,659.28,626.51,614.46,621.41,632.88,657.01,648.44,642.95,612.07
2026-05-29,621.22,636.13,632.83,629.68,618.41,622.99,626.11,630.57,631.03,638.14
2026-06-01,589.1,590.79,598.47,600.47,608.05,613.21,584.41,587.66,592.13,596.18
2026-06-02,610.16,590.7,585.3,581.12,600.96,592.46,596.4,590.2,589.75,588.49
2026-06-03,629.19,636.16,615.41,604.63,642.23,605.87,622.43,602.96,627.28,641.67
2026-06-04,647.11,616.54,609.49,635.57,641.93,632.46,630.91,608.09,624.54,617.96
2026-06-05,595.27,581.26,592.86,573.48,615.29,582.66,614.19,613.58,611.84,610.2
2026-06-08,571.99,580.7,585.26,600.27,600.97,602.46,587.26,596.79,607.33,574.84
2026-06-09,601.17,600.17,587.1,569.35,596.56,596.06,572.81,594.58,591.77,578.34
2026-06-10,586.75,591.7,558.04,553.82,560.4,569.06,555.65,589.17,588.51,549.17
2026-06-11,573.6,560.1,587.41,578.31,558.02,583.25,580.52,559.24,576.08,562.31
2026-06-12,576.09,555.33,558.13,552.54,565.69,582.47,575.12,570.76,563.69,562.39
2026-06-15,594.18,614.48,581.61,585.64,606.34,575.37,598.12,616.55,574.45,602.41
2026-06-16,596.96,616.7,606.19,610.52,617.89,582.37,584.19,624.88,578.85,580.05
2026-06-17,544.03,570.53,592.79,588.64,560.81,567.54,544.59,561.26,574.29,577.07
