date,bl_1,bl_2,bl_3,bl_4,bl_5,bl_6,bl_7,bl_8,bl_9,bl_10
2025-09-30,519.14,524.44,512.3,520.01,523.5,520.89,510.24,513.11,514.58,516.68
2025-10-01,513.62,514.78,511.42,520.81,521.71,517.99,527.38,526.82,526.19,512.01
2025-10-02,518.5,522.14,506.99,514.23,511.79,522.91,519.19,515.0,519.9,516.11
2025-10-03,519.0,509.93,521.74,514.52,515.59,523.09,508.98,510.82,513.39,513.89
2025-10-06,531.97,523.28,524.62,527.46,535.55,524.05,525.1,529.17,530.14,530.87
2025-10-07,522.91,527.94,519.27,515.76,517.81,528.61,529.86,530.55,531.72,519.77
2025-10-08,516.72,521.78,530.11,528.84,519.65,529.51,529.18,518.17,527.7,532.37
2025-10-09,530.56,528.48,515.96,518.51,522.83,520.1,521.86,523.21,525.38,525.76
2025-10-10,519.06,510.87,509.71,502.86,516.54,513.28,514.77,519.87,506.63,502.05
2025-10-13,510.73,517.43,515.68,515.14,513.96,508.04,514.68,518.63,512.35,520.43
2025-10-14,510.0,513.34,516.48,514.9,517.17,512.13,513.96,511.34,518.11,
2025-10-15,509.84,517.05,514.38,507.96,512.33,518.75,511.63,506.96,510.54,512.84
2025-10-16,515.51,506.2,512.18,507.81,511.81,514.79,517.54,509.39,504.85,507.02
2025-10-17,516.08,512.11,510.96,513.89,517.15,519.4,514.63,512.81,510.18,
2025-10-20,517.68,516.16,518.8,511.64,517.04,513.75,521.29,522.1,515.7,513.07
2025-10-22,525.96,525.67,516.63,524.24,520.99,521.89,522.96,523.43,520.65,517.93
2025-10-23,517.79,514.39,520.92,525.27,523.24,525.93,519.7,521.59,515.68,516.77
2025-10-24,517.88,523.12,530.76,525.51,520.28,527.87,528.77,516.53,524.18,525.93
2025-10-27,528.56,531.36,525.14,524.71,533.27,537.9,538.18,534.75,529.69,529.21
2025-10-28,547.43,546.35,541.53,535.56,549.69,538.03,544.41,534.31,550.46,533.65
2025-10-29,542.44,543.91,550.15,546.4,542.96,548.82,548.22,545.55,533.63,534.17
2025-10-30,531.45,529.97,530.59,525.68,525.28,528.47,527.64,526.2,524.9,524.26
2025-10-31,511.19,513.77,520.21,512.87,507.62,517.71,522.69,521.15,527.69,525.07
2025-11-03,522.35,525.33,512.62,510.86,516.34,514.18,521.57,516.87,508.96,525.79
2025-11-04,514.84,506.08,521.76,517.34,516.08,520.06,507.97,506.82,522.38,519.47
2025-11-05,506.84,508.14,502.36,498.39,503.34,510.48,512.18,501.03,504.7,505.19
2025-11-06,495.23,503.99,491.08,499.42,501.06,490.06,505.57,494.3,496.11,497.77
2025-11-07,503.83,502.42,501.45,499.24,497.35,505.96,502.71,496.96,492.51,489.92
2025-11-10,504.24,514.57,509.45,498.15,512.28,501.81,506.88,500.16,497.76,513.85
2025-11-11,511.41,501.74,501.24,518.0,510.75,517.02,513.0,499.31,506.92,505.88
2025-11-12,511.05,514.27,518.64,517.76,503.85,504.35,516.61,509.5,512.65,502.96
2025-11-13,497.48,508.82,513.16,500.15,507.5,512.2,494.17,510.77,509.33,494.91
2025-11-14,520.94,514.92,511.71,503.22,503.93,518.98,515.82,500.04,511.03,512.66
2025-11-17,505.6,504.96,505.34,503.56,515.93,509.04,498.92,507.23,501.64,498.14
2025-11-18,500.62,491.36,491.99,483.39,504.45,485.41,501.72,488.88,485.99,492.62
2025-11-19,489.73,488.52,484.65,494.65,487.04,483.16,497.37,492.94,491.97,485.19
2025-11-20,476.65,488.0,473.77,469.71,489.88,470.83,471.27,486.84,478.1,482.33
2025-11-21,471.52,472.62,468.28,461.66,466.45,476.42,479.05,477.33,480.52,481.36
