date,bl_1,bl_2,bl_3,bl_4,bl_5,bl_6,bl_7,bl_8,bl_9,bl_10
2025-09-30,24412.02,24461.72,23989.89,24777.79,25198.81,24951.63,24699.77,24869.09,24576.58,23817.74
2025-10-01,25070.12,25290.49,24455.58,24529.39,25246.46,24810.05,24742.55,24388.39,24296.92,24500.49
2025-10-02,24846.7,24303.67,25177.31,24613.85,24476.27,25033.76,24907.15,24498.38,24527.48,24574.64
2025-10-03,24506.06,24904.23,25453.45,25636.18,24438.22,24404.61,24283.19,24697.55,25057.75,25091.64
2025-10-06,24901.37,24689.87,24809.82,25295.94,24877.66,24574.79,25495.08,24958.07,25820.97,24256.84
2025-10-07,25121.98,24656.05,24442.19,23795.26,24942.68,24295.54,24500.57,25883.0,24895.41,24171.2
2025-10-08,25097.6,24586.75,24791.74,24912.05,25422.7,24862.72,25386.41,24421.96,25000.16,25030.14
2025-10-09,25207.97,24500.02,24808.34,24899.47,24862.51,25691.12,25279.56,25073.51,25095.64,25409.13
2025-10-10,25758.41,24390.94,23482.87,24226.18,26117.81,23704.4,24621.18,25604.57,24042.29,25784.57
2025-10-13,24737.9,24542.53,24075.39,24453.86,24979.66,25624.53,25296.23,25075.7,24792.91,23535.01
2025-10-14,24807.98,24898.76,24531.18,24660.88,24412.67,25000.19,25550.95,25196.1,23786.38,24028.06
2025-10-15,24818.44,25066.22,24409.46,24649.24,24305.88,24694.67,24147.9,25307.8,25805.78,24745.7
2025-10-16,24519.72,25299.58,24715.93,24236.34,25066.72,25099.01,24306.52,25010.89,23854.54,24584.5
2025-10-17,24652.13,24689.49,24495.05,25621.49,25424.45,24401.74,23438.19,24981.19,25079.03,25128.47
2025-10-20,24460.13,24837.31,25748.06,25537.53,25436.3,25292.24,25185.21,24700.26,24808.56,25239.02
2025-10-21,25098.21,25255.41,25348.17,25206.61,24768.18,24592.08,24854.69,26018.27,25008.81,24431.92
2025-10-22,25096.71,24373.42,25445.28,24496.75,25211.01,25181.0,24298.3,24549.24,24577.73,24737.11
2025-10-23,25146.56,24796.02,25713.47,25302.81,25491.61,24454.14,24487.91,25544.86,25100.73,24657.81
2025-10-24,25075.01,25436.88,25290.3,25372.14,24887.28,24004.61,24856.67,23364.65,24990.13,25567.52
2025-10-27,25902.4,25520.02,26173.34,26128.0,25693.25,24552.84,25620.11,24992.48,25113.87,24465.45
2025-10-28,26401.48,26111.57,26325.42,25629.91,25706.93,26162.46,24589.59,27143.7,27244.29,24909.69
2025-10-29,25798.47,25620.61,26050.51,26153.03,26761.05,25861.04,24672.46,25184.84,26633.89,25683.43
2025-10-30,25601.69,25133.89,26316.29,26068.38,25693.34,25370.75,25979.32,26002.49,26300.23,24654.4
2025-10-31,24636.74,25592.46,25691.29,25858.78,26104.58,25541.89,25754.89,25973.38,26188.96,26475.39
2025-11-03,25670.54,26305.04,25632.4,25898.52,26506.56,26370.69,26062.04,24123.64,25746.29,25970.26
2025-11-04,24747.41,25610.99,25442.58,25485.62,25969.77,26763.49,26089.0,25775.28,25112.74,24487.68
2025-11-05,25600.8,26091.58,25374.17,25506.86,25789.22,25895.78,25687.91,24528.15,25004.57,26195.73
2025-11-06,25589.02,24494.15,24769.46,25381.38,25486.21,25504.88,25647.1,25544.95,25851.08,25921.16
2025-11-07,25200.34,25399.42,24654.2,24455.12,25981.61,25804.38,24722.05,24045.29,26257.55,25640.44
2025-11-10,24477.42,25886.94,25738.27,26701.54,25938.82,25599.1,26141.33,25548.72,25005.72,25396.04
2025-11-11,25848.91,25634.49,25745.39,25597.21,25423.27,26434.6,24592.88,25216.66,26136.57,26112.01
2025-11-12,25854.49,25510.16,25765.03,25197.48,25686.81,26131.84,24698.59,24850.47,24899.18,25397.97
2025-11-13,24634.98,24460.65,25192.98,25300.37,25491.13,24600.59,24496.17,24999.0,24399.29,
2025-11-14,24657.21,26296.31,25365.32,25006.02,26638.0,25741.01,25113.85,24389.75,24625.09,24107.26
2025-11-17,25178.04,24590.76,24316.75,24435.93,24802.12,25828.11,23709.37,24726.44,26583.95,26059.81
2025-11-18,25192.38,25324.86,25428.01,24644.55,23813.85,24497.63,25035.2,24124.49,25899.11,24897.84
2025-11-19,23780.08,24998.98,25427.64,25247.33,24207.8,24617.89,25453.23,25226.35,25029.48,24092.12
2025-11-20,24600.19,24932.01,24904.05,24307.29,23438.27,24450.96,24510.5,24623.89,24772.64,24650.1
2025-11-21,23864.24,24630.87,24268.54,24399.95,25073.0,24993.85,23887.35,23058.29,23111.62,23457.46
2025-11-24,24413.48,24536.34,24205.48,24749.82,25208.4,25078.34,23907.48,24116.17,25012.55,24455.1
2025-11-25,25049.0,25328.09,24770.95,24927.68,24161.56,24699.18,25183.72,25523.27,24622.06,25972.82
2025-11-26,25212.05,25078.76,25330.31,25465.21,24691.52,24432.21,24497.79,25601.29,25395.64,25054.89
2025-11-28,24632.51,24233.2,26219.75,26623.35,25253.01,25344.63,25125.59,23992.89,25871.65,25456.9
2025-12-01,25025.84,25703.86,25457.31,25296.0,26553.07,25743.16,24919.69,25653.25,24320.22,26031.87
2025-12-02,26060.35,26082.44,25071.31,26288.12,25393.2,25449.59,25472.69,25675.04,24253.54,26114.08
2025-12-03,25050.95,25237.6,25639.82,25905.26,26372.56,25457.99,25957.68,25311.73,25660.19,25752.85
2025-12-04,25266.87,25408.17,25708.71,25890.01,25513.08,25667.37,25298.88,25052.15,25466.56,25806.22
2025-12-05,25988.9,25400.1,26582.98,26721.87,25184.25,27113.62,26326.18,25701.26,25258.74,25558.21
2025-12-08,25697.74,25675.53,25938.82,25329.24,25412.04,25875.53,26067.67,25822.06,26522.73,24791.71
2025-12-09,25955.75,25499.14,26524.44,26077.57,26171.86,26373.33,25705.14,25901.14,25655.59,24222.93
2025-12-10,25495.22,25883.07,25976.43,26089.32,25951.4,25585.94,26127.83,26286.16,24963.57,26166.18
2025-12-11,25381.88,25874.31,26002.01,26171.73,25946.41,25413.21,25287.94,25907.17,25491.81,25702.92
