date,bl_1,bl_2,bl_3,bl_4,bl_5,bl_6,bl_7,bl_8,bl_9,bl_10
2025-09-30,24632.61,24682.76,24206.67,25001.68,25426.51,25177.1,24922.96,25093.81,24798.65,24032.96
2025-10-01,25289.11,25511.4,24669.2,24743.65,25466.99,25026.76,24958.67,24601.42,24509.15,24714.5
2025-10-02,25063.54,24515.77,25397.03,24828.65,24689.87,25252.23,25124.51,24712.18,24741.53,24789.1
2025-10-03,24710.21,25111.7,25665.5,25849.75,24641.81,24607.92,24485.48,24903.3,25266.5,25300.67
2025-10-06,25106.92,24893.67,25014.62,25504.75,25083.02,24777.65,25705.54,25164.09,26034.11,24457.07
2025-10-07,25324.71,24855.01,24639.43,23987.28,25143.95,24491.59,24698.28,26091.86,25096.31,24366.25
2025-10-08,25293.62,24778.79,24985.38,25106.62,25621.26,25056.91,25584.69,24612.71,25195.42,25225.64
2025-10-09,25402.22,24688.81,24999.51,25091.34,25054.09,25889.09,25474.36,25266.71,25289.02,25604.92
2025-10-10,25938.87,24561.83,23647.4,24395.91,26300.8,23870.47,24793.68,25783.96,24210.73,25965.22
2025-10-13,24909.82,24713.08,24242.7,24623.8,25153.25,25802.61,25472.02,25249.96,24965.21,23698.56
2025-10-14,24989.68,25081.12,24710.85,24841.5,24591.47,25183.29,25738.09,25380.64,23960.59,24204.04
2025-10-15,24998.11,25247.69,24586.18,24827.69,24481.84,24873.45,24322.72,25491.02,25992.6,24924.85
2025-10-16,24691.08,25476.39,24888.66,24405.71,25241.9,25274.41,24476.39,25185.68,24021.25,24756.31
2025-10-17,24819.56,24857.17,24661.41,25795.5,25597.12,24567.46,23597.37,25150.85,25249.36,25299.13
2025-10-20,24619.91,24999.56,25916.25,25704.35,25602.46,25457.46,25349.73,24861.61,24970.62,25403.89
2025-10-21,25246.26,25404.39,25497.7,25355.3,24914.28,24737.14,25001.3,26171.74,25156.33,24576.04
