session_date,eod_date,spot_eod,spot_intraday,cr,cr_gex,ps,ps_gex,hvl,hvl_gex,d1_min,d1_min_gex,d1_max,d1_max_gex,cr0,cr0_gex,ps0,ps0_gex,hvl0,hvl0_gex,gw0,gw0_gex,gex_1,gex_1_gex,gex_2,gex_2_gex,gex_3,gex_3_gex,gex_4,gex_4_gex,gex_5,gex_5_gex,gex_6,gex_6_gex,gex_7,gex_7_gex,gex_8,gex_8_gex,gex_9,gex_9_gex,gex_10,gex_10_gex
2024-07-01,2024-07-01,,,20500.0,529379.9823378661,19700.0,-370871.016919704,20000.0,-108609.66345732966,19846.03,,20238.97,,20100.0,512269.42231112986,19800.0,-174488.93004618728,19960.0,-11203.338844994769,20100.0,512269.42231112986,20200.0,268536.25554648525,19950.0,-237768.1361673671,20225.0,169938.11005209218,19850.0,-176361.55574794117,19900.0,-184642.53877187968,20250.0,235926.31365868644,19750.0,-158211.04697667598,20400.0,178426.64642065798,20350.0,116423.5207522649,19650.0,-73421.39011535254
2024-07-02,2024-07-02,,,20250.0,821902.1078868472,19800.0,-339739.23844807054,20150.0,-236509.22835115323,20041.98,,20438.02,,20250.0,821902.1078868472,20150.0,-236509.22835115323,20220.0,-14420.398247486211,20250.0,821902.1078868472,20400.0,551920.9974852777,20100.0,124868.04750312028,20300.0,358004.4090076736,20225.0,414924.787334949,20350.0,325001.65283813083,20500.0,742722.2993244329,20600.0,284556.6900480778,20000.0,-62233.06439700122,19900.0,-86188.25661707853,19950.0,-64708.47678480737
2024-07-03,2024-07-03,,,20500.0,3235965.987578625,19000.0,-150929.4876079656,19990.0,-8470.14770618751,20216.24,,20620.26,,20400.0,926210.8856625152,20200.0,-75615.77810327924,20230.0,-10382.08453233405,20400.0,926210.8856625152,20350.0,290592.5878415726,20600.0,371712.8956106018,20250.0,209351.5491561867,20450.0,358583.3817615369,20550.0,385239.5008119122,20800.0,316717.0712040322,20750.0,291377.6265545192,20100.0,108015.80533025513,20650.0,273102.394434274,20700.0,117845.65702446588
2024-07-05,2024-07-05,,,20500.0,1047766.8360131535,17700.0,-98150.57940852868,19950.0,-10731.368378890838,20385.73,,20797.27,,20600.0,398864.8950939965,20525.0,-9283.73090894603,20275.0,-5474.998148878968,20600.0,398864.8950939965,20750.0,298747.45010990126,20400.0,221744.33413702413,20650.0,292258.86865728506,20700.0,135725.03405729547,20550.0,152414.30243529897,21000.0,561503.1335258335,20800.0,349845.84256142075,20900.0,235144.0026262374,20250.0,60277.6707737846,20300.0,52877.31713263593
2024-07-08,2024-07-08,,,20700.0,911991.8122365756,20600.0,-140061.14247842296,20640.0,-17726.638879547078,20481.6,,20887.4,,20700.0,911991.8122365756,20600.0,-140061.14247842296,20640.0,-17726.638879547078,20700.0,911991.8122365756,20500.0,398800.9285471026,20650.0,823362.5502975831,20800.0,669875.0884872134,20750.0,384268.6006438288,20850.0,240094.8627375893,21000.0,828888.9461931281,20900.0,356306.5933499294,20400.0,42506.87930711679,20300.0,-76273.21979425564,20950.0,115993.72535351108
2024-07-09,2024-07-09,,,21000.0,818365.1040735862,20150.0,-170387.69512191502,20640.0,-45991.65620229213,20478.83,,20896.67,,20750.0,755584.6064384303,20690.0,-134861.95934968974,20640.0,-45991.65620229213,20750.0,755584.6064384303,20500.0,232528.64423307005,20800.0,529897.3742811369,20700.0,425558.3286921038,20650.0,277000.0541986851,20850.0,274759.2533029258,20900.0,425662.5669755064,20300.0,-77994.69547630666,20950.0,141507.92250572197,21100.0,130569.3713125546,20450.0,-71635.16557058996
2024-07-10,2024-07-10,,,21000.0,1241968.8113042214,20150.0,-112895.17384861688,20740.0,-16288.596169312455,20684.09,,21108.91,,21050.0,296316.2403648793,20750.0,135654.95135623778,20790.0,-11260.178943880734,21050.0,296316.2403648793,20800.0,532392.5471875559,20900.0,603543.0080216303,21100.0,492398.8047977234,20850.0,321157.4574063197,20950.0,226469.5712978196,20500.0,201020.67500885023,21250.0,474710.8585780806,21200.0,433592.8644686847,21300.0,169870.92292200783,20650.0,63851.49023119924
2024-07-11,2024-07-11,,,21000.0,761890.9064778636,20150.0,-330919.52405418543,20450.0,-40100.287086280885,20219.5,,20646.0,,20800.0,415555.85790608847,20250.0,-265307.97695068736,20530.0,-8952.576839650112,20800.0,415555.85790608847,20500.0,106643.04008206417,20300.0,-223547.33094403177,20600.0,145023.98780213017,20350.0,-105215.93440765768,20625.0,-32247.3430704188,20700.0,194172.53472682065,20100.0,-151110.2533876846,20650.0,190563.1671651801,20200.0,-160480.95848458004,20050.0,-102562.54232883734
2024-07-12,2024-07-12,,,21000.0,792981.2812582216,20150.0,-262939.86131939536,20475.0,-7896.608376717173,20329.99,,20749.51,,20400.0,36766.15367243316,20375.0,-24266.64895877437,20375.0,-24266.64895877437,20400.0,36766.15367243316,20500.0,223263.2458317902,20600.0,188944.1568609365,20700.0,140043.30544229996,20550.0,-67827.51513267244,20650.0,117646.78035419928,20800.0,323021.06936990505,20900.0,259085.1874295997,20750.0,184837.7438124316,20250.0,-85868.09465267617,20200.0,-62058.11187081247
2024-07-15,2024-07-15,,,21000.0,887080.0530586983,20300.0,-285129.2796017413,20570.0,-22515.11182291573,20413.92,,20836.58,,20600.0,288426.8300983565,20560.0,-167969.9530688263,20570.0,-22515.11182291573,20600.0,288426.8300983565,20800.0,617718.8047458114,20500.0,194669.04548286568,20750.0,293299.54942910024,20700.0,215008.87125342453,20650.0,195756.6668657441,20900.0,334333.132248349,20400.0,-197569.30372905685,20250.0,-79539.32857308036,20850.0,160487.11752096436,20950.0,146250.9575678967
