date,bl_1,bl_2,bl_3,bl_4,bl_5,bl_6,bl_7,bl_8,bl_9,bl_10
2025-09-30,593.88,595.09,583.61,602.78,613.02,607.01,600.88,605.0,597.88,579.42
2025-10-01,609.8,615.16,594.85,596.65,614.09,603.47,601.83,593.22,590.99,595.94
2025-10-02,604.61,591.4,612.65,598.94,595.6,609.16,606.08,596.13,596.84,597.99
2025-10-03,596.38,606.07,619.43,623.88,594.73,593.91,590.96,601.04,609.81,610.63
2025-10-06,605.83,600.69,603.6,615.43,605.26,597.89,620.28,607.21,628.21,590.15
2025-10-07,611.4,600.06,594.86,579.11,607.04,591.29,596.28,629.92,605.89,588.26
2025-10-08,610.54,598.11,603.1,606.02,618.45,604.82,617.56,594.1,608.17,608.9
2025-10-09,613.43,596.2,603.7,605.92,605.02,625.19,615.17,610.16,610.69,618.32
2025-10-10,626.76,593.48,571.39,589.47,635.5,576.78,599.08,623.01,585.0,627.39
2025-10-13,601.71,596.96,585.6,594.8,607.59,623.28,615.29,609.93,603.05,572.45
2025-10-14,603.49,605.69,596.75,599.91,593.87,608.16,621.56,612.93,578.63,584.51
2025-10-15,604.0,610.03,594.05,599.88,591.52,600.99,587.68,615.91,628.03,602.23
2025-10-16,596.6,615.58,601.38,589.71,609.91,610.7,591.42,608.55,580.42,598.18
2025-10-17,599.89,600.8,596.07,623.48,618.69,593.8,570.35,607.9,610.28,611.49
2025-10-20,594.98,604.15,626.31,621.18,618.72,615.22,612.61,600.82,603.45,613.92
2025-10-21,610.21,614.03,616.29,612.84,602.18,597.9,604.29,632.58,608.03,594.01
2025-10-22,610.79,593.19,619.28,596.19,613.58,612.85,591.36,597.47,598.16,602.04
2025-10-23,611.71,603.18,625.5,615.51,620.1,594.87,595.69,621.4,610.6,599.82
2025-10-24,610.08,618.88,615.32,617.31,605.51,584.04,604.77,568.47,608.01,622.06
2025-10-27,629.89,620.59,636.48,635.38,624.81,597.07,623.03,607.77,610.72,594.95
2025-10-28,642.08,635.03,640.23,623.32,625.19,636.27,598.02,660.14,662.58,605.8
2025-10-29,627.95,623.62,634.08,636.58,651.38,629.47,600.54,613.01,648.28,625.15
2025-10-30,622.76,611.38,640.14,634.11,624.99,617.14,631.94,632.51,639.75,599.72
2025-10-31,599.22,622.46,624.87,628.94,634.92,621.23,626.41,631.73,636.97,643.94
2025-11-03,624.7,640.14,623.77,630.25,645.05,641.74,634.23,587.06,626.54,631.99
2025-11-04,602.27,623.29,619.19,620.24,632.02,651.34,634.92,627.29,611.16,595.95
2025-11-05,622.82,634.76,617.31,620.54,627.41,630.0,624.94,596.73,608.32,637.3
2025-11-06,622.78,596.13,602.83,617.72,620.27,620.73,624.19,621.7,629.15,630.86
2025-11-07,613.03,617.87,599.74,594.9,632.03,627.72,601.39,584.93,638.75,623.74
2025-11-10,595.69,629.99,626.37,649.81,631.25,622.98,636.18,621.76,608.54,618.04
2025-11-11,629.24,624.02,626.72,623.12,618.88,643.5,598.67,613.85,636.25,635.65
2025-11-12,629.19,620.81,627.02,613.21,625.11,635.94,601.06,604.76,605.95,618.08
2025-11-13,599.54,595.29,613.12,615.73,620.37,598.7,596.16,608.39,593.8,
2025-11-14,600.23,640.14,617.47,608.73,648.45,626.62,611.35,593.72,599.45,586.85
2025-11-17,612.73,598.44,591.77,594.67,603.59,628.56,576.99,601.74,646.95,634.19
2025-11-18,613.21,616.43,618.94,599.87,579.65,596.3,609.38,587.21,630.41,606.04
2025-11-19,578.98,608.66,619.1,614.71,589.4,599.38,619.72,614.2,609.4,586.58
2025-11-20,598.79,606.87,606.19,591.66,570.51,595.16,596.61,599.37,602.99,600.01
2025-11-21,580.93,599.59,590.77,593.97,610.35,608.43,581.49,561.31,562.61,571.02
2025-11-24,593.88,596.87,588.82,602.06,613.22,610.05,581.57,586.65,608.45,594.89
2025-11-25,609.62,616.42,602.86,606.67,588.03,601.11,612.9,621.17,599.23,632.11
2025-11-26,613.73,610.49,616.61,619.9,601.06,594.75,596.35,623.21,618.2,609.91
2025-11-28,599.71,589.99,638.36,648.18,614.82,617.05,611.72,584.14,629.88,619.79
2025-12-01,609.45,625.96,619.96,616.03,646.64,626.92,606.86,624.73,592.26,633.95
2025-12-02,634.3,634.83,610.22,639.84,618.06,619.43,619.99,624.92,590.32,635.6
2025-12-03,609.94,614.48,624.28,630.74,642.12,619.85,632.02,616.29,624.77,627.03
2025-12-04,615.23,618.68,625.99,630.41,621.23,624.99,616.01,610.01,620.1,628.37
2025-12-05,632.77,618.44,647.24,650.62,613.18,660.16,640.98,625.77,614.99,622.28
2025-12-08,625.9,625.36,631.77,616.92,618.94,630.23,634.91,628.93,645.99,603.83
2025-12-09,632.07,620.95,645.92,635.03,637.33,642.24,625.96,630.74,624.76,589.87
2025-12-10,620.77,630.21,632.48,635.23,631.88,622.98,636.17,640.03,607.82,637.1
2025-12-11,618.04,630.03,633.14,637.27,631.78,618.8,615.75,630.83,620.72,625.86
2025-12-12,620.75,617.33,630.99,614.94,624.18,589.92,606.66,645.15,596.17,600.02
2025-12-15,623.84,603.61,617.38,631.69,613.91,642.27,638.57,584.54,594.16,613.02
2025-12-16,618.34,614.81,609.94,611.31,623.65,605.04,616.28,600.31,609.23,590.9
2025-12-17,605.35,610.2,616.97,610.84,624.14,614.78,601.95,580.07,596.92,599.05
2025-12-18,609.85,614.91,597.78,600.02,604.86,604.15,614.28,591.41,598.87,617.92
2025-12-19,627.53,622.5,609.36,608.86,590.04,614.87,631.12,612.75,620.03,610.52
2025-12-22,612.9,625.55,619.43,615.28,619.12,622.81,636.51,621.83,617.94,616.65
2025-12-23,616.85,640.77,623.17,629.72,624.87,628.24,625.87,608.52,615.93,621.98
2025-12-24,626.46,614.96,620.18,601.13,604.03,623.35,610.64,620.85,625.0,630.9
2025-12-26,630.28,626.91,617.33,614.05,623.76,604.05,633.22,638.84,625.04,622.95
2025-12-29,627.24,622.23,624.87,615.12,635.09,593.95,623.71,619.99,610.2,612.23
2025-12-30,626.05,612.75,619.58,630.0,627.66,622.55,611.79,637.37,632.72,615.17
2025-12-31,618.99,621.25,625.65,632.63,609.12,618.14,603.37,616.74,614.33,605.6
2026-01-02,617.17,622.43,606.06,612.79,615.86,625.11,602.83,626.11,609.18,614.15
2026-01-05,624.94,629.83,619.75,623.21,628.18,620.94,615.13,614.18,647.53,615.59
2026-01-06,616.81,625.02,630.01,621.06,634.84,613.4,634.07,648.06,624.1,615.73
2026-01-07,626.78,609.86,629.19,604.64,625.83,643.57,630.0,600.47,622.14,625.16
2026-01-08,610.1,613.77,626.28,634.57,606.69,620.42,619.53,612.13,605.07,614.8
2026-01-09,633.32,610.01,628.25,619.93,618.81,596.06,657.38,609.2,629.37,630.05
2026-01-12,627.35,623.4,626.65,620.36,636.1,628.07,605.33,624.42,629.88,631.89
2026-01-13,633.03,619.65,651.62,629.99,620.1,628.4,637.13,601.17,633.45,618.05
2026-01-14,626.57,613.8,608.91,628.33,640.38,654.2,624.06,606.74,618.95,601.72
2026-01-15,614.55,626.21,628.55,620.86,623.14,635.13,636.01,627.07,620.14,616.01
2026-01-16,628.2,621.26,615.9,630.07,634.97,617.11,622.98,651.24,614.13,662.39
2026-01-20,621.99,603.96,627.81,648.91,618.24,631.69,632.41,585.27,598.99,616.25
2026-01-21,628.64,614.55,624.03,623.17,609.79,621.95,603.44,633.36,613.0,610.72
2026-01-22,629.17,610.05,623.09,615.08,621.58,612.37,613.66,614.56,619.27,627.74
2026-01-23,614.77,625.89,634.97,603.21,629.81,623.97,623.15,655.16,633.33,629.04
2026-01-26,625.06,632.6,628.96,637.19,618.44,599.99,621.79,596.73,638.11,626.93
2026-01-27,656.56,644.8,637.04,623.97,638.27,611.07,602.77,620.2,640.82,617.11
2026-01-28,641.1,645.85,640.11,621.88,638.31,630.93,636.66,619.68,644.9,632.78
2026-01-29,639.36,646.13,636.9,627.26,637.36,643.92,614.04,637.83,646.96,642.24
2026-01-30,625.33,628.73,642.92,634.83,629.16,615.02,624.1,610.05,630.09,606.17
2026-02-02,629.95,620.34,632.27,646.77,638.04,621.33,623.87,624.97,633.53,601.2
2026-02-03,624.21,615.07,606.21,642.49,621.77,633.12,619.96,603.38,617.79,597.28
2026-02-04,591.3,619.06,599.82,614.16,620.13,604.72,613.36,585.01,615.65,596.94
2026-02-05,610.09,594.8,603.41,605.8,581.16,591.19,608.11,588.06,589.9,590.28
2026-02-06,617.7,622.84,608.19,608.91,613.68,600.58,615.26,601.67,604.24,610.2
2026-02-09,615.51,625.07,622.09,610.74,618.07,625.75,606.1,601.37,620.17,594.18
2026-02-10,628.79,600.0,614.08,608.76,613.11,606.08,623.63,604.65,603.73,619.92
2026-02-11,630.06,625.88,620.56,595.67,600.77,608.2,615.97,625.42,623.32,606.38
2026-02-12,598.14,616.83,594.11,601.76,612.82,610.4,592.03,589.45,601.4,602.47
2026-02-13,619.98,590.17,600.78,599.97,614.96,630.1,634.04,623.58,606.82,625.63
2026-02-17,609.6,607.06,605.93,614.98,583.06,598.01,612.04,593.13,592.38,611.29
2026-02-18,613.81,608.12,584.02,629.34,591.7,607.02,622.1,588.14,597.96,589.21
2026-02-19,606.05,596.3,589.14,623.04,611.38,607.9,602.08,613.12,600.97,593.63
2026-02-20,618.1,603.78,601.18,620.88,613.13,596.45,594.0,599.21,608.43,609.91
2026-02-23,609.99,632.13,598.53,600.87,594.44,615.28,593.15,604.22,617.4,617.95
2026-02-24,605.99,608.7,615.92,630.42,620.92,599.93,604.74,593.78,597.63,610.91
2026-02-25,610.76,630.71,620.68,605.99,635.33,607.26,624.18,615.81,619.97,623.3
2026-02-26,614.72,601.56,599.87,609.69,620.92,629.79,608.24,610.24,626.11,604.99
2026-02-27,603.48,618.46,614.83,599.79,594.96,613.0,609.91,599.09,608.13,608.98
2026-03-02,600.1,610.1,615.05,595.36,604.83,619.96,591.35,625.82,633.19,608.77
2026-03-03,604.35,589.31,610.04,618.12,605.17,624.35,610.79,588.11,614.25,574.86
2026-03-04,603.91,604.94,625.48,628.15,633.93,619.82,596.22,613.92,594.45,587.63
2026-03-05,608.13,611.98,617.3,596.71,603.97,592.97,622.12,619.94,600.76,619.09
2026-03-06,612.56,590.29,610.28,604.82,603.01,607.0,617.17,588.96,588.15,599.93
2026-03-09,610.18,625.3,596.09,590.67,623.76,619.86,616.2,613.76,597.69,602.2
2026-03-10,598.99,614.0,594.03,623.7,608.73,595.42,618.71,616.65,620.23,620.95
2026-03-11,600.17,621.78,606.03,596.09,604.13,610.85,608.33,617.3,594.0,628.9
2026-03-12,610.3,601.18,619.82,612.99,605.83,586.71,598.2,583.62,584.31,588.05
2026-03-13,589.11,609.15,600.55,584.39,603.95,599.21,575.64,580.55,582.93,607.04
2026-03-16,599.6,596.36,591.87,581.74,605.35,617.3,593.18,608.81,604.26,600.51
2026-03-17,600.94,593.44,605.35,610.21,596.64,602.86,614.95,611.17,615.89,
2026-03-18,606.97,603.86,618.85,597.98,579.9,616.54,602.2,595.16,560.55,577.05
2026-03-19,605.9,584.2,608.12,596.47,601.28,579.42,610.88,609.87,586.69,588.82
2026-03-20,594.35,598.35,595.24,589.86,574.88,581.07,568.84,597.12,612.78,565.01
2026-03-23,578.9,594.97,602.72,593.86,569.09,596.81,594.5,589.15,584.91,575.04
2026-03-24,591.65,586.16,605.78,593.38,590.93,599.83,568.75,574.83,571.79,572.84
2026-03-25,578.86,575.88,596.88,593.62,603.03,608.77,595.97,590.04,570.09,586.11
2026-03-26,586.09,572.22,584.15,597.65,574.01,589.96,580.0,566.81,556.46,559.93
2026-03-27,571.62,579.35,576.62,564.25,559.77,554.76,548.51,545.81,569.04,590.97
2026-03-30,582.81,571.64,560.1,585.44,567.03,548.41,561.13,575.5,569.42,565.92
2026-03-31,588.6,574.97,582.26,579.27,568.4,597.09,585.93,562.61,572.01,578.3
2026-04-01,589.46,589.95,577.26,582.63,554.9,574.73,575.78,585.15,599.94,586.98
2026-04-02,571.72,593.55,585.64,608.34,603.21,594.26,590.68,559.85,589.98,599.47
2026-04-06,579.91,591.98,612.84,598.25,583.84,596.14,615.45,589.44,596.96,595.83
2026-04-07,585.85,571.31,597.7,603.84,573.12,579.6,591.84,598.86,611.39,580.95
2026-04-08,604.87,591.18,597.02,602.88,611.25,608.68,582.64,587.19,592.14,620.92
2026-04-09,597.11,617.86,620.56,600.11,609.04,626.73,623.74,617.3,613.21,573.84
2026-04-10,615.41,626.03,621.39,604.18,608.76,600.02,616.4,596.08,609.86,612.94
2026-04-13,610.12,595.58,620.11,624.75,626.16,589.38,642.28,605.01,611.25,618.85
2026-04-14,619.02,635.8,627.64,622.96,623.69,655.88,626.31,621.25,612.69,615.75
2026-04-15,626.35,634.54,640.99,627.83,629.89,609.93,628.78,650.5,645.09,623.94
2026-04-16,626.1,658.85,634.97,628.87,647.93,654.44,655.15,638.31,639.99,642.19
2026-04-17,640.91,659.62,650.08,636.06,664.29,644.7,642.26,635.02,655.13,631.44
2026-04-20,649.67,648.13,638.58,642.05,670.88,626.78,645.79,655.62,651.45,657.66
2026-04-21,653.14,644.77,659.91,660.8,669.08,647.17,630.17,640.86,656.87,628.83
2026-04-22,675.81,650.88,646.92,659.42,655.25,665.67,639.84,643.14,663.41,644.85
2026-04-23,659.97,658.07,636.14,655.51,667.12,648.27,642.41,637.22,638.99,655.16
2026-04-24,669.61,670.06,679.38,678.74,649.15,655.34,669.08,674.84,654.02,653.12
2026-04-27,672.51,648.64,651.83,672.96,664.09,657.81,675.32,694.97,680.06,698.92
2026-04-28,666.06,649.46,625.05,661.58,671.71,704.62,674.15,660.0,662.48,641.47
2026-04-29,685.62,654.18,670.06,665.77,671.23,639.27,661.78,669.04,671.97,652.37
2026-04-30,655.17,680.03,659.36,669.06,664.06,676.54,650.95,671.33,651.85,
2026-05-01,664.4,673.04,679.82,666.06,690.04,683.07,685.99,681.27,659.88,651.05
2026-05-04,664.46,678.06,681.15,686.5,655.74,683.22,697.76,655.13,658.83,662.37
2026-05-05,683.11,677.82,666.7,704.1,675.88,672.99,693.82,673.95,691.62,695.72
2026-05-06,695.39,686.23,680.88,693.26,697.95,715.13,677.69,684.78,689.83,702.06
2026-05-07,698.48,700.23,681.23,689.94,685.67,707.28,684.75,714.18,703.98,683.13
2026-05-08,710.71,697.32,694.35,703.1,715.25,717.43,705.51,709.92,730.41,727.45
2026-05-11,696.07,715.05,682.62,712.91,708.91,722.84,724.97,702.77,705.3,706.82
2026-05-12,719.87,698.07,697.68,721.11,712.78,693.62,695.7,715.33,716.58,707.68
2026-05-13,710.18,698.39,696.87,727.64,701.07,694.28,689.83,711.14,715.49,724.98
2026-05-14,717.77,729.79,710.1,730.43,706.05,715.7,727.38,720.04,734.02,736.28
2026-05-15,714.65,718.07,721.17,709.76,723.5,715.53,684.79,692.19,698.46,701.28
2026-05-18,713.16,733.5,706.08,693.54,704.86,693.17,721.77,711.17,725.76,715.85
2026-05-19,705.99,701.25,710.87,692.29,698.57,715.62,704.06,709.98,689.93,699.81
2026-05-20,703.9,730.43,719.84,727.99,701.02,706.04,678.32,707.17,683.7,718.03
2026-05-21,705.38,727.88,711.75,701.17,723.68,708.08,714.18,709.61,703.55,
2026-05-22,694.02,720.25,707.26,702.85,741.16,749.53,698.95,732.89,716.04,736.14
2026-05-26,740.07,728.14,730.31,720.78,716.23,724.04,717.09,722.46,709.35,732.59
2026-05-27,720.15,745.1,712.03,739.11,737.79,717.75,729.08,734.94,726.71,724.89
2026-05-28,723.89,738.15,735.31,745.06,749.46,740.66,727.96,729.84,749.93,740.1
2026-05-29,727.98,729.72,745.14,747.33,751.98,721.52,742.22,743.41,756.96,737.98
2026-06-01,745.57,733.13,740.0,757.82,744.96,727.58,753.3,749.93,759.65,769.66
2026-06-02,744.9,736.37,735.12,764.94,753.14,727.04,739.8,760.88,754.61,731.23
