date,bl_1,bl_2,bl_3,bl_4,bl_5,bl_6,bl_7,bl_8,bl_9,bl_10
2025-09-30,2486.89,2334.38,2479.44,2424.84,2296.01,2496.78,2475.08,2116.81,2430.07,2393.35
2025-10-01,2511.59,2429.41,2582.28,2450.0,2501.74,2487.7,2483.92,2295.94,2084.83,2375.86
2025-10-02,2474.99,2348.33,2454.82,2424.9,2460.12,1963.57,2276.6,2561.43,2525.18,2442.71
2025-10-03,2524.41,2460.54,2449.79,2600.11,2546.24,2475.27,2443.21,2311.25,2455.36,2472.94
2025-10-06,2489.96,2277.47,2504.2,2508.93,2373.17,2469.25,2492.32,2610.26,2533.02,2249.32
2025-10-07,2505.4,2491.22,2440.7,2425.28,2612.63,2593.33,3047.66,2624.41,2177.38,2470.31
2025-10-08,2468.72,2531.29,2475.16,2536.52,2200.26,2333.86,2510.26,2270.21,2553.74,2567.18
2025-10-09,2489.55,2460.5,2542.37,2515.03,2451.12,2579.87,2282.88,2475.32,2528.3,2118.77
2025-10-10,2429.57,2372.27,2449.82,2130.86,2474.47,2464.46,2041.1,2195.34,2190.54,2444.55
2025-10-13,2441.32,2413.2,2507.32,2444.74,2682.31,2493.38,2155.75,2511.11,2622.72,2096.4
2025-10-14,2704.25,2460.14,2474.87,2217.93,2546.07,2484.67,2519.87,2524.95,2082.27,2540.04
2025-10-15,2499.32,2494.95,2525.04,2557.88,2602.98,2583.5,1999.21,2276.41,2247.78,2534.49
2025-10-16,2510.54,2377.06,2531.8,2487.11,2474.38,2429.77,2694.44,2519.53,2256.09,2048.45
2025-10-17,2500.42,2519.73,2698.71,2216.1,2510.13,2428.9,2670.45,2113.1,2480.33,2496.42
2025-10-20,2479.9,2561.67,2472.13,2550.65,2625.17,2098.5,2489.61,2502.02,2510.03,2218.99
2025-10-21,2530.49,2480.17,2533.34,2678.61,2599.74,2522.07,2049.6,2561.38,2428.67,2454.19
2025-10-22,2449.37,2469.44,2120.99,2314.91,2530.22,2520.81,2518.81,2155.61,2720.95,2686.91
2025-10-23,2500.26,2431.34,2529.72,2460.0,2469.58,2594.15,2526.29,2205.82,2092.22,2507.07
2025-10-24,2490.27,2554.71,2550.02,2449.37,2559.79,2578.65,2580.17,2814.31,2614.86,2062.27
2025-10-27,2499.02,2519.14,2565.58,2592.9,2574.41,2088.25,2344.44,2414.71,2474.98,2260.27
2025-10-28,2531.47,2363.01,2540.09,2484.9,2551.41,2500.32,2700.7,2574.68,2769.06,2014.0
2025-10-29,2529.21,2552.88,2459.96,2023.09,2344.01,2450.38,2382.89,2486.07,2560.34,2510.24
2025-10-30,2509.19,2440.62,2450.55,2525.94,2436.63,2559.45,2370.0,2029.6,2467.18,2399.5
2025-10-31,2402.85,2589.49,2042.16,2540.14,2454.36,2457.42,2558.2,2345.23,2884.05,2807.97
2025-11-03,2494.71,2509.57,2444.07,2474.69,2468.53,2515.55,2618.45,2523.44,2064.27,2402.81
2025-11-04,2474.43,2374.42,2400.39,2495.36,2480.02,2109.48,1942.23,2439.87,2419.86,2523.56
2025-11-05,2508.41,2459.28,2528.92,2489.45,2524.08,2086.73,1978.64,2438.42,2466.41,2478.92
2025-11-06,2389.7,2424.03,2524.93,2479.63,1867.23,2458.84,2469.21,2474.81,2178.02,2546.25
2025-11-07,2475.31,2025.31,2135.26,2404.47,2383.55,2837.58,2781.03,2557.8,2423.89,2556.12
2025-11-10,2429.92,2475.07,2432.9,3005.24,2235.86,2449.37,2499.1,2003.5,2495.09,2508.95
2025-11-11,2529.01,2499.72,2340.93,2432.93,2537.57,2310.84,2477.74,2653.96,2029.79,2447.44
2025-11-12,2499.47,2493.62,2448.47,2398.99,2425.98,1999.92,2529.61,2708.15,2472.26,2475.43
2025-11-13,2337.61,2353.88,2425.9,2498.6,2042.74,2500.3,2221.19,2523.55,2699.55,2369.86
2025-11-14,2260.62,2542.69,2430.66,2361.19,2377.28,2439.37,2711.89,2101.75,2516.22,3152.63
