date,bl_1,bl_2,bl_3,bl_4,bl_5,bl_6,bl_7,bl_8,bl_9,bl_10
2025-09-30,458.75,457.09,464.26,462.87,451.23,450.67,461.87,460.16,457.55,454.8
2025-10-01,462.87,453.04,461.2,464.87,443.68,450.45,440.8,467.08,469.0,478.76
2025-10-02,448.71,456.62,414.13,416.8,418.42,423.89,429.24,430.27,431.99,432.68
2025-10-03,444.7,436.26,447.64,452.09,412.53,413.91,416.64,418.12,422.34,425.96
2025-10-06,428.64,462.48,435.61,475.89,472.28,471.81,464.82,463.62,462.09,458.69
2025-10-07,419.18,454.05,446.04,457.63,444.58,436.71,455.97,454.63,452.15,446.78
2025-10-08,459.97,428.44,454.8,414.0,461.34,421.18,455.71,434.88,450.82,448.71
2025-10-09,421.58,442.99,411.58,454.73,441.43,450.62,430.24,437.01,434.32,449.61
2025-10-10,434.42,413.54,426.73,433.38,394.97,422.71,422.14,417.01,412.97,410.88
2025-10-13,443.18,413.08,429.15,434.95,450.2,437.5,435.86,430.06,449.05,420.76
2025-10-14,418.44,438.77,430.83,430.61,428.14,417.26,425.65,433.98,440.57,408.88
2025-10-15,438.07,433.31,431.93,451.77,423.82,453.01,457.95,412.28,441.72,446.69
2025-10-16,439.23,414.49,449.74,447.61,440.66,422.1,428.82,439.95,411.33,435.88
2025-10-17,455.23,420.37,440.67,447.31,421.34,431.6,461.06,460.21,458.3,456.21
2025-10-20,448.18,468.44,453.47,442.4,445.17,427.58,469.24,433.32,435.2,446.47
2025-10-22,429.14,460.37,447.28,450.47,443.84,425.08,449.81,426.21,453.44,458.08
2025-10-23,451.66,453.93,449.79,444.47,448.02,469.39,440.28,468.24,466.71,439.03
2025-10-24,441.78,456.36,417.26,436.37,418.75,448.89,446.42,441.33,452.39,440.79
2025-10-27,452.84,433.53,437.04,443.32,460.75,438.85,430.23,457.58,429.36,468.52
2025-10-28,459.0,463.97,478.32,470.91,483.76,443.87,465.93,482.46,480.67,440.43
2025-10-29,468.93,450.29,469.61,443.14,451.96,453.57,460.79,463.88,466.37,473.83
2025-10-30,452.16,462.04,422.88,448.91,428.15,463.64,449.27,445.65,439.09,438.47
2025-10-31,468.0,443.98,435.4,461.81,477.54,456.43,470.47,476.13,475.09,465.67
2025-11-03,462.47,485.19,444.54,445.49,458.8,468.17,469.79,487.9,455.38,448.15
2025-11-04,463.37,460.93,445.31,444.87,458.37,428.52,433.71,465.67,449.93,447.84
2025-11-05,483.66,461.64,466.69,443.34,445.16,439.76,484.83,478.13,464.82,442.74
2025-11-06,460.75,444.75,427.22,438.31,442.01,467.61,466.68,462.79,456.48,456.05
2025-11-07,452.41,406.58,448.15,451.14,443.38,425.11,441.85,438.04,434.27,431.93
2025-11-10,454.94,440.78,450.84,441.61,462.04,458.81,457.21,424.63,448.88,446.81
2025-11-11,445.53,455.57,457.61,421.94,446.65,448.69,425.6,447.49,448.26,444.81
2025-11-12,411.47,416.71,444.96,415.21,422.4,428.04,430.48,436.65,439.13,413.27
2025-11-13,387.41,382.96,423.12,393.33,416.71,402.5,423.98,421.53,420.49,416.34
2025-11-14,406.46,414.88,390.7,422.43,421.15,418.05,392.03,415.73,389.13,416.96
2025-11-17,406.31,413.38,406.84,424.17,419.74,397.04,403.61,408.16,409.08,429.51
2025-11-18,413.44,400.85,403.26,395.88,400.2,421.79,380.66,403.51,402.71,401.32
2025-11-19,405.5,417.11,406.23,408.26,403.0,411.55,419.05,395.54,422.3,392.29
2025-11-20,394.66,410.35,395.12,394.19,385.21,405.37,384.09,387.87,391.59,388.62
2025-11-21,390.04,411.52,389.59,404.28,400.45,391.54,385.02,390.98,409.68,409.2
2025-11-24,394.07,420.94,409.61,405.01,401.86,417.54,434.36,433.28,428.54,411.26
2025-11-25,441.5,399.78,431.75,404.66,417.05,397.44,429.48,427.04,396.63,416.44
2025-11-26,404.06,426.03,436.83,402.19,450.72,444.24,435.96,427.48,430.88,423.45
2025-11-28,441.78,427.11,417.9,451.01,449.11,437.76,424.01,419.89,418.66,454.15
2025-12-01,439.53,425.82,445.62,434.02,450.33,443.58,417.98,422.56,433.36,419.68
2025-12-02,433.27,420.84,425.0,437.66,419.56,412.65,438.83,416.89,429.96,432.36
2025-12-03,464.82,468.89,436.66,428.74,426.98,431.66,435.58,460.45,460.83,453.25
2025-12-04,443.71,464.25,463.04,447.58,448.93,451.7,456.73,459.15,459.72,477.05
2025-12-05,460.28,434.37,438.66,472.94,469.22,473.65,467.56,464.35,456.04,433.89
2025-12-08,441.39,449.58,452.26,442.67,433.13,445.07,458.03,457.7,451.07,450.32
2025-12-09,453.21,444.4,430.42,462.03,434.94,448.96,444.87,436.74,439.66,440.8
2025-12-10,461.83,442.34,448.96,466.72,458.98,448.39,469.86,438.21,440.39,458.72
2025-12-11,455.63,466.54,437.48,436.95,462.31,459.21,436.02,453.5,452.09,444.7
2025-12-12,479.47,465.12,444.88,447.65,472.83,470.89,460.76,456.4,449.67,454.79
2025-12-15,462.67,474.87,459.1,469.92,493.33,465.7,491.52,489.59,481.83,481.33
2025-12-16,484.08,474.42,495.85,485.25,508.38,506.02,501.44,496.14,473.2,489.3
2025-12-17,478.21,453.83,464.59,447.17,461.28,453.06,476.17,477.72,485.76,484.3
2025-12-18,503.42,486.35,502.75,498.39,496.54,493.88,493.12,490.15,488.14,467.05
2025-12-19,491.45,485.17,477.8,462.6,489.7,484.53,483.66,473.99,460.52,459.92
2025-12-22,489.51,476.87,483.09,502.91,495.95,493.82,490.84,480.38,504.28,505.65
2025-12-23,488.65,491.63,470.77,473.36,504.58,496.89,493.88,506.14,503.33,500.23
2025-12-24,502.02,474.26,493.25,494.75,481.54,478.69,491.44,500.65,469.39,480.14
2025-12-26,469.46,474.98,465.11,486.95,470.56,476.44,492.13,488.03,487.77,483.44
2025-12-29,463.47,475.37,473.34,470.03,465.5,462.01,455.88,469.15,462.91,460.17
2025-12-30,454.31,471.82,463.12,470.56,467.9,465.95,445.64,459.08,455.65,471.03
2025-12-31,449.55,449.88,453.5,454.25,457.7,458.96,460.68,466.03,434.24,438.08
2026-01-02,440.79,423.68,436.16,452.87,448.19,447.38,444.17,438.86,420.19,433.47
2026-01-05,457.78,453.91,467.7,438.33,463.06,460.15,449.88,459.28,433.99,468.08
2026-01-06,422.96,415.03,416.4,423.59,416.9,423.87,424.75,436.9,437.85,438.34
2026-01-07,412.9,418.59,442.63,415.86,420.73,444.81,428.05,430.96,431.86,436.02
2026-01-08,427.89,429.32,422.58,448.31,450.27,420.43,431.62,435.35,436.36,437.12
