session_date,eod_date,spot_eod,spot_intraday,cr,cr_gex,ps,ps_gex,hvl,hvl_gex,d1_min,d1_min_gex,d1_max,d1_max_gex,cr0,cr0_gex,ps0,ps0_gex,hvl0,hvl0_gex,gw0,gw0_gex,gex_1,gex_1_gex,gex_2,gex_2_gex,gex_3,gex_3_gex,gex_4,gex_4_gex,gex_5,gex_5_gex,gex_6,gex_6_gex,gex_7,gex_7_gex,gex_8,gex_8_gex,gex_9,gex_9_gex,gex_10,gex_10_gex
2021-09-27,2021-09-27,,,800.0,43104751.42682505,720.0,-21649964.077768147,745.0,-1740212.1272105174,747.04,,835.68,,800.0,43104751.42682505,700.0,-14495972.064198088,755.0,-428462.6541548433,800.0,43104751.42682505,830.0,9953656.657554738,780.0,10764743.54256884,810.0,10187837.02537194,790.0,10617664.702715993,820.0,7015080.088676935,850.0,10902313.6534104,740.0,-2240083.5885966844,710.0,-11234760.028210768,730.0,-5133837.0127638355,715.0,-4233373.373948585
2021-09-28,2021-09-28,777.56,777.56,800.0,36671268.242306426,720.0,-33094094.88691964,755.0,-1715541.5898157847,736.3,,818.82,,800.0,36671268.242306426,700.0,-19693634.516987894,765.0,-387679.9799727566,800.0,36671268.242306426,810.0,11305614.323783245,750.0,-1515710.2709680875,780.0,5723815.826827278,740.0,-4735402.604074368,790.0,7115592.952781574,850.0,11982575.939052444,830.0,9796748.978353785,710.0,-14496041.537316509,730.0,-13693307.601611936,735.0,-9660746.780573418
2021-09-29,2021-09-29,781.31,781.3,800.0,39458634.66923347,720.0,-32204116.438710257,765.0,-515829.6085316351,748.01,,814.61,,800.0,39458634.66923347,700.0,-15534754.50818409,765.0,-515829.6085316351,800.0,39458634.66923347,810.0,14483251.207923869,750.0,-1844435.7510049941,780.0,7035901.193564953,790.0,10705046.339387888,805.0,6512431.091140545,830.0,9095902.95044934,740.0,-5080623.201525088,735.0,-11685749.14590982,820.0,10487911.465215784,730.0,-13644395.171301875
2021-09-30,2021-09-30,775.48,775.12,800.0,35231760.050338835,720.0,-33904798.876564205,775.0,-812583.513939029,751.08,,799.88,,800.0,35231760.050338835,700.0,-16381871.608619323,775.0,-812583.513939029,800.0,35231760.050338835,780.0,5453459.986884613,790.0,9760101.54794197,795.0,3437844.3351066997,760.0,-1077553.3583451456,785.0,4189127.6969416947,810.0,12708787.987024663,750.0,-3438596.3574558394,735.0,-13357489.03763801,740.0,-5888484.055837143,820.0,7533419.747770499
2021-10-01,2021-10-01,775.22,775.22,800.0,29438038.711084478,720.0,-14426234.221754353,760.0,-113241.0299446115,721.75,,828.69,,800.0,29438038.711084478,740.0,-12235710.739168715,775.0,404199.5641240497,800.0,29438038.711084478,810.0,7367781.613232652,780.0,5536512.186709106,725.0,-6752247.867928234,820.0,4562286.562113624,735.0,-4775299.866811782,700.0,-6566716.08719069,850.0,10299304.177582288,830.0,6338733.006688744,680.0,-1703832.5623698067,690.0,-1071315.758171426
2021-10-04,2021-10-04,781.53,781.59,800.0,41049476.340811424,720.0,-13593574.283381809,760.0,-419325.0365658711,733.78,,829.28,,800.0,41049476.340811424,700.0,-11102509.903904064,775.0,6302.55857148458,800.0,41049476.340811424,810.0,8991561.823585646,820.0,11608834.331805326,740.0,-12754854.00160139,780.0,6168121.837719528,750.0,-931486.6689095929,850.0,11009450.451958312,830.0,8333803.252362833,690.0,-6659180.612565521,725.0,-8671575.596695349,730.0,-6573772.046263831
2021-10-05,2021-10-05,780.59,780.6,800.0,30138727.222564645,740.0,-14908025.989252696,775.0,-1322310.3970484545,737.46,,823.72,,800.0,30138727.222564645,740.0,-14908025.989252696,775.0,-1322310.3970484545,800.0,30138727.222564645,750.0,-4548152.970241413,810.0,10694762.746516772,820.0,9863107.124594696,780.0,5057961.00000502,790.0,4099934.603392479,700.0,-12186800.064181024,850.0,11226289.255054876,830.0,7265527.994711855,725.0,-8546461.859576384,730.0,-7405402.156740418
2021-10-06,2021-10-06,782.75,782.53,800.0,39209514.78048402,720.0,-14098156.603852205,775.0,-1440259.4629893587,748.33,,817.17,,800.0,39209514.78048402,725.0,-11030726.84909446,775.0,-1440259.4629893587,800.0,39209514.78048402,810.0,11325867.718257265,750.0,-2242460.3413826153,780.0,7313491.533802713,795.0,6367697.228817391,790.0,4853618.62367739,830.0,13161200.2883025,850.0,11748079.577960378,740.0,-10609859.772812657,820.0,10565453.800307252,730.0,-5229818.94492586
2021-10-08,2021-10-08,785.49,785.52,800.0,16700627.98489002,720.0,-10147392.38542155,745.0,-1341030.5246634593,734.96,,836.02,,800.0,16700627.98489002,700.0,-6634484.3723336635,745.0,-1341030.5246634593,800.0,16700627.98489002,830.0,13078269.688826399,750.0,3315104.875537227,820.0,11797439.599663498,810.0,9821835.38834512,780.0,4559620.809850707,850.0,11102089.016897498,690.0,-7094959.274023548,730.0,-4906407.210409829,860.0,3089752.9473182145,880.0,1879127.3122733098
2021-10-11,2021-10-11,791.94,791.67,810.0,23931645.01744319,700.0,-7382225.312491903,775.0,-1286230.7714491542,746.94,,836.94,,810.0,23931645.01744319,700.0,-7382225.312491903,775.0,-1286230.7714491542,810.0,23931645.01744319,800.0,20241573.45903961,830.0,16215827.859819125,820.0,19573833.727287892,750.0,1120487.180837199,805.0,8659661.72023858,850.0,11909687.804297885,720.0,-5032163.223794263,740.0,-2852816.956781435,730.0,-3180614.5076866085,735.0,-5949630.621287898
2021-10-12,2021-10-12,805.72,805.73,810.0,33914608.77220127,750.0,-27319359.675563544,790.0,-444001.0838621495,766.85,,844.59,,810.0,33914608.77220127,750.0,-27319359.675563544,775.0,-1796560.945973738,810.0,33914608.77220127,800.0,22131608.67396878,820.0,30230118.864250086,830.0,23153112.232803263,805.0,9906341.528566953,780.0,1884539.2681823466,850.0,17203266.120865166,740.0,-3152180.613440165,730.0,-2496997.5515132565,860.0,4667169.837621763,880.0,2747838.624399492
