date,call_resistance,call_resistance_0dte,high_vol_level,put_support,put_support_0dte,1d_max,1d_min,distance_to_hvl_%,implied_vol_30d,total_gex,net_gex,expiring_gex,put_call_gex,total_dex,net_dex,put_call_dex,bl_1,bl_2,bl_3,bl_4,bl_5,bl_6,bl_7,bl_8,bl_9,bl_10,hvl_0dte,gamma_wall_0dte,gex_1,gex_2,gex_3,gex_4,gex_5,gex_6,gex_7,gex_8,gex_9,gex_10,top_gex_strike_1,top_gex_strike_2,top_gex_strike_3,contract,pc_oi,gamma_condition,exp_move_1d_pct,option_score,momentum_score,volatility_score,seasonality_score
2026-03-06,0.75,0.78,0.695,0.69,0.69,0.70507,0.69603,0.79%,10.24,4719.63M,2297.18M,466.46M,0.34524,204.86M,95.36M,0.36471,,,,,,,,,,,0.695,0.78,0.7,0.705,0.72,0.68,0.71,0.66,0.725,0.64,0.67,0.76,0.7,0.705,0.72,6AU2026,0.23,Positive,0.64,,,,
2026-03-09,0.75,0.78,0.715,0.715,0.715,0.70684,0.69776,1.81%,10.26,6057.76M,1092.98M,-784.87M,0.6943,285.67M,24.44M,0.84237,,,,,,,,,,,0.715,0.78,0.7,0.705,0.71,0.695,0.72,0.68,0.69,0.66,0.725,0.64,0.7,0.705,0.71,6AU2026,0.50,Positive,0.65,,,,
2026-03-10,0.75,0.78,0.715,0.715,0.715,0.71568,0.70672,0.53%,9.99,6425.75M,1563.74M,-571.35M,0.60855,299.8M,78.09M,0.58671,,,,,,,,,,,0.715,0.78,0.71,0.72,0.705,0.7,0.68,0.725,0.66,0.695,0.67,0.64,0.71,0.72,0.705,6AU2026,0.50,Positive,0.63,,,,
2026-03-11,0.75,0.78,0.715,0.715,0.715,0.71739,0.70821,0.31%,10.23,6467.06M,1693.77M,-467.67M,0.5849,306.4M,90.36M,0.54451,,,,,,,,,,,0.715,0.78,0.71,0.72,0.705,0.7,0.68,0.725,0.66,0.69,0.695,0.76,0.71,0.72,0.705,6AU2026,0.50,Positive,0.64,,,,
2026-03-12,0.75,0.78,0.715,0.715,0.715,0.71062,0.70128,1.28%,10.49,6203.96M,1304.83M,-661.69M,0.65245,295M,48.36M,0.71833,,,,,,,,,,,0.715,0.78,0.71,0.705,0.7,0.72,0.68,0.69,0.66,0.725,0.695,0.64,0.71,0.705,0.7,6AU2026,0.50,Positive,0.66,,,,
2026-03-13,0.75,0.78,0.715,0.715,0.715,0.7033,0.6936,2.37%,11.03,5852.66M,997.90M,-742.81M,0.70867,289.15M,8.61M,0.94216,,,,,,,,,,,0.715,0.78,0.7,0.695,0.69,0.705,0.72,0.71,0.68,0.66,0.725,0.64,0.7,0.695,0.69,6AU2026,0.51,Positive,0.7,,,,
2026-03-16,0.75,0.78,0.715,0.715,0.715,0.71017,0.70073,1.35%,10.62,6210.55M,1281.43M,-673.18M,0.65792,294.6M,46.09M,0.72945,,,,,,,,,,,0.715,0.78,0.71,0.705,0.7,0.72,0.68,0.69,0.66,0.725,0.695,0.64,0.71,0.705,0.7,6AU2026,0.50,Positive,0.67,,,,
2026-03-17,0.75,0.78,0.715,0.715,0.715,0.71287,0.70363,0.95%,10.37,6378.19M,1399.20M,-653.91M,0.64019,296.7M,61.12M,0.65838,,,,,,,,,,,0.715,0.78,0.71,0.705,0.7,0.72,0.68,0.725,0.66,0.69,0.695,0.64,0.71,0.705,0.7,6AU2026,0.51,Positive,0.65,,,,
2026-03-18,0.75,0.78,0.715,0.715,0.715,0.70768,0.69832,1.71%,10.57,6530.55M,1198.77M,-749.50M,0.68981,308.65M,33.89M,0.80211,,,,,,,,,,,0.715,0.78,0.7,0.705,0.71,0.695,0.72,0.68,0.69,0.66,0.725,0.64,0.7,0.705,0.71,6AU2026,0.51,Positive,0.67,,,,
2026-03-19,0.75,0.78,0.715,0.715,0.715,0.70989,0.70041,1.40%,10.66,6534.71M,1236.04M,-767.50M,0.68187,310.1M,45.14M,0.74587,,,,,,,,,,,0.715,0.78,0.705,0.7,0.71,0.72,0.68,0.69,0.66,0.725,0.695,0.64,0.705,0.7,0.71,6AU2026,0.51,Positive,0.67,,,,
