date,call_resistance,call_resistance_0dte,high_vol_level,put_support,put_support_0dte,1d_max,1d_min,distance_to_hvl_%,implied_vol_30d,total_gex,net_gex,expiring_gex,put_call_gex,total_dex,net_dex,put_call_dex,bl_1,bl_2,bl_3,bl_4,bl_5,bl_6,bl_7,bl_8,bl_9,bl_10,hvl_0dte,gamma_wall_0dte,gex_1,gex_2,gex_3,gex_4,gex_5,gex_6,gex_7,gex_8,gex_9,gex_10,top_gex_strike_1,top_gex_strike_2,top_gex_strike_3,contract,pc_oi,gamma_condition,exp_move_1d_pct,option_score,momentum_score,volatility_score,seasonality_score
2026-03-23,70,70,80.5,67,67,82.48,77.12,0.88%,53.23,80.40M,-5.76M,-5.76M,1.15,2.49B,754.1M,0.53,76.03,83.0,70.01,81.0,79.73,78.03,77.78,79.4,85.05,84.05,80.5,70.0,78.0,80.0,81.0,78.5,82.0,75.0,76.0,84.0,85.0,74.5,78,80,81,CLQ2026,1.44,Negative,3.35,3,5,5,0
2026-03-24,71,71,80.5,67,67,86.84,80.96,4.05%,55.58,77.58M,-4.95M,-4.95M,1.14,2.72B,1.05B,0.44,80.54,84.96,80.98,80.42,86.86,79.12,81.16,82.41,88.03,87.9,80.5,71.0,84.0,85.0,86.0,81.0,83.5,80.0,78.5,88.0,87.5,79.0,84,85,86,CLQ2026,1.50,Negative,3.5,3,4,5,0
2026-03-25,71,71,80.5,67,67,85.41,79.59,2.42%,55.92,81.83M,-8.18M,-8.18M,1.22,2.72B,901M,0.5,78.68,84.48,85.41,80.41,80.64,81.75,79.59,85.75,88.49,84.03,80.5,71.0,84.0,80.0,85.0,81.0,83.5,78.0,86.0,78.5,88.0,86.5,84,80,85,CLQ2026,1.56,Negative,3.52,3,4,5,0
2026-03-26,71,71,80.5,67,67,88.3,82,5.46%,58.81,76.68M,-6.36M,-6.36M,1.18,2.81B,1.11B,0.43,83.02,84.98,84.52,87.15,82.33,83.48,83.43,89.98,79.9,87.21,80.5,71.0,84.0,86.0,85.0,83.5,83.0,90.0,80.0,81.0,90.5,91.0,84,86,85,CLQ2026,1.58,Negative,3.7,3,4,5,-1
2026-03-27,71,71,80.5,67,67,89.17,82.61,6.28%,60.56,74.77M,-5.79M,-5.79M,1.17,2.85B,1.17B,0.42,89.9,82.85,89.24,82.17,90.77,81.01,80.25,82.27,83.49,86.46,80.5,71.0,84.0,86.0,85.0,83.5,83.0,90.0,81.0,90.5,80.0,82.5,84,86,85,CLQ2026,1.58,Negative,3.81,3,4,5,1
2026-03-30,71,71,80.5,75,75,89.58,82.86,6.63%,61.95,77.82M,-6.68M,-6.68M,1.19,2.97B,1.18B,0.43,83.68,88.33,87.99,84.63,82.86,83.87,90.01,83.47,86.97,87.85,80.5,71.0,84.0,85.0,86.0,83.5,88.0,90.0,81.0,80.0,90.5,92.5,84,85,86,CLQ2026,1.59,Negative,3.9,4,5,5,3
2026-03-31,100,100,80.5,75,75,84.65,78.61,1.38%,58.66,92.67M,-8.31M,-8.31M,1.2,2.97B,854M,0.55,78.52,84.22,83.39,80.79,79.42,84.81,85.81,84.13,86.6,86.83,80.5,100.0,80.0,84.0,81.0,83.5,82.0,76.0,78.0,78.5,85.0,86.5,80,84,81,CLQ2026,1.47,Negative,3.7,4,5,5,2
2026-04-01,100,100,80.5,67,67,82.49,76.61,1.19%,58.76,96.25M,-10.77M,-10.77M,1.25,2.94B,626.5M,0.65,79.58,81.64,80.57,77.44,80.52,86.34,76.91,82.69,67.88,80.99,80.5,100.0,80.0,78.0,81.0,82.0,78.5,75.0,76.0,84.0,74.5,83.5,80,78,81,CLQ2026,1.47,Negative,3.7,3,4,5,3
2026-04-02,100,100,80.5,75,75,85.85,79.17,2.44%,64.33,88.01M,-7.46M,-7.46M,1.19,3.07B,899.3M,0.55,77.05,82.16,75.37,100.0,93.62,89.13,88.91,87.97,86.33,86.01,80.5,100.0,80.0,84.0,82.0,81.0,85.0,76.0,78.0,78.5,87.0,86.5,80,84,82,CLQ2026,1.47,Negative,4.05,3,5,5,4
2026-04-06,100,100,80.5,75,75,87.19,80.31,3.88%,65.2,89.37M,-4.60M,-4.60M,1.11,3.19B,1.07B,0.5,84.18,83.3,82.46,82.1,80.74,80.81,83.82,86.35,91.8,88.43,80.5,100.0,84.0,85.0,87.0,85.5,81.0,90.0,78.0,80.0,78.5,90.5,84,85,87,CLQ2026,1.41,Negative,4.11,3,5,5,2
