date,call_resistance,call_resistance_0dte,high_vol_level,put_support,put_support_0dte,1d_max,1d_min,distance_to_hvl_%,implied_vol_30d,total_gex,net_gex,expiring_gex,put_call_gex,total_dex,net_dex,put_call_dex,bl_1,bl_2,bl_3,bl_4,bl_5,bl_6,bl_7,bl_8,bl_9,bl_10,hvl_0dte,gamma_wall_0dte,gex_1,gex_2,gex_3,gex_4,gex_5,gex_6,gex_7,gex_8,gex_9,gex_10,top_gex_strike_1,top_gex_strike_2,top_gex_strike_3,contract,pc_oi,gamma_condition,exp_move_1d_pct,option_score,momentum_score,volatility_score,seasonality_score
2026-04-13,5400,5500,4660,4600,4600,4881.96,4726.84,3.01%,25.63,27.63M,8.87M,5.07M,0.51,20.81B,9.33B,0.38,4808.16,4723.57,4845.72,4467.48,4578.64,4700.88,4766.1,4801.22,4689.96,4863.21,4740.0,5500.0,4800.0,4750.0,4825.0,4765.0,4870.0,4700.0,4935.0,4900.0,4665.0,4725.0,4800,4750,4825,GCQ2026,0.54,Positive,1.61,2,4,1,0
2026-04-14,5400,5500,4660,4600,4600,4966.34,4809.26,4.66%,25.51,28.33M,10.33M,5.98M,0.47,22.14B,11.85B,0.3,4599.9,4899.02,4823.7,4887.56,4876.39,4798.19,4964.82,5154.6,4852.17,4741.03,4740.0,5500.0,4825.0,4935.0,4900.0,4870.0,4965.0,5000.0,4800.0,4750.0,4765.0,5025.0,4825,4935,4900,GCQ2026,0.54,Positive,1.61,2,5,3,0
2026-04-15,5500,5500,4660,4600,4600,4938.04,4783.56,4.13%,25.23,28.15M,9.21M,5.65M,0.51,21.45B,10.63B,0.34,5022.72,4873.64,5074.1,4740.39,4514.09,4939.31,4600.02,5159.51,4745.83,4773.58,4740.0,5500.0,4800.0,4825.0,4900.0,4935.0,4870.0,5000.0,4750.0,4765.0,4965.0,4940.0,4800,4825,4900,GCQ2026,0.57,Positive,1.59,2,5,2,0
2026-04-16,5000,5000,4660,4600,4600,4919.28,4771.32,3.82%,24.24,28.71M,8.80M,5.23M,0.53,21.06B,10.02B,0.36,4790.06,4684.9,4999.63,4700.88,4862.98,5127.58,5022.59,4825.91,5010.2,4799.69,4740.0,5000.0,4800.0,4825.0,4900.0,4870.0,4820.0,4700.0,4750.0,4935.0,4765.0,4965.0,4800,4825,4900,GCQ2026,0.58,Positive,1.53,2,5,1,0
2026-04-17,5200,5000,4660,4600,4600,4990.43,4842.57,5.22%,23.87,28.91M,10.14M,6.06M,0.48,21.91B,12.06B,0.29,4998.36,4899.92,4841.59,4432.0,4551.24,4852.44,5249.95,4428.36,4599.15,4801.28,4740.0,5000.0,4900.0,4935.0,4870.0,4965.0,4940.0,4800.0,4825.0,5050.0,5025.0,4820.0,4900,4935,4870,GCQ2026,0.58,Positive,1.5,2,5,1,0
2026-04-20,5200,5000,4660,4600,4600,4938.9,4791.9,4.22%,23.98,29.99M,9.70M,5.94M,0.51,21.47B,10.71B,0.33,5170.19,4575.87,4487.99,4564.31,5060.35,4907.94,4416.78,5398.2,5153.48,5084.01,4740.0,5000.0,4800.0,4825.0,4935.0,4900.0,4870.0,4750.0,4765.0,4965.0,4940.0,4725.0,4800,4825,4935,GCQ2026,0.57,Positive,1.51,2,5,1,0
2026-04-21,5000,4850,4660,4600,4850,4832.3,4678.5,2.01%,25.67,31.15M,8.65M,0.00M,0.57,20.95B,7.87B,0.45,4696.91,4894.5,5113.91,4856.99,4849.74,4996.62,5217.31,4916.04,5015.28,5220.93,4850.0,4850.0,4800.0,4700.0,4750.0,4825.0,4765.0,4900.0,4870.0,4665.0,4625.0,4610.0,4800,4700,4750,GCQ2026,0.54,Positive,1.62,2,2,2,0
2026-04-22,5350,5175,4660,4600,4550,4857.48,4720.52,2.69%,22.7,33.71M,10.65M,-0.00M,0.52,21.64B,9.23B,0.4,4698.31,4996.37,4763.49,4832.07,4561.13,4798.02,5174.09,4751.68,5069.02,5104.29,4800.0,5175.0,4750.0,4825.0,4765.0,4820.0,4725.0,4700.0,4900.0,4870.0,4665.0,4695.0,4750,4825,4765,GCQ2026,0.52,Positive,1.43,2,2,1,0
2026-04-23,5350,5175,4660,4600,4550,4826.66,4692.94,2.10%,22.3,33.66M,9.84M,-0.00M,0.55,21.29B,8.15B,0.45,4800.68,4893.21,4904.35,4605.67,4956.06,4645.29,4714.62,4723.12,4871.15,4907.71,4800.0,5175.0,4700.0,4750.0,4825.0,4765.0,4820.0,4870.0,4665.0,4645.0,4640.0,4650.0,4700,4750,4825,GCQ2026,0.52,Positive,1.4,2,2,1,0
2026-04-24,5350,5175,4660,4600,4550,4841.06,4711.54,2.43%,21.52,34.26M,10.28M,-0.00M,0.54,21.23B,8.57B,0.42,4748.63,4659.75,5222.14,4870.93,4764.05,4861.39,5173.43,4850.67,5163.75,5248.7,4800.0,5175.0,4750.0,4825.0,4765.0,4820.0,4725.0,4700.0,4900.0,4870.0,4665.0,4695.0,4750,4825,4765,GCQ2026,0.52,Positive,1.36,2,2,0,0
