ticker,date,direction,band,trigger
AAPL,2026-07-17,lower,319.9690806407839,347.51091935921613
AAPL,2026-07-16,lower,319.74505748867426,346.7749425113257
AAPL,2026-07-15,lower,314.9791541913571,340.0208458086429
AAPL,2026-07-14,lower,302.8108043897097,326.90919561029034
AAPL,2026-07-13,lower,305.0903384695545,329.5296615304455
AMZN,2026-07-17,lower,232.8471175271441,261.6128824728559
AMZN,2026-07-16,lower,235.45571804020256,264.3242819597974
AMZN,2026-07-15,lower,240.2210278441881,269.69897215581193
AMZN,2026-07-14,lower,232.7479576623683,262.23204233763175
AMZN,2026-07-13,lower,232.55723255577453,262.06276744422547
GOOGL,2026-07-17,lower,328.1715111157765,365.36848888422344
GOOGL,2026-07-16,lower,334.86374212036435,374.0562578796356
GOOGL,2026-07-15,lower,351.18395189737,390.65604810263005
GOOGL,2026-07-14,lower,339.9164286863366,379.1035713136634
GOOGL,2026-07-13,lower,333.3267789563897,371.69322104361027
META,2026-07-17,lower,598.232130334954,693.787869665046
META,2026-07-16,lower,616.2985000379962,712.7814999620037
META,2026-07-15,lower,630.6007117199603,732.0192882800396
META,2026-07-14,lower,612.008834864948,710.071165135052
META,2026-07-13,lower,607.3288793405465,706.1311206594536
MSFT,2026-07-17,lower,370.02576448805024,417.61423551194974
MSFT,2026-07-16,lower,377.189375458589,425.01062454141106
MSFT,2026-07-15,lower,371.9618717391899,419.2981282608101
MSFT,2026-07-14,lower,361.08709171197114,408.7729082880289
MSFT,2026-07-13,lower,367.28140608097846,414.69859391902156
NVDA,2026-07-17,lower,189.64297369349057,215.97702630650943
NVDA,2026-07-16,lower,194.51862250981546,220.28137749018455
NVDA,2026-07-15,lower,199.29367737422209,225.70632262577791
NVDA,2026-07-14,lower,199.87944107982332,223.7205589201767
NVDA,2026-07-13,lower,192.01008858685483,215.04991141314517
SPX,2026-07-17,upper,7604.649923639705,7310.730076360294
SPX,2026-07-16,lower,7400.137503886613,7667.402496113388
SPX,2026-07-15,lower,7439.52387476878,7705.276125231219
SPX,2026-07-14,lower,7405.809967527098,7681.3700324729025
SPX,2026-07-13,lower,7371.6245146331985,7659.055485366802
TSLA,2026-07-17,lower,355.39584625372095,406.284153746279
TSLA,2026-07-16,lower,364.43450277051807,417.68549722948194
TSLA,2026-07-15,lower,367.722516084284,421.19748391571596
TSLA,2026-07-14,lower,369.94628932963377,422.41371067036624
TSLA,2026-07-13,lower,368.318147536276,421.201852463724
