Assembly,Type,Kind,Member,MemberType,Access
"NinjaTrader.Gui","NinjaTrader.Gui.Tools.GuiEnumZeroLastConverter","Property","Comparer","IComparer","nonpublic"
"NinjaTrader.Gui","NinjaTrader.Gui.Tools.GuiEnumZeroLastConverter","Field","comparer","ZeroLastComparer","nonpublic"
"LT_Zerolag_Oscillator_NT8_v30","FopKFJMZFe3b6oLaf0b","Field","Pp6MIr9M3x","FopKFJMZFe3b6oLaf0b","nonpublic"
"LT_Zerolag_Oscillator_NT8_v30","FopKFJMZFe3b6oLaf0b","Field","lHc2oVKAKp","FopKFJMZFe3b6oLaf0b","nonpublic"
"LT_Zerolag_Oscillator_NT8_v30","FopKFJMZFe3b6oLaf0b","Field","YLP2H7VWAH","FopKFJMZFe3b6oLaf0b","nonpublic"
"LT_Zerolag_Oscillator_NT8_v30","FopKFJMZFe3b6oLaf0b","Field","YlIjuvco1j","FopKFJMZFe3b6oLaf0b","nonpublic"
"LT_Zerolag_Oscillator_NT8_v30","FopKFJMZFe3b6oLaf0b","Field","snojfCLHVr","FopKFJMZFe3b6oLaf0b","nonpublic"
"LT_Zerolag_Oscillator_NT8_v30","FopKFJMZFe3b6oLaf0b","Field","zHV6rBwAbe","FopKFJMZFe3b6oLaf0b","nonpublic"
"LT_Zerolag_Oscillator_NT8_v30","FopKFJMZFe3b6oLaf0b","Field","Frh6bXslq0","FopKFJMZFe3b6oLaf0b","nonpublic"
"LT_Zerolag_Oscillator_NT8_v30","FopKFJMZFe3b6oLaf0b","Field","nwC6qnLByp","FopKFJMZFe3b6oLaf0b","nonpublic"
"LT_Zerolag_Oscillator_NT8_v30","FopKFJMZFe3b6oLaf0b","Field","BxxPBCum2Y","FopKFJMZFe3b6oLaf0b","nonpublic"
"LT_Zerolag_Oscillator_NT8_v30","FopKFJMZFe3b6oLaf0b","Field","rGDPnVpGvu","FopKFJMZFe3b6oLaf0b","nonpublic"
"LT_Zerolag_Oscillator_NT8_v30","FopKFJMZFe3b6oLaf0b","Field","cQIPwZdPHl","FopKFJMZFe3b6oLaf0b","nonpublic"
"LT_Zerolag_Oscillator_NT8_v30","FopKFJMZFe3b6oLaf0b","Field","f63SlpHDGB","FopKFJMZFe3b6oLaf0b","nonpublic"
"LT_Zerolag_Oscillator_NT8_v30","FopKFJMZFe3b6oLaf0b","Field","oSESGx7vcw","FopKFJMZFe3b6oLaf0b","nonpublic"
"LT_Zerolag_Oscillator_NT8_v30","FopKFJMZFe3b6oLaf0b","Method","Invoke","String","public"
"LT_Zerolag_Oscillator_NT8_v30","FopKFJMZFe3b6oLaf0b","Method","HDbYXwxi9","String","public"
"LT_Zerolag_Oscillator_NT8_v30","yNZYje4YYiCMZ9C9AeU","Field","Jl04M5K5Ve","yNZYje4YYiCMZ9C9AeU","nonpublic"
"LT_Zerolag_Oscillator_NT8_v30","yNZYje4YYiCMZ9C9AeU","Method","Invoke","IChartObject","public"
"LT_Zerolag_Oscillator_NT8_v30","yNZYje4YYiCMZ9C9AeU","Method","HDbYXwxi9","IChartObject","public"
"Hameral Order Flow Basic Pack","NinjaTrader.NinjaScript.Indicators.HameralBasicFootprint","Property","GroupTicks","Int32","nonpublic"
"Hameral Order Flow Basic Pack","NinjaTrader.NinjaScript.Indicators.HameralBasicFootprint","Property","DisplayName","String","public"
"Hameral Order Flow Basic Pack","NinjaTrader.NinjaScript.Indicators.HameralBasicFootprint","Property","CalculationMode","CalcMode","public"
"Hameral Order Flow Basic Pack","NinjaTrader.NinjaScript.Indicators.HameralBasicFootprint","Property","SpreadHandling","SpreadPolicy","public"
"Hameral Order Flow Basic Pack","NinjaTrader.NinjaScript.Indicators.HameralBasicFootprint","Property","ReconstructionWindowMs","Int32","public"
"Hameral Order Flow Basic Pack","NinjaTrader.NinjaScript.Indicators.HameralBasicFootprint","Property","HistoricalBarsCount","Int32","public"
"Hameral Order Flow Basic Pack","NinjaTrader.NinjaScript.Indicators.HameralBasicFootprint","Property","FontSize","Int32","public"
"Hameral Order Flow Basic Pack","NinjaTrader.NinjaScript.Indicators.HameralBasicFootprint","Property","NormalTextColor","Brush","public"
"Hameral Order Flow Basic Pack","NinjaTrader.NinjaScript.Indicators.HameralBasicFootprint","Property","NormalTextColorSerialize","String","public"
"Hameral Order Flow Basic Pack","NinjaTrader.NinjaScript.Indicators.HameralBasicFootprint","Property","ShowPOCOutline","Boolean","public"
"Hameral Order Flow Basic Pack","NinjaTrader.NinjaScript.Indicators.HameralBasicFootprint","Property","POCColor","Brush","public"
"Hameral Order Flow Basic Pack","NinjaTrader.NinjaScript.Indicators.HameralBasicFootprint","Property","POCColorSerialize","String","public"
"Hameral Order Flow Basic Pack","NinjaTrader.NinjaScript.Indicators.HameralBasicFootprint","Property","ShowHistoricalBars","Boolean","public"
"Hameral Order Flow Basic Pack","NinjaTrader.NinjaScript.Indicators.HameralBasicFootprint","Property","ShowVolumeNumbers","Boolean","public"
"Hameral Order Flow Basic Pack","NinjaTrader.NinjaScript.Indicators.HameralBasicFootprint","Property","VolumeDisplayFormat","Int32","public"
"Hameral Order Flow Basic Pack","NinjaTrader.NinjaScript.Indicators.HameralBasicFootprint","Property","FootprintOffsetRight","Int32","public"
"Hameral Order Flow Basic Pack","NinjaTrader.NinjaScript.Indicators.HameralBasicFootprint","Property","AutoScaleWithZoom","Boolean","public"
"Hameral Order Flow Basic Pack","NinjaTrader.NinjaScript.Indicators.HameralBasicFootprint","Property","ScaleFactor","Double","public"
"Hameral Order Flow Basic Pack","NinjaTrader.NinjaScript.Indicators.HameralBasicFootprint","Property","ImbalanceRatio","Double","public"
"Hameral Order Flow Basic Pack","NinjaTrader.NinjaScript.Indicators.HameralBasicFootprint","Property","BidImbalanceColor","Brush","public"
"Hameral Order Flow Basic Pack","NinjaTrader.NinjaScript.Indicators.HameralBasicFootprint","Property","BidImbalanceColorSerialize","String","public"
"Hameral Order Flow Basic Pack","NinjaTrader.NinjaScript.Indicators.HameralBasicFootprint","Property","AskImbalanceColor","Brush","public"
