key,status,file,rows,start,end,sess_ct,close_nonnull_%,days
ADD,EMPTY/absent,,0,,,,,
ADV,OK,ADV_5m_20260802_050726.csv,108784,2021-01-04 08:35:00,2026-07-30 14:15:00,01:00:00..23:55:00,100.0,1412.0
ADVN,EMPTY/absent,,0,,,,,
BANK,EMPTY/absent,,0,,,,,
DECL,EMPTY/absent,,0,,,,,
DECN,EMPTY/absent,,0,,,,,
DVOL,OK,DVOL_5m_20260802_045856.csv,108879,2021-01-04 08:35:00,2026-07-31 14:55:00,01:00:00..23:55:00,100.0,1413.0
DX,THIN (3d),DX0926_5m_20260802_050726.csv,334,2026-02-15 17:05:00,2026-02-17 05:30:00,00:00:00..23:55:00,99.7,3.0
TICK,OK,TICK_5m_20260802_045856.csv,125415,2021-01-04 08:35:00,2026-07-31 15:55:00,00:55:00..23:55:00,100.0,1430.0
TICKQ,OK,TICKQ_5m_20260802_050726.csv,125388,2021-01-04 08:35:00,2026-07-31 13:35:00,01:00:00..23:55:00,100.0,1415.0
TRIN,OK,TRIN_5m_20260802_045856.csv,108785,2021-01-04 08:35:00,2026-07-31 14:55:00,01:00:00..23:55:00,100.0,1412.0
TRINQ,OK,TRINQ_5m_20260802_050726.csv,125325,2021-01-04 08:35:00,2026-07-30 15:30:00,01:00:00..23:55:00,100.0,1410.0
UVOL,OK,UVOL_5m_20260802_045856.csv,108888,2021-01-04 08:35:00,2026-07-31 14:55:00,01:00:00..23:55:00,100.0,1413.0
VIX,OK,VIX_5m_20260802_045856.csv,186624,2021-10-22 15:20:00,2026-07-31 15:15:00,01:00:00..23:55:00,100.0,1214.0
