family/tier,condition,n_with,med_exc_with,n_without,med_exc_without,lift_pts
session/AM,confirm bar,899,42.75,1741,26.75,16.0
session/AM,TICK>=800,349,43.25,2291,31.5,11.75
session/AM,matching div,1869,27.5,771,45.5,-18.0
fractal/N10,confirm bar,271,29.5,3777,22.75,6.75
fractal/N10,TICK>=800,574,33.0,3474,21.75,11.25
fractal/N10,matching div,1783,24.25,2265,22.5,1.75
atr/0.5xDR,confirm bar,926,40.62,3000,28.25,12.38
atr/0.5xDR,TICK>=800,765,40.25,3161,29.25,11.0
atr/0.5xDR,matching div,2112,28.5,1814,34.75,-6.25
atr/1xDR,confirm bar,558,49.0,1305,26.75,22.25
atr/1xDR,TICK>=800,380,47.88,1483,30.25,17.62
atr/1xDR,matching div,1260,27.5,603,47.5,-20.0
