family,tier,n,%TICK>=800,%TICK>=1000,%match_div,%confirm_bar,med_exc_pts,p75_exc_pts,%broken_sameday
BASELINE,all bars,105145,6.2,1.1,37.0,5.1,,,
session,day,2642,15.2,6.1,76.8,27.7,33.5,55.0,0.0
session,AM,2640,13.2,5.6,70.8,34.1,32.5,54.25,44.2
session,PM,2550,13.5,3.3,37.8,3.5,18.75,31.25,6.9
fractal,N3,15858,9.6,1.7,28.9,5.3,15.75,28.0,61.3
fractal,N5,9251,11.5,2.1,34.4,5.9,19.0,32.5,56.1
fractal,N10,4048,14.2,3.1,44.0,6.7,23.0,37.5,43.5
atr,0.25xDR,10370,14.9,4.4,36.2,17.0,22.75,37.94,53.2
atr,0.5xDR,3926,19.5,6.8,53.8,23.6,31.25,49.25,30.5
atr,1xDR,1863,20.4,8.2,67.6,30.0,34.0,56.5,13.3
