up,dt_entry,day,R_pts,hwb,entry_tick_low,entry_tick_high,conf400,conf800,outcome,target_first,resolved,mfe_pts,mae_pts,bars_to_out
False,2021-06-21 08:30:00,2021-06-21,36.25,4965.12,-151.0,1099.0,True,True,stop,False,True,0.88,11.62,0.0
False,2021-07-06 13:15:00,2021-07-06,41.75,5125.62,-100.0,427.0,True,False,stop,False,True,3.38,5.62,3.0
True,2021-07-07 09:30:00,2021-07-07,42.25,5125.88,-489.0,416.0,True,False,stop,False,True,7.38,6.12,1.0
False,2021-07-07 10:00:00,2021-07-07,27.25,5133.38,-418.0,481.0,True,False,stop,False,True,5.88,6.38,1.0
True,2021-07-08 08:30:00,2021-07-08,33.0,5136.25,-1478.0,-33.0,True,True,stop,False,True,0.0,51.25,0.0
False,2021-07-08 11:00:00,2021-07-08,73.0,5116.25,-431.0,599.0,True,False,stop,False,True,20.0,22.5,17.0
True,2021-07-08 14:15:00,2021-07-08,42.5,5101.0,-661.0,761.0,True,False,target,True,True,37.75,4.75,4.0
False,2021-07-08 15:00:00,2021-07-08,26.0,5109.25,-12.0,468.0,True,False,stop,False,True,2.25,6.75,0.0
True,2021-07-15 12:30:00,2021-07-15,87.75,5140.12,-861.0,349.0,True,True,stop,False,True,25.12,14.62,31.0
False,2021-07-16 08:30:00,2021-07-16,52.0,5158.0,-178.0,1137.0,True,True,stop,False,True,1.0,7.25,0.0
True,2021-07-16 09:00:00,2021-07-16,33.25,5148.62,-427.0,191.0,True,False,stop,False,True,8.88,4.12,0.0
False,2021-07-20 09:15:00,2021-07-20,134.5,5098.0,-293.0,728.0,True,False,stop,False,True,12.75,18.0,6.0
True,2021-07-19 11:00:00,2021-07-19,27.25,5044.38,-755.0,413.0,True,False,stop,False,True,8.88,5.12,0.0
False,2021-07-19 14:45:00,2021-07-19,34.5,5040.75,-545.0,720.0,True,False,stop,False,True,10.0,14.25,0.0
False,2021-07-27 14:45:00,2021-07-27,51.5,5190.0,-134.0,583.0,True,False,stop,False,True,7.0,12.5,2.0
True,2021-07-30 08:30:00,2021-07-30,57.75,5193.12,-741.0,292.0,True,False,stop,False,True,3.62,9.88,0.0
False,2021-08-02 08:30:00,2021-08-02,40.25,5201.88,-57.0,1043.0,True,True,stop,False,True,0.0,11.62,0.0
True,2021-08-02 10:45:00,2021-08-02,31.75,5197.62,-617.0,338.0,True,False,stop,False,True,6.12,5.88,0.0
False,2021-08-03 10:30:00,2021-08-03,48.75,5189.12,55.0,727.0,True,False,stop,False,True,8.12,11.88,0.0
True,2021-08-17 11:45:00,2021-08-17,98.0,5213.75,-689.0,140.0,True,False,stop,False,True,35.5,21.75,39.0
False,2021-08-16 11:00:00,2021-08-16,30.75,5247.38,-351.0,102.0,False,False,stop,False,True,2.88,5.12,3.0
True,2021-08-17 08:30:00,2021-08-17,44.0,5254.0,-1066.0,139.0,True,True,stop,False,True,0.0,14.75,0.0
False,2021-08-17 14:45:00,2021-08-17,64.75,5243.62,-429.0,723.0,True,False,target,True,True,51.62,5.62,27.0
True,2021-08-18 13:00:00,2021-08-18,38.0,5230.25,-940.0,647.0,True,True,stop,False,True,14.75,4.5,0.0
False,2021-08-19 10:45:00,2021-08-19,85.25,5206.62,-77.0,749.0,True,False,stop,False,True,29.38,17.12,19.0
True,2021-08-19 13:00:00,2021-08-19,50.25,5189.12,-815.0,605.0,True,True,stop,False,True,7.38,11.88,2.0
False,2021-08-19 13:45:00,2021-08-19,37.0,5195.75,-947.0,769.0,True,False,stop,False,True,12.0,11.25,1.0
False,2021-08-27 08:30:00,2021-08-27,33.0,5281.0,-31.0,811.0,True,True,stop,False,True,7.75,16.5,2.0
True,2021-09-08 09:30:00,2021-09-08,83.0,5306.0,-903.0,188.0,True,True,stop,False,True,5.5,12.5,0.0
False,2021-09-09 08:30:00,2021-09-09,56.0,5319.5,-408.0,260.0,False,False,stop,False,True,12.0,7.75,2.0
True,2021-09-09 11:00:00,2021-09-09,37.25,5310.12,-475.0,338.0,True,False,stop,False,True,5.62,13.62,5.0
False,2021-09-10 08:30:00,2021-09-10,40.5,5308.5,-217.0,1151.0,True,True,stop,False,True,3.5,9.75,0.0
True,2021-09-10 08:45:00,2021-09-10,30.0,5303.25,-334.0,352.0,False,False,stop,False,True,3.5,5.25,0.0
