instrument,contract_month,rollover_date,offset
ES,2005-03,2004-12-09,NaN
ES,2005-06,2005-03-10,NaN
ES,2005-09,2005-06-09,NaN
ES,2005-12,2005-09-08,NaN
ES,2006-03,2005-12-08,NaN
ES,2006-06,2006-03-09,10.25
ES,2006-09,2006-06-08,9.75
ES,2006-12,2006-09-07,11.5
ES,2007-03,2006-12-07,11.75
ES,2007-06,2007-03-08,12.75
ES,2007-09,2007-06-07,14.75
ES,2007-12,2007-09-13,13
ES,2008-03,2007-12-13,10.25
ES,2008-06,2008-03-13,2.25
ES,2008-09,2008-06-12,2.25
ES,2008-12,2008-09-11,1
ES,2009-03,2008-12-11,0
ES,2009-06,2009-03-12,-3.25
ES,2009-09,2009-06-11,-4.5
ES,2009-12,2009-09-10,-4.5
ES,2010-03,2009-12-10,-5
ES,2010-06,2010-03-11,-4.75
ES,2010-09,2010-06-10,-4
ES,2010-12,2010-09-09,-5
ES,2011-03,2010-12-09,-5
ES,2011-06,2011-03-10,-5
ES,2011-09,2011-06-09,-5.5
ES,2011-12,2011-09-08,-5.5
ES,2012-03,2011-12-08,-6
ES,2012-06,2012-03-08,-5.5
ES,2012-09,2012-06-07,-6.75
ES,2012-12,2012-09-13,-6.5
ES,2013-03,2012-12-13,-6.25
ES,2013-06,2013-03-07,-5
ES,2013-09,2013-06-13,-5.5
ES,2013-12,2013-09-12,-6.75
ES,2014-03,2013-12-12,-6
ES,2014-06,2014-03-13,-7.5
ES,2014-09,2014-06-12,-7
ES,2014-12,2014-09-11,-8
ES,2015-03,2014-12-11,-6.5
ES,2015-06,2015-03-12,-7.5
ES,2015-09,2015-06-11,-7.75
ES,2015-12,2015-09-10,-9.25
ES,2016-03,2015-12-10,-8.25
ES,2016-06,2016-03-10,-9
ES,2016-09,2016-06-09,-9.25
ES,2016-12,2016-09-08,-7
ES,2017-03,2016-12-08,-5
ES,2017-06,2017-03-09,-3
ES,2017-09,2017-06-08,-2.75
ES,2017-12,2017-09-07,-2.25
ES,2018-03,2017-12-07,2.75
ES,2018-06,2018-03-08,4.5
ES,2018-09,2018-06-07,4
ES,2018-12,2018-09-13,5.25
ES,2019-03,2018-12-13,4
ES,2019-06,2019-03-07,5
ES,2019-09,2019-06-13,4
ES,2019-12,2019-09-12,1.75
ES,2020-03,2019-12-12,2.5
ES,2020-06,2020-03-12,-11
ES,2020-09,2020-06-11,-10.5
ES,2020-12,2020-09-10,-9.75
ES,2021-03,2020-12-10,-8.25
ES,2021-06,2021-03-11,-9.5
ES,2021-09,2021-06-10,-9.5
ES,2021-12,2021-09-09,-9.5
ES,2022-03,2021-12-09,-7.25
ES,2022-06,2022-03-10,-7.25
ES,2022-09,2022-06-13,1.25
ES,2022-12,2022-09-12,17.75
ES,2023-03,2022-12-12,33
ES,2023-06,2023-03-13,34.5
ES,2023-09,2023-06-12,43.75
ES,2023-12,2023-09-11,49.25
ES,2024-03,2023-12-11,52.75
ES,2024-06,2024-03-11,64.25
ES,2024-09,2024-06-17,64.5
ES,2024-12,2024-09-16,60.75
ES,2025-03,2024-12-16,70.25
ES,2025-06,2025-03-17,52.25
ES,2025-09,2025-06-16,51.75
ES,2025-12,2025-09-15,56.75
ES,2026-03,2025-12-15,59.75
ES,2026-06,2026-03-16,49.75
ES,2026-09,2026-06-12,61.25
ES,2026-12,2026-09-14,NaN
ES,2027-03,2026-12-14,NaN
ES,2027-06,2027-03-15,NaN
ES,2027-09,2027-06-11,NaN
ES,2027-12,2027-09-17,NaN
ES,2028-03,2027-12-07,NaN
ES,2028-06,2028-03-07,NaN
NQ,2005-03,2004-12-09,NaN
NQ,2005-06,2005-03-10,NaN
NQ,2005-09,2005-06-09,NaN
NQ,2005-12,2005-09-08,NaN
NQ,2006-03,2005-12-08,NaN
NQ,2006-06,2006-03-09,19
NQ,2006-09,2006-06-08,18
NQ,2006-12,2006-09-07,18.5
NQ,2007-03,2006-12-07,22.25
NQ,2007-06,2007-03-08,20.25
NQ,2007-09,2007-06-07,24.5
NQ,2007-12,2007-09-13,22.5
NQ,2008-03,2007-12-13,21.75
NQ,2008-06,2008-03-13,7.75
NQ,2008-09,2008-06-12,10
NQ,2008-12,2008-09-11,5.75
NQ,2009-03,2008-12-11,5
NQ,2009-06,2009-03-12,-2.25
NQ,2009-09,2009-06-11,-2.5
NQ,2009-12,2009-09-10,-2.25
NQ,2010-03,2009-12-10,-2
NQ,2010-06,2010-03-11,-3.5
NQ,2010-09,2010-06-10,-0.5
NQ,2010-12,2010-09-09,-2.5
NQ,2011-03,2010-12-09,-2
NQ,2011-06,2011-03-10,-1.5
NQ,2011-09,2011-06-09,-3.5
NQ,2011-12,2011-09-08,-5.25
NQ,2012-03,2011-12-08,-3.5
NQ,2012-06,2012-03-08,-5.75
NQ,2012-09,2012-06-07,-5.5
NQ,2012-12,2012-09-13,-5.25
NQ,2013-03,2012-12-13,-4.75
NQ,2013-06,2013-03-07,-3.5
NQ,2013-09,2013-06-13,-5.75
NQ,2013-12,2013-09-13,-6.5
NQ,2014-03,2013-12-12,-5.5
NQ,2014-06,2014-03-13,-7.25
NQ,2014-09,2014-06-12,-7
NQ,2014-12,2014-09-11,-7.75
NQ,2015-03,2014-12-11,-5
NQ,2015-06,2015-03-12,-5.75
NQ,2015-09,2015-06-11,-7.25
NQ,2015-12,2015-09-10,-10
NQ,2016-03,2015-12-10,-11.25
NQ,2016-06,2016-03-10,-7.75
NQ,2016-09,2016-06-09,-8.25
NQ,2016-12,2016-09-08,-4
NQ,2017-03,2016-12-08,-1.75
NQ,2017-06,2017-03-09,3.75
NQ,2017-09,2017-06-08,8.75
NQ,2017-12,2017-09-07,7.25
NQ,2018-03,2017-12-07,19
NQ,2018-06,2018-03-08,22.5
NQ,2018-09,2018-06-07,23.75
NQ,2018-12,2018-09-13,28.25
NQ,2019-03,2018-12-13,25.75
NQ,2019-06,2019-03-07,29
NQ,2019-09,2019-06-13,25.75
NQ,2019-12,2019-09-12,21
NQ,2020-03,2019-12-12,24.75
NQ,2020-06,2020-03-12,-9.5
NQ,2020-09,2020-06-11,-17
NQ,2020-12,2020-09-10,-11.25
NQ,2021-03,2020-12-10,-0.75
NQ,2021-06,2021-03-11,-7.25
NQ,2021-09,2021-06-10,-11
NQ,2021-12,2021-09-09,-11.25
NQ,2022-03,2021-12-09,0.5
NQ,2022-06,2022-03-10,-4
NQ,2022-09,2022-06-09,34.75
NQ,2022-12,2022-09-08,76.5
NQ,2023-03,2022-12-12,111.25
NQ,2023-06,2023-03-13,130.25
NQ,2023-09,2023-06-12,176.5
NQ,2023-12,2023-09-11,197.25
NQ,2024-03,2023-12-11,209.75
NQ,2024-06,2024-03-11,247.5
NQ,2024-09,2024-06-17,260.75
NQ,2024-12,2024-09-16,235
NQ,2025-03,2024-12-16,286
NQ,2025-06,2025-03-17,203.5
NQ,2025-09,2025-06-16,214.5
NQ,2025-12,2025-09-15,237.5
NQ,2026-03,2025-12-15,256.5
NQ,2026-06,2026-03-16,208.75
NQ,2026-09,2026-06-12,282.25
NQ,2026-12,2026-09-16,NaN
NQ,2027-03,2026-12-18,NaN
NQ,2027-06,2027-03-09,NaN
NQ,2027-09,2027-06-07,NaN
NQ,2027-12,2027-09-15,NaN
NQ,2028-06,2028-03-16,NaN
YM,2005-03,2004-12-09,NaN
YM,2005-06,2005-03-10,NaN
YM,2005-09,2005-06-09,NaN
YM,2005-12,2005-09-08,NaN
YM,2006-03,2005-12-08,NaN
YM,2006-06,2006-03-09,72
YM,2006-09,2006-06-08,78
YM,2006-12,2006-09-07,89
YM,2007-03,2006-12-07,88
YM,2007-06,2007-03-08,93
YM,2007-09,2007-06-07,125
YM,2007-12,2007-09-13,98
YM,2008-03,2007-12-13,81
YM,2008-06,2008-03-13,10
YM,2008-09,2008-06-12,7
YM,2008-12,2008-09-11,-15
YM,2009-03,2008-12-11,-31
YM,2009-06,2009-03-12,-55
YM,2009-09,2009-06-11,-52
YM,2009-12,2009-09-10,-56
YM,2010-03,2009-12-10,-62
YM,2010-06,2010-03-11,-59
YM,2010-09,2010-06-10,-62
YM,2010-12,2010-09-09,-72
YM,2011-03,2010-12-09,-67
YM,2011-06,2011-03-10,-59
YM,2011-09,2011-06-09,-69
YM,2011-12,2011-09-08,-60
YM,2012-03,2011-12-08,-74
YM,2012-06,2012-03-08,-70
YM,2012-09,2012-06-07,-76
YM,2012-12,2012-09-13,-73
YM,2013-03,2012-12-13,-69
YM,2013-06,2013-03-07,-57
YM,2013-09,2013-06-13,-62
YM,2013-12,2013-09-13,-67
YM,2014-03,2013-12-12,-54
YM,2014-06,2014-03-13,-70
YM,2014-09,2014-06-12,-68
YM,2014-12,2014-09-11,-84
