strat,profit_target,stop,time_stop,n,mean,total,sharpe,pf,maxdd,win
bps,,,,835,6.9,5767.0,0.25,1.09,13237.0,95.6
bps,,,15:45,835,-0.4,-334.0,-0.02,0.99,15757.0,91.6
bps,,1.5,,835,6.6,5493.0,1.05,1.18,1464.0,48.0
bps,,1.5,15:45,835,5.2,4363.0,0.84,1.14,1766.0,48.0
bps,,2.0,,835,10.1,8437.0,1.25,1.22,1713.0,61.8
bps,,2.0,15:45,835,8.1,6736.0,1.01,1.17,1923.0,61.8
bps,,2.5,,835,10.3,8593.0,1.1,1.19,3029.0,68.5
bps,,2.5,15:45,835,7.3,6123.0,0.79,1.14,3411.0,68.4
bps,,3.0,,835,10.3,8587.0,0.97,1.18,4130.0,73.8
bps,,3.0,15:45,835,7.3,6098.0,0.7,1.12,5111.0,73.7
bps,0.5,,,835,6.5,5392.0,0.34,1.17,10579.0,97.8
bps,0.5,,15:45,835,2.7,2291.0,0.15,1.07,11538.0,96.5
bps,0.5,1.5,,835,1.9,1571.0,0.43,1.07,1781.0,62.0
bps,0.5,1.5,15:45,835,1.9,1571.0,0.43,1.07,1781.0,62.0
bps,0.5,2.0,,835,2.9,2406.0,0.51,1.09,2101.0,74.1
bps,0.5,2.0,15:45,835,2.9,2406.0,0.51,1.09,2101.0,74.1
bps,0.5,2.5,,835,0.3,236.0,0.04,1.01,4166.0,79.3
bps,0.5,2.5,15:45,835,0.3,236.0,0.04,1.01,4166.0,79.3
bps,0.5,3.0,,835,-0.3,-265.0,-0.04,0.99,5963.0,83.1
bps,0.5,3.0,15:45,835,-0.3,-265.0,-0.04,0.99,5963.0,83.1
bps,0.75,,,835,3.0,2514.0,0.13,1.05,13558.0,96.5
bps,0.75,,15:45,835,-0.3,-239.0,-0.01,1.0,15220.0,93.9
bps,0.75,1.5,,835,3.2,2630.0,0.59,1.1,2286.0,52.7
bps,0.75,1.5,15:45,835,3.2,2630.0,0.59,1.1,2286.0,52.7
bps,0.75,2.0,,835,5.5,4556.0,0.79,1.14,1970.0,66.3
bps,0.75,2.0,15:45,835,5.5,4556.0,0.79,1.14,1970.0,66.3
bps,0.75,2.5,,835,4.0,3351.0,0.5,1.09,3656.0,72.6
bps,0.75,2.5,15:45,835,4.0,3351.0,0.5,1.09,3656.0,72.6
bps,0.75,3.0,,835,3.8,3148.0,0.4,1.08,5761.0,77.6
bps,0.75,3.0,15:45,835,4.2,3485.0,0.45,1.08,5423.0,77.6
bcs,,,,783,11.8,9246.0,0.7,1.32,4493.0,96.4
bcs,,,15:45,783,2.6,2071.0,0.16,1.07,6137.0,86.6
bcs,,1.5,,783,0.2,192.0,0.06,1.01,2250.0,46.4
bcs,,1.5,15:45,783,-0.8,-594.0,-0.18,0.97,2485.0,43.8
bcs,,2.0,,783,-0.5,-391.0,-0.08,0.98,2732.0,61.8
bcs,,2.0,15:45,783,-1.6,-1247.0,-0.25,0.95,2975.0,58.1
bcs,,2.5,,783,0.5,408.0,0.07,1.01,3156.0,70.0
bcs,,2.5,15:45,783,-1.1,-849.0,-0.14,0.97,3434.0,65.1
bcs,,3.0,,783,1.8,1445.0,0.22,1.05,3753.0,75.2
bcs,,3.0,15:45,783,-0.1,-84.0,-0.01,1.0,4361.0,70.1
bcs,0.5,,,783,0.1,40.0,0.0,1.0,4938.0,85.2
bcs,0.5,,15:45,783,-3.4,-2634.0,-0.25,0.88,5880.0,82.4
bcs,0.5,1.5,,783,-2.3,-1809.0,-0.74,0.86,2343.0,52.9
