strat,dist,width,n,mid,cross,sharpe_mid,sharpe_cross,maxdd,yrs
bps,0.75,10,551,11.3,0.5,0.7,0.03,4199.0,"{2023: -3, 2024: 20, 2025: 9, 2026: 21}"
bps,0.75,25,551,36.5,26.4,1.15,0.83,5391.0,"{2023: 17, 2024: 33, 2025: 39, 2026: 68}"
bps,0.75,50,551,60.0,50.7,1.23,1.04,9361.0,"{2023: 43, 2024: 29, 2025: 72, 2026: 119}"
bps,1.0,10,549,15.9,7.1,1.42,0.63,2273.0,"{2023: 13, 2024: 6, 2025: 23, 2026: 26}"
bps,1.0,25,549,33.4,25.1,1.42,1.06,5513.0,"{2023: 33, 2024: 3, 2025: 55, 2026: 51}"
bps,1.0,50,549,51.8,43.9,1.5,1.27,7164.0,"{2023: 51, 2024: 2, 2025: 84, 2026: 84}"
bps,1.25,10,546,6.1,-1.4,0.7,-0.16,2542.0,"{2023: 9, 2024: -8, 2025: 13, 2026: 15}"
bps,1.25,25,546,16.3,9.0,0.92,0.51,4792.0,"{2023: 18, 2024: -6, 2025: 28, 2026: 32}"
bps,1.25,50,546,24.1,17.1,0.88,0.63,5431.0,"{2023: 29, 2024: -4, 2025: 42, 2026: 36}"
ic,0.75,10,553,10.9,-9.4,0.53,-0.46,5491.0,"{2023: -28, 2024: 20, 2025: 8, 2026: 56}"
ic,0.75,25,550,48.7,29.5,1.25,0.76,10295.0,"{2023: -15, 2024: 54, 2025: 40, 2026: 148}"
ic,0.75,50,507,97.4,79.1,1.74,1.41,17638.0,"{2023: 5, 2024: 69, 2025: 137, 2026: 240}"
ic,1.0,10,546,19.8,2.6,1.43,0.19,4227.0,"{2023: 9, 2024: 21, 2025: 13, 2026: 47}"
ic,1.0,25,522,43.1,26.4,1.47,0.91,8671.0,"{2023: 11, 2024: 32, 2025: 57, 2026: 92}"
ic,1.0,50,470,73.6,57.5,1.72,1.35,14987.0,"{2023: 37, 2024: 46, 2025: 117, 2026: 139}"
ic,1.25,10,502,3.7,-11.9,0.32,-1.02,4798.0,"{2023: -8, 2024: -6, 2025: 14, 2026: 22}"
ic,1.25,25,463,20.3,4.7,0.92,0.21,7428.0,"{2023: 0, 2024: 6, 2025: 44, 2026: 48}"
ic,1.25,50,408,19.7,4.5,0.52,0.12,14043.0,"{2023: 16, 2024: 12, 2025: 29, 2026: 36}"
