date,anchor,strat,gap_pct,em,prior_close,open,close,vix_prior,em_low,em_high,atm,credit_mid,credit_cross,pnl_mid,pnl_cross,win_mid
2023-03-28,close,bps,-0.085,51.6,3977.5,3974.1,3971.3,20.6,3925.0,4030.0,3980.0,1.28,1.15,124.9,112.4,1
2023-03-28,close,bcs,-0.085,51.6,3977.5,3974.1,3971.3,20.6,3925.0,4030.0,3980.0,0.25,0.2,22.4,17.4,1
2023-03-28,close,ic,-0.085,51.6,3977.5,3974.1,3971.3,20.6,3925.0,4030.0,3980.0,1.53,1.35,147.3,129.8,1
2023-03-28,close,ifly,-0.085,51.6,3977.5,3974.1,3971.3,20.6,3925.0,4030.0,3980.0,17.8,17.4,901.8,861.8,1
2023-03-28,open,bps,-0.085,51.6,3977.5,3974.1,3971.3,20.6,3925.0,4025.0,3975.0,1.28,1.15,124.9,112.4,1
2023-03-28,open,bcs,-0.085,51.6,3977.5,3974.1,3971.3,20.6,3925.0,4025.0,3975.0,0.35,0.25,32.4,22.4,1
2023-03-28,open,ic,-0.085,51.6,3977.5,3974.1,3971.3,20.6,3925.0,4025.0,3975.0,1.62,1.4,157.3,134.8,1
2023-03-28,open,ifly,-0.085,51.6,3977.5,3974.1,3971.3,20.6,3925.0,4025.0,3975.0,17.8,17.35,1401.8,1356.8,1
2023-03-29,close,bps,0.712,50.0,3971.3,3999.5,4027.8,20.0,3920.0,4020.0,3970.0,0.12,0.05,9.9,2.4,1
2023-03-29,close,bcs,0.712,50.0,3971.3,3999.5,4027.8,20.0,3920.0,4020.0,3970.0,6.17,6.05,-166.1,-178.6,0
2023-03-29,close,ic,0.712,50.0,3971.3,3999.5,4027.8,20.0,3920.0,4020.0,3970.0,6.3,6.1,-156.2,-176.2,0
2023-03-29,close,ifly,0.712,50.0,3971.3,3999.5,4027.8,20.0,3920.0,4020.0,3970.0,22.25,21.05,-280.2,-400.2,0
2023-03-29,open,bps,0.712,50.0,3971.3,3999.5,4027.8,20.0,3950.0,4050.0,4000.0,0.4,0.35,37.4,32.4,1
2023-03-29,open,bcs,0.712,50.0,3971.3,3999.5,4027.8,20.0,3950.0,4050.0,4000.0,0.43,0.35,39.9,32.4,1
2023-03-29,open,ic,0.712,50.0,3971.3,3999.5,4027.8,20.0,3950.0,4050.0,4000.0,0.83,0.7,77.3,64.8,1
2023-03-29,open,ifly,0.712,50.0,3971.3,3999.5,4027.8,20.0,3950.0,4050.0,4000.0,18.25,17.8,-680.2,-725.2,0
2023-03-30,close,bps,0.47,48.5,4027.8,4046.7,4050.8,19.1,3980.0,4075.0,4030.0,0.17,0.1,14.9,7.4,1
2023-03-30,close,bcs,0.47,48.5,4027.8,4046.7,4050.8,19.1,3980.0,4075.0,4030.0,1.87,1.8,184.9,177.4,1
2023-03-30,close,ic,0.47,48.5,4027.8,4046.7,4050.8,19.1,3980.0,4075.0,4030.0,2.05,1.9,199.8,184.8,1
2023-03-30,close,ifly,0.47,48.5,4027.8,4046.7,4050.8,19.1,3980.0,4075.0,4030.0,19.8,19.05,-108.2,-183.2,0
2023-03-30,open,bps,0.47,48.5,4027.8,4046.7,4050.8,19.1,4000.0,4095.0,4045.0,0.4,0.35,37.4,32.4,1
2023-03-30,open,bcs,0.47,48.5,4027.8,4046.7,4050.8,19.1,4000.0,4095.0,4045.0,0.27,0.2,24.9,17.4,1
2023-03-30,open,ic,0.47,48.5,4027.8,4046.7,4050.8,19.1,4000.0,4095.0,4045.0,0.68,0.55,62.3,49.8,1
2023-03-30,open,ifly,0.47,48.5,4027.8,4046.7,4050.8,19.1,4000.0,4095.0,4045.0,16.75,16.4,1086.8,1051.8,1
2023-03-31,close,bps,0.132,48.5,4050.8,4056.2,4109.3,19.0,4000.0,4100.0,4050.0,0.25,0.2,22.4,17.4,1
2023-03-31,close,bcs,0.132,48.5,4050.8,4056.2,4109.3,19.0,4000.0,4100.0,4050.0,0.55,0.5,-878.6,-883.6,0
2023-03-31,close,ic,0.132,48.5,4050.8,4056.2,4109.3,19.0,4000.0,4100.0,4050.0,0.8,0.7,-856.2,-866.2,0
2023-03-31,close,ifly,0.132,48.5,4050.8,4056.2,4109.3,19.0,4000.0,4100.0,4050.0,17.35,16.65,-770.2,-840.2,0
2023-03-31,open,bps,0.132,48.5,4050.8,4056.2,4109.3,19.0,4010.0,4105.0,4055.0,0.42,0.35,39.9,32.4,1
2023-03-31,open,bcs,0.132,48.5,4050.8,4056.2,4109.3,19.0,4010.0,4105.0,4055.0,0.38,0.3,-396.1,-403.6,0
2023-03-31,open,ic,0.132,48.5,4050.8,4056.2,4109.3,19.0,4010.0,4105.0,4055.0,0.8,0.65,-356.2,-371.2,0
2023-03-31,open,ifly,0.132,48.5,4050.8,4056.2,4109.3,19.0,4010.0,4105.0,4055.0,15.6,15.2,-945.2,-985.2,0
2023-04-03,close,bps,-0.173,48.4,4109.3,4102.2,4124.5,18.7,4060.0,4160.0,4110.0,0.82,0.75,79.9,72.4,1
2023-04-03,close,bcs,-0.173,48.4,4109.3,4102.2,4124.5,18.7,4060.0,4160.0,4110.0,0.1,0.0,7.4,-2.6,1
2023-04-03,close,ic,-0.173,48.4,4109.3,4102.2,4124.5,18.7,4060.0,4160.0,4110.0,0.92,0.75,87.3,69.8,1
2023-04-03,close,ifly,-0.173,48.4,4109.3,4102.2,4124.5,18.7,4060.0,4160.0,4110.0,16.05,15.7,148.8,113.8,1
2023-04-03,open,bps,-0.173,48.4,4109.3,4102.2,4124.5,18.7,4055.0,4150.0,4100.0,0.62,0.55,59.9,52.4,1
2023-04-03,open,bcs,-0.173,48.4,4109.3,4102.2,4124.5,18.7,4055.0,4150.0,4100.0,0.25,0.2,22.4,17.4,1
2023-04-03,open,ic,-0.173,48.4,4109.3,4102.2,4124.5,18.7,4055.0,4150.0,4100.0,0.87,0.75,82.3,69.8,1
2023-04-03,open,ifly,-0.173,48.4,4109.3,4102.2,4124.5,18.7,4055.0,4150.0,4100.0,16.27,15.95,-828.7,-861.2,0
2023-04-04,close,bps,0.085,48.2,4124.5,4128.0,4100.6,18.6,4075.0,4175.0,4125.0,0.2,0.15,17.4,12.4,1
2023-04-04,close,bcs,0.085,48.2,4124.5,4128.0,4100.6,18.6,4075.0,4175.0,4125.0,0.2,0.15,17.4,12.4,1
2023-04-04,close,ic,0.085,48.2,4124.5,4128.0,4100.6,18.6,4075.0,4175.0,4125.0,0.4,0.3,34.8,24.8,1
2023-04-04,close,ifly,0.085,48.2,4124.5,4128.0,4100.6,18.6,4075.0,4175.0,4125.0,15.4,15.05,-905.2,-940.2,0
2023-04-04,open,bps,0.085,48.2,4124.5,4128.0,4100.6,18.6,4080.0,4175.0,4130.0,0.27,0.2,24.9,17.4,1
2023-04-04,open,bcs,0.085,48.2,4124.5,4128.0,4100.6,18.6,4080.0,4175.0,4130.0,0.2,0.15,17.4,12.4,1
2023-04-04,open,ic,0.085,48.2,4124.5,4128.0,4100.6,18.6,4080.0,4175.0,4130.0,0.47,0.35,42.3,29.8,1
2023-04-04,open,ifly,0.085,48.2,4124.5,4128.0,4100.6,18.6,4080.0,4175.0,4130.0,15.25,14.85,-980.2,-1020.2,0
2023-04-05,close,bps,-0.149,49.1,4100.6,4094.5,4090.4,19.0,4050.0,4150.0,4100.0,0.68,0.6,64.9,57.4,1
2023-04-05,close,bcs,-0.149,49.1,4100.6,4094.5,4090.4,19.0,4050.0,4150.0,4100.0,0.1,0.05,7.4,2.4,1
2023-04-05,close,ic,-0.149,49.1,4100.6,4094.5,4090.4,19.0,4050.0,4150.0,4100.0,0.78,0.65,72.3,59.8,1
2023-04-05,close,ifly,-0.149,49.1,4100.6,4094.5,4090.4,19.0,4050.0,4150.0,4100.0,15.7,15.4,602.8,572.8,1
2023-04-05,open,bps,-0.149,49.1,4100.6,4094.5,4090.4,19.0,4045.0,4145.0,4095.0,0.5,0.4,47.4,37.4,1
2023-04-05,open,bcs,-0.149,49.1,4100.6,4094.5,4090.4,19.0,4045.0,4145.0,4095.0,0.15,0.1,12.4,7.4,1
2023-04-05,open,ic,-0.149,49.1,4100.6,4094.5,4090.4,19.0,4045.0,4145.0,4095.0,0.65,0.5,59.8,44.8,1
2023-04-05,open,ifly,-0.149,49.1,4100.6,4094.5,4090.4,19.0,4045.0,4145.0,4095.0,15.6,15.2,1092.8,1052.8,1
2023-04-06,close,bps,-0.226,49.2,4090.4,4081.2,4105.0,19.1,4040.0,4140.0,4090.0,0.95,0.85,92.4,82.4,1
2023-04-06,close,bcs,-0.226,49.2,4090.4,4081.2,4105.0,19.1,4040.0,4140.0,4090.0,0.08,0.0,4.9,-2.6,1
2023-04-06,close,ic,-0.226,49.2,4090.4,4081.2,4105.0,19.1,4040.0,4140.0,4090.0,1.03,0.85,97.3,79.8,1
2023-04-06,close,ifly,-0.226,49.2,4090.4,4081.2,4105.0,19.1,4040.0,4140.0,4090.0,16.1,15.75,102.8,67.8,1
2023-04-06,open,bps,-0.226,49.2,4090.4,4081.2,4105.0,19.1,4030.0,4130.0,4080.0,0.47,0.4,44.9,37.4,1
2023-04-06,open,bcs,-0.226,49.2,4090.4,4081.2,4105.0,19.1,4030.0,4130.0,4080.0,0.17,0.1,14.9,7.4,1
2023-04-06,open,ic,-0.226,49.2,4090.4,4081.2,4105.0,19.1,4030.0,4130.0,4080.0,0.65,0.5,59.8,44.8,1
2023-04-06,open,ifly,-0.226,49.2,4090.4,4081.2,4105.0,19.1,4030.0,4130.0,4080.0,16.18,15.75,-887.7,-930.2,0
2023-04-10,close,bps,-0.483,47.6,4105.0,4085.2,4109.1,18.4,4055.0,4155.0,4105.0,2.65,2.5,262.4,247.4,1
2023-04-10,close,bcs,-0.483,47.6,4105.0,4085.2,4109.1,18.4,4055.0,4155.0,4105.0,0.05,0.0,2.4,-2.6,1
2023-04-10,close,ic,-0.483,47.6,4105.0,4085.2,4109.1,18.4,4055.0,4155.0,4105.0,2.7,2.5,264.8,244.8,1
2023-04-10,close,ifly,-0.483,47.6,4105.0,4085.2,4109.1,18.4,4055.0,4155.0,4105.0,18.08,17.4,1391.3,1323.8,1
2023-04-10,open,bps,-0.483,47.6,4105.0,4085.2,4109.1,18.4,4040.0,4135.0,4085.0,1.0,0.9,97.4,87.4,1
2023-04-10,open,bcs,-0.483,47.6,4105.0,4085.2,4109.1,18.4,4040.0,4135.0,4085.0,0.08,0.0,4.9,-2.6,1
2023-04-10,open,ic,-0.483,47.6,4105.0,4085.2,4109.1,18.4,4040.0,4135.0,4085.0,1.07,0.9,102.3,84.8,1
2023-04-10,open,ifly,-0.483,47.6,4105.0,4085.2,4109.1,18.4,4040.0,4135.0,4085.0,15.85,15.5,-831.2,-866.2,0
2023-04-11,close,bps,0.029,49.1,4109.1,4110.3,4108.9,19.0,4060.0,4160.0,4110.0,0.33,0.25,29.9,22.4,1
2023-04-11,close,bcs,0.029,49.1,4109.1,4110.3,4108.9,19.0,4060.0,4160.0,4110.0,0.15,0.05,12.4,2.4,1
2023-04-11,close,ic,0.029,49.1,4109.1,4110.3,4108.9,19.0,4060.0,4160.0,4110.0,0.48,0.3,42.3,24.8,1
2023-04-11,close,ifly,0.029,49.1,4109.1,4110.3,4108.9,19.0,4060.0,4160.0,4110.0,15.1,14.8,1398.8,1368.8,1
2023-04-11,open,bps,0.029,49.1,4109.1,4110.3,4108.9,19.0,4060.0,4160.0,4110.0,0.33,0.25,29.9,22.4,1
2023-04-11,open,bcs,0.029,49.1,4109.1,4110.3,4108.9,19.0,4060.0,4160.0,4110.0,0.15,0.05,12.4,2.4,1
