day,concurrent_coll,running_max,n_active
2026-08-04,13810,13810,8
2026-08-05,16780,16780,9
2026-08-06,20925,20925,10
2026-08-07,15625,20925,8
2026-08-10,16460,20925,8
2026-08-11,18590,20925,9
2026-08-12,18470,20925,9
2026-08-13,17175,20925,9
2026-08-14,15805,20925,8
2026-08-17,14000,20925,7
2026-08-18,12035,20925,8
2026-08-19,25380,25380,11
2026-08-20,27250,27250,11
2026-08-21,30410,30410,12
2026-08-24,23725,30410,9
2026-08-25,22640,30410,10
2026-08-26,11805,30410,6
2026-08-27,15755,30410,8
2026-08-28,19995,30410,10
2026-08-31,17630,30410,9
2026-09-01,13865,30410,8
2026-09-02,16640,30410,8
2026-09-03,16435,30410,9
2026-09-04,21290,30410,10
