ts_et,localSymbol,action,qty,quote_px,limit,status,filled,avg_fill,order_id,log
2026-07-15 10:51:54,SPXW  260715C07605000,SELL,1,0.3,0.3,Inactive,0.0,0.0,6,
2026-07-15 10:52:14,SPXW  260715P07505000,SELL,1,1.2,1.2,Filled,1.0,1.2,6,0:Fill 1.0@1.2
2026-07-15 10:52:22,SPXW  260715P07485000,BUY,1,0.7,0.7,Filled,1.0,0.7,8,0:Fill 1.0@0.7
2026-07-15 10:53:12,SPXW  260715C07590000,SELL,1,1.15,1.15,Inactive,0.0,0.0,6,
2026-07-15 10:55:38,SPXW  260715C07615000,BUY,1,0.2,0.2,Filled,1.0,0.2,6,0:Fill 1.0@0.2
2026-07-15 10:55:55,SPXW  260715C07590000,SELL,1,0.95,0.95,Filled,1.0,0.95,8,0:Fill 1.0@0.95
2026-07-15 12:11:58,SPXW  260715P07475000,BUY,1,0.4,0.4,Filled,1.0,0.4,6,0:Fill 1.0@0.4
2026-07-15 12:12:05,SPXW  260715P07500000,SELL,1,1.05,1.05,Filled,1.0,1.05,8,0:Fill 1.0@1.05
2026-07-15 13:20:17,SPXW  260715C07575000,BUY,1,0.7,0.7,Filled,1.0,0.7,5,0:Fill 1.0@0.7
2026-07-15 13:20:24,SPXW  260715C07550000,SELL,1,7.1,7.1,Filled,1.0,7.1,8,0:Fill 1.0@7.1
2026-07-16 09:48:30,SPXW  260716C07535000,BUY,1,15.3,15.3,Filled,1.0,15.3,5,0:Fill 1.0@15.3
2026-07-16 09:48:37,SPXW  260716P07535000,BUY,1,16.4,16.4,Filled,1.0,16.4,8,0:Fill 1.0@16.4
2026-07-16 10:00:12,SPXW  260716P07530000,BUY,1,7.2,7.2,Filled,1.0,7.2,11,0:Fill 1.0@7.2
2026-07-16 10:00:19,SPXW  260716P07555000,SELL,1,16.7,16.7,Filled,1.0,17.1,14,0:Fill 1.0@17.1
2026-07-16 10:00:36,SPXW  260716C07625000,BUY,1,0.2,0.2,Filled,1.0,0.2,17,0:Fill 1.0@0.2
2026-07-16 10:00:44,SPXW  260716C07600000,SELL,1,0.55,0.55,Filled,1.0,0.55,20,0:Fill 1.0@0.55
2026-07-16 10:00:51,SPXW  260716C07575000,BUY,1,3.5,3.5,Filled,1.0,3.5,23,0:Fill 1.0@3.5
2026-07-16 10:00:58,SPXW  260716C07625000,BUY,1,0.2,0.2,Filled,1.0,0.2,26,0:Fill 1.0@0.2
2026-07-16 10:01:05,SPXW  260716C07600000,SELL,1,0.6,0.6,Filled,1.0,0.6,29,0:Fill 1.0@0.6
2026-07-16 10:01:22,SPXW  260716C07600000,SELL,1,0.55,0.55,Filled,1.0,0.55,32,0:Fill 1.0@0.55
2026-07-16 10:06:19,SPXW  260716P07530000,BUY,1,5.3,5.3,Filled,1.0,5.3,35,0:Fill 1.0@5.3
2026-07-16 10:06:26,SPXW  260716P07555000,SELL,1,13.2,13.2,Filled,1.0,13.2,38,0:Fill 1.0@13.2
2026-07-20 09:53:33,SPXW  260720P07465000,BUY,1,7.8,7.8,Filled,1.0,7.8,7,0:Fill 1.0@7.8
2026-07-20 09:53:34,SPXW  260720P07490000,SELL,1,15.5,15.5,Filled,1.0,15.6,8,0:Fill 1.0@15.6
2026-07-20 09:53:48,SPXW  260720P07490000,BUY,1,16.1,16.1,Filled,1.0,15.6,13,0:Fill 1.0@15.6
2026-07-20 09:53:49,SPXW  260720P07465000,SELL,1,7.5,7.5,Filled,1.0,7.5,14,0:Fill 1.0@7.5
2026-07-20 10:01:02,SPXW  260720C07480000,BUY,1,16.2,16.2,Cancelled,0.0,0.0,7,
2026-07-20 10:01:51,SPXW  260720C07485000,BUY,1,14.1,14.1,Cancelled,0.0,0.0,12,
2026-07-20 10:02:08,SPXW  260720C07480000,BUY,1,16.5,16.5,Filled,1.0,16.5,17,0:Fill 1.0@16.5
2026-07-20 10:02:12,SPXW  260720P07480000,BUY,1,14.5,14.5,Filled,1.0,14.5,18,0:Fill 1.0@14.5
2026-07-20 15:45:47,SPXW  260720C07480000,SELL,1,0.05,0.05,Filled,1.0,0.05,7,0:Fill 1.0@0.05
2026-07-20 15:45:48,SPXW  260720P07480000,SELL,1,24.6,24.6,Filled,1.0,24.6,8,0:Fill 1.0@24.6
2026-07-21 10:00:13,SPXW  260721C07480000,BUY,1,13.6,13.6,Filled,1.0,13.5,7,0:Fill 1.0@13.5
2026-07-21 10:00:14,SPXW  260721P07480000,BUY,1,14.5,14.5,Filled,1.0,14.5,8,0:Fill 1.0@14.5
2026-07-22 10:01:01,SPXW  260722C07510000,BUY,1,11.8,11.8,Cancelled,0.0,0.0,7,
2026-07-22 10:01:18,SPXW  260722C07515000,BUY,1,10.7,10.7,Filled,1.0,10.0,12,0:Fill 1.0@10.0
2026-07-22 10:01:19,SPXW  260722P07515000,BUY,1,13.0,13.0,Filled,1.0,13.0,13,0:Fill 1.0@13.0
2026-07-22 10:06:27,SPXW  260722C07525000,BUY,1,6.3,6.3,Cancelled,0.0,0.0,26,
2026-07-22 10:07:27,SPXW  260722C07515000,SELL,1,12.5,12.5,Cancelled,0.0,0.0,31,
2026-07-22 11:21:14,SPXW  260722C07525000,BUY,1,4.0,4.0,Filled,1.0,4.0,40,0:Fill 1.0@4.0
2026-07-22 11:21:15,SPXW  260722C07575000,BUY,1,0.15,0.15,Filled,1.0,0.15,41,0:Fill 1.0@0.15
2026-07-22 11:21:16,SPXW  260722C07550000,SELL,1,0.35,0.35,Filled,1.0,0.35,42,0:Fill 1.0@0.35
