et,spot,cum_pnl
09:31:00,7694.43,-186.3
09:33:00,7692.52,-21.3
09:35:00,7693.3,-46.3
09:37:00,7694.32,-91.3
09:39:00,7695.62,-156.3
09:41:00,7695.52,-134.56
09:43:00,7694.52,-84.56
09:45:00,7698.27,-239.56
09:47:00,7700.62,-384.56
09:49:00,7699.23,-299.56
09:51:00,7700.05,-329.56
09:53:00,7702.98,-524.56
09:55:00,7705.0,-674.56
09:57:00,7703.18,-549.56
09:59:00,7704.23,-619.56
10:01:00,7705.52,-687.82
10:03:00,7705.88,-707.82
10:05:00,7704.68,-677.82
10:07:00,7701.43,-642.82
10:09:00,7704.38,-672.82
10:11:00,7705.48,-682.82
10:13:00,7706.62,-677.82
10:15:00,7707.77,-697.82
10:17:00,7712.82,-852.82
10:19:00,7714.4,-907.82
10:21:00,7712.82,-842.82
10:23:00,7720.88,-1182.82
10:25:00,7720.68,-1177.82
10:27:00,7721.48,-1207.82
10:29:00,7721.48,-1212.82
10:31:00,7721.12,-1187.82
10:33:00,7722.65,-1251.08
10:35:00,7721.52,-1251.08
10:37:00,7722.98,-1246.08
10:39:00,7722.98,-1246.08
10:41:00,7722.43,-1246.08
10:43:00,7721.02,-1251.08
10:45:00,7720.02,-1251.08
10:47:00,7719.77,-1251.08
10:49:00,7722.82,-1246.08
10:51:00,7718.77,-1256.08
10:53:00,7719.88,-1246.08
10:55:00,7722.07,-1246.08
10:57:00,7722.32,-1246.08
10:59:00,7724.07,-1246.08
11:01:00,7722.68,-1246.08
11:03:00,7722.38,-1246.08
11:05:00,7725.73,-1246.08
11:07:00,7724.02,-1246.08
11:09:00,7725.77,-1246.08
11:11:00,7724.52,-1251.08
11:13:00,7728.07,-1246.08
11:15:00,7728.43,-1251.08
11:17:00,7730.23,-1251.08
11:19:00,7730.98,-1251.08
11:21:00,7730.38,-1251.08
11:23:00,7730.12,-1251.08
11:25:00,7729.82,-1251.08
11:27:00,7729.82,-1251.08
11:29:00,7728.62,-1251.08
11:31:00,7730.12,-1246.08
11:33:00,7729.88,-1246.08
11:35:00,7728.98,-1251.08
11:37:00,7731.82,-1246.08
11:39:00,7734.02,-1246.08
11:41:00,7734.32,-1246.08
11:43:00,7734.82,-1246.08
11:45:00,7737.23,-1246.08
11:47:00,7740.68,-1241.08
11:49:00,7740.68,-1241.08
11:51:00,7739.62,-1241.08
11:53:00,7738.68,-1246.08
11:55:00,7737.07,-1241.08
11:57:00,7737.48,-1246.08
11:59:00,7736.82,-1246.08
12:01:00,7736.15,-1246.08
12:03:00,7739.18,-1241.08
12:05:00,7740.68,-1241.08
12:07:00,7739.68,-1241.08
12:09:00,7744.12,-1241.08
12:11:00,7748.75,-1246.08
12:13:00,7745.93,-1246.08
12:15:00,7745.88,-1241.08
12:17:00,7747.62,-1241.08
12:19:00,7745.18,-1241.08
12:21:00,7746.12,-1241.08
12:23:00,7746.88,-1241.08
12:25:00,7746.68,-1241.08
12:27:00,7748.82,-1241.08
12:29:00,7749.77,-1241.08
12:31:00,7750.82,-1241.08
12:33:00,7755.27,-1241.08
12:35:00,7754.43,-1241.08
12:37:00,7754.62,-1241.08
12:39:00,7751.32,-1241.08
12:41:00,7750.02,-1246.08
12:43:00,7751.32,-1241.08
12:45:00,7750.23,-1246.08
12:47:00,7752.73,-1241.08
12:49:00,7752.23,-1241.08
12:51:00,7752.82,-1241.08
12:53:00,7751.02,-1241.08
12:55:00,7751.57,-1241.08
12:57:00,7750.73,-1241.08
12:59:00,7752.32,-1241.08
13:01:00,7754.23,-1241.08
13:03:00,7753.12,-1241.08
13:05:00,7752.73,-1241.08
13:07:00,7754.73,-1241.08
13:09:00,7753.23,-1241.08
13:11:00,7754.57,-1241.08
13:13:00,7757.43,-1236.08
13:15:00,7758.32,-1236.08
13:17:00,7757.32,-1236.08
13:19:00,7758.82,-1236.08
13:21:00,7759.07,-1236.08
13:23:00,7757.32,-1236.08
13:25:00,7756.07,-1241.08
13:27:00,7755.07,-1241.08
13:29:00,7756.68,-1241.08
13:31:00,7758.02,-1236.08
13:33:00,7755.18,-1241.08
13:35:00,7753.68,-1241.08
13:37:00,7754.32,-1241.08
13:39:00,7753.57,-1241.08
13:41:00,7753.38,-1241.08
13:43:00,7756.02,-1236.08
13:45:00,7758.62,-1236.08
13:47:00,7761.12,-1236.08
13:49:00,7757.32,-1236.08
13:51:00,7757.98,-1236.08
13:53:00,7759.82,-1241.08
13:55:00,7759.27,-1241.08
13:57:00,7757.68,-1241.08
13:59:00,7759.57,-1241.08
14:01:00,7760.07,-1236.08
14:03:00,7761.57,-1236.08
14:05:00,7762.02,-1236.08
14:07:00,7763.3,-1241.08
14:09:00,7762.77,-1236.08
14:11:00,7761.52,-1236.08
14:13:00,7762.02,-1236.08
14:15:00,7762.68,-1236.08
14:17:00,7762.18,-1236.08
14:19:00,7763.73,-1236.08
14:21:00,7763.73,-1236.08
14:23:00,7767.38,-1236.08
14:25:00,7768.23,-1236.08
14:27:00,7767.43,-1236.08
14:29:00,7769.38,-1236.08
14:31:00,7768.93,-1236.08
14:33:00,7766.68,-1236.08
14:35:00,7767.38,-1236.08
14:37:00,7768.18,-1236.08
14:39:00,7768.55,-1236.08
14:41:00,7769.23,-1231.08
14:43:00,7769.88,-1236.08
14:45:00,7771.32,-1236.08
14:47:00,7770.93,-1236.08
14:49:00,7773.38,-1236.08
14:51:00,7774.52,-1236.08
14:53:00,7773.32,-1236.08
14:55:00,7774.77,-1236.08
14:57:00,7774.82,-1236.08
14:59:00,7772.52,-1236.08
15:01:00,7772.52,-1236.08
15:03:00,7773.27,-1236.08
15:05:00,7771.57,-1236.08
15:07:00,7771.27,-1236.08
15:09:00,7770.52,-1241.08
15:11:00,7770.43,-1236.08
15:13:00,7773.18,-1236.08
15:15:00,7774.48,-1231.08
15:17:00,7774.48,-1231.08
15:19:00,7772.88,-1231.08
15:21:00,7772.38,-1231.08
15:23:00,7773.12,-1231.08
15:25:00,7770.93,-1236.08
15:27:00,7772.27,-1236.08
15:29:00,7771.73,-1236.08
15:31:00,7771.88,-1236.08
15:33:00,7772.73,-1236.08
15:35:00,7774.73,-1236.08
15:37:00,7775.23,-1236.08
15:39:00,7778.48,-1231.08
15:41:00,7774.93,-1231.08
15:43:00,7773.12,-1231.08
15:45:00,7774.48,-1237.6
