run,tag,market,level,dir,cells_pos,is_exp,oos_exp,verdict,n,win_pct,avg_win,avg_loss,pf,expectancy,total,maxdd,max_consec_loss,best,worst,sharpe_tr,months
2026-07-15 14:16,STRICT_FILL_corrected,ES,cr,res,36,312,212,SURVIVES,14,78.6,426,-238,6.58,284,3975,-462,1,438,-462,1.0,10
2026-07-15 14:16,STRICT_FILL_corrected,ES,ps,sup,20,-125,138,REJECT,11,45.5,438,-462,0.79,-53,-588,-950,3,438,-462,-0.12,6
2026-07-15 14:16,STRICT_FILL_corrected,ES,cr0,res,29,84,-16,fragile,53,54.7,434,-432,1.27,50,2662,-1850,4,438,-462,0.12,11
2026-07-15 14:16,STRICT_FILL_corrected,ES,ps0,sup,29,61,-62,fragile,65,53.8,432,-462,1.09,19,1250,-4212,6,438,-462,0.04,11
2026-07-15 14:16,STRICT_FILL_corrected,NQ,cr,res,22,144,-256,fragile,36,52.8,833,-909,1.02,10,369,-5378,6,1007,-1064,0.01,6
2026-07-15 14:16,STRICT_FILL_corrected,NQ,ps,sup,36,118,748,SURVIVES,26,65.4,960,-913,1.99,312,8108,-3915,3,1007,-1064,0.34,7
2026-07-15 14:16,STRICT_FILL_corrected,NQ,cr0,res,32,388,-202,fragile,39,56.4,964,-809,1.54,191,7463,-4634,4,1007,-1064,0.21,6
2026-07-15 14:16,STRICT_FILL_corrected,NQ,ps0,sup,8,88,-288,REJECT,50,50.0,1000,-1064,0.94,-32,-1609,-7192,4,1007,-1064,-0.03,6
2026-07-15 14:16,STRICT_FILL_corrected,GC,cr,res,20,28,176,REJECT,19,57.9,560,-592,1.3,75,1425,-1249,2,560,-592,0.13,8
2026-07-15 14:16,STRICT_FILL_corrected,GC,ps,sup,23,66,-16,fragile,31,54.8,560,-592,1.15,40,1233,-2401,3,560,-592,0.07,11
