day,trades,peak_gross,peak_netted,book
2026-08-04,8,13370,6730,full
2026-08-05,7,13680,8530,full
2026-08-06,10,19575,10595,full
2026-08-07,8,15625,8595,full
2026-08-10,8,16460,10850,full
2026-08-11,9,18590,10715,full
2026-08-12,9,17550,8890,full
2026-08-13,9,17175,11420,full
2026-08-14,8,14235,8595,full
2026-08-17,7,14000,10515,full
2026-08-18,8,12035,8180,full
2026-08-19,9,14970,9080,full
2026-08-20,9,17440,8875,full
2026-08-21,10,20600,11010,full
2026-08-24,7,13915,9660,full
2026-08-25,8,12110,6475,full
2026-08-26,6,9950,5975,full
2026-08-27,8,14715,8625,full
2026-08-28,10,18685,10095,full
2026-08-31,9,17630,9135,full
