strategy_id,n,win%,total,avg,avg_win,avg_loss,worst,best
openfly_c,20.0,45.0,3260.0,163.0,632.7,-221.3,-551.0,1007.0
gx_bps,14.0,79.0,1954.0,139.6,204.3,-98.0,-111.0,387.0
openfly_p,20.0,40.0,1830.0,91.5,454.9,-150.7,-411.0,787.0
eodic_p,16.0,100.0,803.0,50.2,50.2,0.0,7.0,162.0
openic_p,18.0,100.0,703.0,39.1,39.1,0.0,7.0,97.0
gx_bcs,16.0,69.0,362.0,22.7,193.5,-353.3,-946.0,582.0
eodic_c,13.0,85.0,-83.0,-6.3,71.5,-434.5,-866.0,177.0
eodfly_c,19.0,37.0,-216.0,-11.4,297.8,-191.7,-616.0,847.0
openic_c,11.0,73.0,-632.0,-57.5,19.9,-263.8,-786.0,57.0
eodfly_p,20.0,50.0,-946.0,-47.3,273.2,-367.8,-781.0,497.0
