date,strat,center,em,short_k,long_k,credit,exit_kind,exit_val,pnl,note
2026-08-03,eodfly_c,7489.72,,7490.0,7515.0,17.8,stop,21.8,-406.52,
2026-08-03,eodfly_p,7489.72,,7490.0,7465.0,3.1,settle,0.0,306.74,
2026-08-03,eodic_c,7489.72,75.4,7565.0,7590.0,1.0,stop,9.0,-806.52,
2026-08-03,eodic_p,7489.72,75.4,7415.0,7390.0,0.3,settle,0.0,26.74,
2026-08-03,openfly_c,7557.2,,7555.0,7580.0,9.75,stop,11.85,-216.52,
2026-08-03,openfly_p,7557.2,,7555.0,7530.0,5.5,settle,0.0,546.74,
2026-08-03,openic_c,7504.78,75.4,7580.0,7605.0,1.5,stop,8.4,-696.52,
2026-08-03,openic_p,7504.78,75.4,7430.0,7405.0,0.1,settle,0.0,6.74,
2026-08-04,eodfly_c,7600.5,,7600.0,7625.0,19.8,stop,20.9,-116.52,
2026-08-04,eodfly_p,7600.5,,7600.0,7575.0,1.6,settle,0.0,156.74,
2026-08-04,eodic_c,7600.5,75.9,7675.0,7700.0,1.3,stop,11.0,-976.52,
2026-08-04,eodic_p,7600.5,75.9,7525.0,7500.0,0.15,settle,0.0,11.74,
2026-08-04,openfly_c,7662.25,,7660.0,7685.0,9.3,stop,12.8,-356.52,
2026-08-04,openfly_p,7662.25,,7660.0,7635.0,7.0,settle,0.0,696.74,
2026-08-04,openic_c,7630.62,75.9,7705.0,7730.0,0.95,stop,9.2,-831.52,
2026-08-04,openic_p,7630.62,75.9,7555.0,7530.0,0.15,settle,0.0,11.74,
2026-08-05,eodfly_c,7736.52,,7735.0,7760.0,18.6,stop,19.4,-86.52,
2026-08-05,eodfly_p,7736.52,,7735.0,7710.0,2.9,stop,10.3,-746.52,
2026-08-05,eodic_c,7736.52,80.4,7815.0,7840.0,4.7,settle,0.0,466.74,
2026-08-05,eodic_p,7736.52,80.4,7655.0,7630.0,0.3,settle,0.0,26.74,
2026-08-05,openfly_c,7782.0,,7780.0,7805.0,10.3,stop,11.4,-116.52,
2026-08-05,openfly_p,7782.0,,7780.0,7755.0,9.1,stop,12.2,-316.52,
2026-08-05,openic_c,7771.62,80.4,7850.0,7875.0,1.45,settle,0.0,141.74,
2026-08-05,openic_p,7771.62,80.4,7690.0,7665.0,0.85,settle,0.0,81.74,
2026-08-06,eodfly_c,7723.55,,7725.0,7750.0,10.4,stop,13.7,-336.52,
2026-08-06,eodfly_p,7723.55,,7725.0,7700.0,8.4,stop,11.2,-286.52,
2026-08-06,eodic_c,7723.55,76.9,7800.0,7825.0,0.45,settle,0.0,41.74,
2026-08-06,eodic_p,7723.55,76.9,7645.0,7620.0,0.75,settle,0.0,71.74,
2026-08-06,openfly_c,7735.65,,7735.0,7760.0,9.6,stop,9.8,-26.52,
2026-08-06,openfly_p,7735.65,,7735.0,7710.0,8.0,stop,8.4,-46.52,
2026-08-06,openic_c,7713.79,76.9,7790.0,7815.0,0.7,settle,0.0,66.74,
2026-08-06,openic_p,7713.79,76.9,7635.0,7610.0,0.2,settle,0.0,16.74,
2026-08-07,eodfly_c,7709.96,,7710.0,7735.0,15.1,stop,17.1,-206.52,
2026-08-07,eodfly_p,7709.96,,7710.0,7685.0,5.1,settle,0.0,506.74,
2026-08-07,eodic_c,7709.96,73.6,7785.0,7810.0,1.65,settle,0.0,161.74,
2026-08-07,eodic_p,7709.96,73.6,7635.0,7610.0,0.45,settle,0.0,41.74,
2026-08-07,openfly_c,7728.1,,7730.0,7755.0,9.4,stop,15.9,-656.52,
2026-08-07,openfly_p,7728.1,,7730.0,7705.0,8.7,settle,0.0,866.74,
2026-08-07,openic_c,7735.18,73.6,7810.0,7835.0,0.15,settle,0.0,11.74,
2026-08-07,openic_p,7735.18,73.6,7660.0,7635.0,0.9,settle,0.0,86.74,
2026-08-10,eodfly_c,7757.64,,7760.0,7785.0,7.9,stop,9.9,-206.52,
2026-08-10,eodfly_p,7757.64,,7760.0,7735.0,9.1,stop,11.0,-196.52,
2026-08-10,eodic_c,7757.64,72.8,7830.0,7855.0,0.2,settle,0.0,16.74,
2026-08-10,eodic_p,7757.64,72.8,7685.0,7660.0,0.45,settle,0.0,41.74,
2026-08-10,openfly_c,7759.85,,7760.0,7785.0,7.8,stop,9.9,-216.52,
2026-08-10,openfly_p,7759.85,,7760.0,7735.0,6.9,stop,6.45,38.48,
2026-08-10,openic_c,7751.74,72.8,7825.0,7850.0,0.1,settle,0.0,6.74,
2026-08-10,openic_p,7751.74,72.8,7680.0,7655.0,0.15,settle,0.0,11.74,
2026-08-11,eodfly_c,7753.11,,7755.0,7780.0,11.3,stop,10.7,53.48,
2026-08-11,eodfly_p,7753.11,,7755.0,7730.0,5.9,stop,8.0,-216.52,
2026-08-11,eodic_c,7753.11,75.5,7830.0,7855.0,0.15,settle,0.0,11.74,
2026-08-11,eodic_p,7753.11,75.5,7680.0,7655.0,0.2,settle,0.0,16.74,
2026-08-11,openfly_c,7761.7,,7760.0,7785.0,8.6,settle,0.0,856.74,
2026-08-11,openfly_p,7761.7,,7760.0,7735.0,6.35,stop,7.0,-71.52,
2026-08-11,openic_c,7767.51,75.5,7845.0,7870.0,0.0,settle,0.0,-3.26,
2026-08-11,openic_p,7767.51,75.5,7690.0,7665.0,0.15,settle,0.0,11.74,
2026-08-12,eodfly_c,7728.2,,7730.0,7755.0,17.4,stop,15.3,203.48,
2026-08-12,eodfly_p,7728.2,,7730.0,7705.0,3.2,settle,0.0,316.74,
2026-08-12,eodic_c,7728.2,74.4,7805.0,7830.0,1.65,settle,0.0,161.74,
2026-08-12,eodic_p,7728.2,74.4,7655.0,7630.0,0.15,settle,0.0,11.74,
2026-08-12,openfly_c,7742.15,,7740.0,7765.0,9.8,stop,11.2,-146.52,
2026-08-12,openfly_p,7742.15,,7740.0,7715.0,7.6,settle,0.0,756.74,
2026-08-12,openic_c,7765.46,74.4,7840.0,7865.0,0.0,settle,0.0,-3.26,
2026-08-12,openic_p,7765.46,74.4,7690.0,7665.0,1.1,settle,0.0,106.74,
2026-08-13,eodfly_c,7748.5,,7750.0,7775.0,14.4,stop,20.2,-586.52,
2026-08-13,eodfly_p,7748.5,,7750.0,7725.0,3.9,settle,0.0,386.74,
2026-08-13,eodic_c,7748.5,71.0,7820.0,7845.0,0.3,settle,0.0,26.74,
2026-08-13,eodic_p,7748.5,71.0,7675.0,7650.0,0.1,settle,0.0,6.74,
2026-08-13,openfly_c,7804.95,,7805.0,7830.0,7.9,stop,10.5,-266.52,
2026-08-13,openfly_p,7804.95,,7805.0,7780.0,6.9,stop,8.1,-126.52,
2026-08-13,openic_c,7763.18,71.0,7835.0,7860.0,1.3,settle,0.0,126.74,
2026-08-13,openic_p,7763.18,71.0,7690.0,7665.0,0.05,settle,0.0,1.74,
2026-08-14,eodfly_c,7798.99,,7800.0,7825.0,9.2,stop,9.0,13.48,
2026-08-14,eodfly_p,7798.99,,7800.0,7775.0,7.1,stop,9.4,-236.52,
2026-08-14,eodic_c,7798.99,71.9,7870.0,7895.0,0.1,settle,0.0,6.74,
2026-08-14,eodic_p,7798.99,71.9,7725.0,7700.0,0.2,settle,0.0,16.74,
2026-08-14,openfly_c,7807.6,,7810.0,7835.0,6.5,settle,0.0,646.74,
2026-08-14,openfly_p,7807.6,,7810.0,7785.0,7.55,stop,8.7,-121.52,
2026-08-14,openic_c,7806.6,71.9,7880.0,7905.0,0.0,settle,0.0,-3.26,
2026-08-14,openic_p,7806.6,71.9,7735.0,7710.0,0.1,settle,0.0,6.74,
2026-08-17,eodfly_c,7785.76,,7785.0,7810.0,8.85,settle,0.0,881.74,
2026-08-17,eodfly_p,7785.76,,7785.0,7760.0,6.4,stop,9.1,-276.52,
2026-08-17,eodic_c,7785.76,69.9,7855.0,7880.0,0.05,settle,0.0,1.74,
2026-08-17,eodic_p,7785.76,69.9,7715.0,7690.0,0.25,settle,0.0,21.74,
2026-08-17,openfly_c,7775.2,,7775.0,7800.0,7.2,stop,6.05,108.48,
2026-08-17,openfly_p,7775.2,,7775.0,7750.0,6.05,stop,7.1,-111.52,
2026-08-17,openic_c,7790.68,69.9,7860.0,7885.0,-0.05,settle,0.0,-8.26,
2026-08-17,openic_p,7790.68,69.9,7720.0,7695.0,0.25,settle,0.0,21.74,
2026-08-18,eodfly_c,7745.06,,7745.0,7770.0,1.55,settle,0.0,151.74,
2026-08-18,eodfly_p,7745.06,,7745.0,7720.0,18.4,stop,18.0,33.48,
2026-08-18,eodic_c,7745.06,74.1,7820.0,7845.0,-0.05,settle,0.0,-8.26,
2026-08-18,eodic_p,7745.06,74.1,7670.0,7645.0,2.1,settle,0.0,206.74,
2026-08-18,openfly_c,7710.1,,7710.0,7735.0,8.55,settle,0.0,851.74,
2026-08-18,openfly_p,7710.1,,7710.0,7685.0,7.2,stop,7.9,-76.52,
2026-08-18,openic_c,7700.04,74.1,7775.0,7800.0,0.05,settle,0.0,1.74,
2026-08-18,openic_p,7700.04,74.1,7625.0,7600.0,0.1,settle,0.0,6.74,
2026-08-19,eodfly_c,7691.76,,7690.0,7715.0,18.7,stop,16.9,173.48,
2026-08-19,eodfly_p,7691.76,,7690.0,7665.0,1.9,settle,0.0,186.74,
2026-08-19,eodic_c,7691.76,76.8,7770.0,7795.0,0.6,settle,0.0,56.74,
2026-08-19,eodic_p,7691.76,76.8,7615.0,7590.0,0.0,settle,0.0,-3.26,
2026-08-19,openfly_c,7716.45,,7715.0,7740.0,9.3,stop,13.8,-456.52,
2026-08-19,openfly_p,7716.45,,7715.0,7690.0,7.0,stop,5.75,118.48,
2026-08-19,openic_c,7716.74,76.8,7795.0,7820.0,0.0,settle,0.0,-3.26,
2026-08-19,openic_p,7716.74,76.8,7640.0,7615.0,0.2,settle,0.0,16.74,
2026-08-20,eodfly_c,7707.98,,7710.0,7735.0,2.4,settle,0.0,236.74,
2026-08-20,eodfly_p,7707.98,,7710.0,7685.0,16.7,stop,14.5,213.48,
2026-08-20,eodic_c,7707.98,72.3,7780.0,7805.0,0.0,settle,0.0,-3.26,
2026-08-20,eodic_p,7707.98,72.3,7635.0,7610.0,1.9,settle,0.0,186.74,
2026-08-20,openfly_c,7679.05,,7680.0,7705.0,9.2,stop,13.4,-426.52,
2026-08-20,openfly_p,7679.05,,7680.0,7655.0,7.9,stop,9.3,-146.52,
2026-08-20,openic_c,7690.49,72.3,7765.0,7790.0,0.05,settle,0.0,1.74,
2026-08-20,openic_p,7690.49,72.3,7620.0,7595.0,0.85,settle,0.0,81.74,
2026-08-21,eodfly_c,7641.16,,7640.0,7665.0,18.6,stop,18.5,3.48,
2026-08-21,eodfly_p,7641.16,,7640.0,7615.0,2.3,settle,0.0,226.74,
2026-08-21,eodic_c,7641.16,77.1,7720.0,7745.0,0.95,settle,0.0,91.74,
2026-08-21,eodic_p,7641.16,77.1,7565.0,7540.0,0.1,settle,0.0,6.74,
2026-08-21,openfly_c,7667.85,,7670.0,7695.0,7.65,stop,12.2,-461.52,
2026-08-21,openfly_p,7667.85,,7670.0,7645.0,7.7,stop,7.3,33.48,
2026-08-21,openic_c,7665.68,77.1,7745.0,7770.0,0.05,settle,0.0,1.74,
2026-08-21,openic_p,7665.68,77.1,7590.0,7565.0,0.15,settle,0.0,11.74,
2026-08-24,eodfly_c,7674.37,,7675.0,7700.0,3.5,settle,0.0,346.74,
2026-08-24,eodfly_p,7674.37,,7675.0,7650.0,13.7,stop,14.8,-116.52,
2026-08-24,eodic_c,7674.37,73.1,7750.0,7775.0,0.05,settle,0.0,1.74,
2026-08-24,eodic_p,7674.37,73.1,7600.0,7575.0,0.8,settle,0.0,76.74,
2026-08-24,openfly_c,7648.25,,7650.0,7675.0,7.7,stop,10.25,-261.52,
2026-08-24,openfly_p,7648.25,,7650.0,7625.0,7.5,stop,7.5,-6.52,
2026-08-24,openic_c,7663.38,73.1,7735.0,7760.0,0.0,settle,0.0,-3.26,
2026-08-24,openic_p,7663.38,73.1,7590.0,7565.0,0.35,settle,0.0,31.74,
2026-08-25,eodfly_c,7652.86,,7655.0,7680.0,-10.4,,,,stood down (credit<=0)
2026-08-25,eodfly_p,7652.86,,7655.0,7630.0,-17.4,,,,stood down (credit<=0)
2026-08-25,eodic_c,7652.86,76.4,7730.0,7755.0,-8.2,settle,0.0,-823.26,
2026-08-25,eodic_p,7652.86,76.4,7575.0,7550.0,-8.4,settle,0.0,-843.26,
2026-08-25,openfly_c,7672.7,,7675.0,7700.0,6.9,settle,2.2799999999997453,458.74,
2026-08-25,openfly_p,7672.7,,7675.0,7650.0,7.6,stop,8.8,-126.52,
2026-08-25,openic_c,7676.66,76.4,7755.0,7780.0,0.05,settle,0.0,1.74,
2026-08-25,openic_p,7676.66,76.4,7600.0,7575.0,0.1,settle,0.0,6.74,
2026-08-26,eodfly_c,7677.28,,7675.0,7700.0,5.25,stop,12.1,-691.52,
2026-08-26,eodfly_p,7677.28,,7675.0,7650.0,10.2,stop,7.2,293.48,
2026-08-26,eodic_c,7677.28,74.7,7750.0,7775.0,0.0,settle,0.0,-3.26,
2026-08-26,eodic_p,7677.28,74.7,7605.0,7580.0,0.4,settle,0.0,36.74,
2026-08-26,openfly_c,7686.2,,7685.0,7710.0,7.95,stop,5.1,278.48,
2026-08-26,openfly_p,7686.2,,7685.0,7660.0,6.2,stop,8.9,-276.52,
2026-08-26,openic_c,7666.88,74.7,7740.0,7765.0,0.1,settle,0.0,6.74,
2026-08-26,openic_p,7666.88,74.7,7590.0,7565.0,0.0,settle,0.0,-3.26,
2026-08-27,eodfly_c,7675.7,,7675.0,7700.0,16.8,stop,16.8,-6.52,
2026-08-27,eodfly_p,7675.7,,7675.0,7650.0,3.25,settle,0.0,321.74,
2026-08-27,eodic_c,7675.7,73.5,7750.0,7775.0,1.05,settle,0.0,101.74,
2026-08-27,eodic_p,7675.7,73.5,7600.0,7575.0,0.1,settle,0.0,6.74,
2026-08-27,openfly_c,7705.6,,7705.0,7730.0,9.4,stop,11.7,-236.52,
2026-08-27,openfly_p,7705.6,,7705.0,7680.0,7.6,settle,0.0,756.74,
2026-08-27,openic_c,7710.34,73.5,7785.0,7810.0,0.05,settle,0.0,1.74,
2026-08-27,openic_p,7710.34,73.5,7635.0,7610.0,0.4,settle,0.0,36.74,
