strat,short_k,long_k,entry_et,credit,exit_kind,exit_val,pnl,note,date,policy,wait_day
eodic_p,7645.0,7620.0,09:31:00,0.75,settle,0.0,71.74,,2026-08-06,eod,
eodic_c,7800.0,7825.0,09:31:00,0.45,settle,0.0,41.74,,2026-08-06,eod,
eodfly_p,7725.0,7700.0,09:31:00,8.4,stop,11.2,-286.52,,2026-08-06,eod,
eodfly_c,7725.0,7750.0,09:31:00,10.4,stop,13.7,-336.52,,2026-08-06,eod,
openic_p,7660.0,7635.0,10:08:00,0.5,settle,0.0,46.74,,2026-08-06,deskwait,True
openic_c,7815.0,7840.0,10:08:00,0.2,settle,0.0,16.74,,2026-08-06,deskwait,True
openfly_p,7735.0,7710.0,10:08:00,7.6,stop,8.4,-86.52,,2026-08-06,deskwait,True
openfly_c,7735.0,7760.0,10:08:00,9.9,stop,11.0,-116.52,,2026-08-06,deskwait,True
openic_p,7640.0,7615.0,09:33:00,0.95,settle,0.0,91.74,,2026-08-06,nowait,True
openic_c,7795.0,7820.0,09:33:00,0.35,settle,0.0,31.74,,2026-08-06,nowait,True
openfly_p,7720.0,7695.0,09:33:00,8.9,stop,9.7,-86.52,,2026-08-06,nowait,True
openfly_c,7720.0,7745.0,09:33:00,10.0,stop,12.7,-276.52,,2026-08-06,nowait,True
eodic_p,7635.0,7610.0,09:31:00,0.45,settle,0.0,41.74,,2026-08-07,eod,
eodic_c,7785.0,7810.0,09:31:00,1.65,settle,0.0,161.74,,2026-08-07,eod,
eodfly_p,7710.0,7685.0,09:31:00,5.1,settle,0.0,506.74,,2026-08-07,eod,
eodfly_c,7710.0,7735.0,09:31:00,15.1,stop,17.1,-206.52,,2026-08-07,eod,
openic_p,7665.0,7640.0,09:33:00,0.85,settle,0.0,81.74,,2026-08-07,deskwait,False
openic_c,7810.0,7835.0,09:33:00,0.45,settle,0.0,41.74,,2026-08-07,deskwait,False
openfly_p,7735.0,7710.0,09:33:00,8.5,stop,10.7,-226.52,,2026-08-07,deskwait,False
openfly_c,7735.0,7760.0,09:33:00,10.5,stop,12.1,-166.52,,2026-08-07,deskwait,False
openic_p,7665.0,7640.0,09:33:00,0.85,settle,0.0,81.74,,2026-08-07,nowait,False
openic_c,7810.0,7835.0,09:33:00,0.45,settle,0.0,41.74,,2026-08-07,nowait,False
openfly_p,7735.0,7710.0,09:33:00,8.5,stop,10.7,-226.52,,2026-08-07,nowait,False
openfly_c,7735.0,7760.0,09:33:00,10.5,stop,12.1,-166.52,,2026-08-07,nowait,False
eodic_p,7680.0,7655.0,09:31:00,0.35,settle,0.0,31.74,,2026-08-10,eod,
eodic_c,7835.0,7860.0,09:31:00,0.15,settle,0.0,11.74,,2026-08-10,eod,
eodfly_p,7760.0,7735.0,09:31:00,9.1,stop,11.0,-196.52,,2026-08-10,eod,
eodfly_c,7760.0,7785.0,09:31:00,7.9,stop,9.9,-206.52,,2026-08-10,eod,
openic_p,7680.0,7655.0,09:33:00,0.25,settle,0.0,21.74,,2026-08-10,deskwait,False
openic_c,7835.0,7860.0,09:33:00,0.1,settle,0.0,6.74,,2026-08-10,deskwait,False
openfly_p,7755.0,7730.0,09:33:00,7.4,stop,9.4,-206.52,,2026-08-10,deskwait,False
openfly_c,7755.0,7780.0,09:33:00,9.6,stop,10.6,-106.52,,2026-08-10,deskwait,False
openic_p,7680.0,7655.0,09:33:00,0.25,settle,0.0,21.74,,2026-08-10,nowait,False
openic_c,7835.0,7860.0,09:33:00,0.1,settle,0.0,6.74,,2026-08-10,nowait,False
openfly_p,7755.0,7730.0,09:33:00,7.4,stop,9.4,-206.52,,2026-08-10,nowait,False
openfly_c,7755.0,7780.0,09:33:00,9.6,stop,10.6,-106.52,,2026-08-10,nowait,False
eodic_p,7675.0,7650.0,09:31:00,0.15,settle,0.0,11.74,,2026-08-11,eod,
eodic_c,7830.0,7855.0,09:31:00,0.15,settle,0.0,11.74,,2026-08-11,eod,
eodfly_p,7755.0,7730.0,09:31:00,5.9,stop,8.0,-216.52,,2026-08-11,eod,
eodfly_c,7755.0,7780.0,09:31:00,11.3,stop,10.7,53.48,,2026-08-11,eod,
openic_p,7680.0,7655.0,09:33:00,0.25,settle,0.0,21.74,,2026-08-11,deskwait,False
openic_c,7835.0,7860.0,09:33:00,0.05,SKIP,,,gate: thin_credit (0.05 < 0.1),2026-08-11,deskwait,False
openfly_p,7760.0,7735.0,09:33:00,8.4,stop,8.0,33.48,,2026-08-11,deskwait,False
openfly_c,7760.0,7785.0,09:33:00,8.3,settle,0.0,826.74,,2026-08-11,deskwait,False
openic_p,7680.0,7655.0,09:33:00,0.25,settle,0.0,21.74,,2026-08-11,nowait,False
openic_c,7835.0,7860.0,09:33:00,0.05,SKIP,,,gate: thin_credit (0.05 < 0.1),2026-08-11,nowait,False
openfly_p,7760.0,7735.0,09:33:00,8.4,stop,8.0,33.48,,2026-08-11,nowait,False
openfly_c,7760.0,7785.0,09:33:00,8.3,settle,0.0,826.74,,2026-08-11,nowait,False
eodic_p,7655.0,7630.0,09:31:00,0.15,settle,0.0,11.74,,2026-08-12,eod,
eodic_c,7805.0,7830.0,09:31:00,1.65,settle,0.0,161.74,,2026-08-12,eod,
eodfly_p,7730.0,7705.0,09:31:00,3.2,settle,0.0,316.74,,2026-08-12,eod,
eodfly_c,7730.0,7755.0,09:31:00,17.4,stop,15.3,203.48,,2026-08-12,eod,
openic_p,7670.0,7645.0,10:08:00,0.3,settle,0.0,26.74,,2026-08-12,deskwait,True
openic_c,7820.0,7845.0,10:08:00,0.1,settle,0.0,6.74,,2026-08-12,deskwait,True
openfly_p,7745.0,7720.0,10:08:00,7.9,stop,8.4,-56.52,,2026-08-12,deskwait,True
openfly_c,7745.0,7770.0,10:08:00,9.0,stop,10.5,-156.52,,2026-08-12,deskwait,True
openic_p,7675.0,7650.0,09:33:00,0.5,settle,0.0,46.74,,2026-08-12,nowait,True
openic_c,7825.0,7850.0,09:33:00,0.25,settle,0.0,21.74,,2026-08-12,nowait,True
openfly_p,7750.0,7725.0,09:33:00,8.4,stop,10.6,-226.52,,2026-08-12,nowait,True
openfly_c,7750.0,7775.0,09:33:00,10.0,stop,10.3,-36.52,,2026-08-12,nowait,True
eodic_p,7675.0,7650.0,09:31:00,0.1,settle,0.0,6.74,,2026-08-13,eod,
eodic_c,7820.0,7845.0,09:31:00,0.3,settle,0.0,26.74,,2026-08-13,eod,
eodfly_p,7750.0,7725.0,09:31:00,3.9,settle,0.0,386.74,,2026-08-13,eod,
eodfly_c,7750.0,7775.0,09:31:00,14.4,stop,20.2,-586.52,,2026-08-13,eod,
openic_p,7700.0,7675.0,09:33:00,0.3,settle,0.0,26.74,,2026-08-13,deskwait,False
openic_c,7840.0,7865.0,09:33:00,0.05,SKIP,,,gate: thin_credit (0.05 < 0.1),2026-08-13,deskwait,False
openfly_p,7770.0,7745.0,09:33:00,7.5,settle,0.0,746.74,,2026-08-13,deskwait,False
openfly_c,7770.0,7795.0,09:33:00,8.4,stop,12.3,-396.52,,2026-08-13,deskwait,False
openic_p,7700.0,7675.0,09:33:00,0.3,settle,0.0,26.74,,2026-08-13,nowait,False
