book,month,pnl,n,win_pct,avg
ic_condor,2022-05,-3247.0,44,65.91,-81.17
ic_condor,2022-06,-4019.74,84,76.19,-49.02
ic_condor,2022-07,2463.12,80,88.75,30.79
ic_condor,2022-08,1930.74,92,78.26,20.99
ic_condor,2022-09,2094.78,84,80.95,24.94
ic_condor,2022-10,-2371.22,84,79.76,-28.57
ic_condor,2022-11,2070.56,84,82.14,24.65
ic_condor,2022-12,-865.48,84,82.14,-10.3
ic_condor,2023-01,-2109.92,80,80.0,-26.37
ic_condor,2023-02,2244.64,76,84.21,29.53
ic_condor,2023-03,-3131.56,92,79.35,-34.04
ic_condor,2023-04,-1180.8,76,84.21,-15.74
ic_condor,2023-05,1320.3,88,82.95,15.0
ic_condor,2023-06,883.56,84,86.9,10.52
ic_condor,2023-07,1332.9,80,85.0,16.66
ic_condor,2023-08,-1427.52,92,85.87,-15.52
ic_condor,2023-09,293.12,80,76.25,3.66
ic_condor,2023-10,-629.48,88,86.36,-7.15
ic_condor,2023-11,316.82,84,83.33,3.77
ic_condor,2023-12,-2282.88,80,86.25,-28.54
ic_condor,2024-01,806.08,84,86.9,9.6
ic_condor,2024-02,-445.88,80,85.0,-5.57
ic_condor,2024-03,1110.64,80,80.0,13.88
ic_condor,2024-04,-6636.78,88,76.14,-75.42
ic_condor,2024-05,840.3,88,86.36,9.55
ic_condor,2024-06,2155.94,76,89.47,28.37
ic_condor,2024-07,-5661.78,88,80.68,-64.34
ic_condor,2024-08,-4709.26,88,79.55,-53.51
ic_condor,2024-09,1226.38,80,88.75,15.33
ic_condor,2024-10,-1017.96,92,61.96,-11.06
ic_condor,2024-11,1960.94,80,83.75,25.14
ic_condor,2024-12,-5043.18,84,66.67,-60.04
ic_condor,2025-01,3059.42,76,85.53,40.26
ic_condor,2025-02,-801.06,76,80.26,-10.54
ic_condor,2025-03,-1902.74,84,82.14,-22.65
ic_condor,2025-04,-7507.3,84,73.81,-89.37
ic_condor,2025-05,5081.38,84,85.71,61.97
ic_condor,2025-06,2997.68,80,93.75,37.47
ic_condor,2025-07,-188.4,88,69.32,-2.14
ic_condor,2025-08,-330.14,84,76.19,-3.98
ic_condor,2025-09,1219.64,84,72.62,14.52
ic_condor,2025-10,-1667.74,92,70.65,-18.13
ic_condor,2025-11,-4430.88,76,73.68,-58.3
ic_condor,2025-12,139.34,88,75.0,1.58
ic_condor,2026-01,-2143.62,80,71.25,-26.8
ic_condor,2026-02,384.42,76,76.32,5.06
ic_condor,2026-03,1658.78,88,82.95,18.85
ic_condor,2026-04,2607.9,84,83.33,31.42
ic_condor,2026-05,1957.68,80,88.75,24.47
ic_condor,2026-06,-2360.96,84,79.76,-28.11
ic_condor,2026-07,915.08,88,75.0,10.4
ic_condor,2026-08,-1711.88,84,78.57,-20.38
ic_condor,2026-09,-195.42,16,81.25,-12.21
fly,2022-05,-2634.5,44,29.55,-61.27
fly,2022-06,-7322.92,84,29.76,-89.3
fly,2022-07,-5370.4,80,30.0,-67.13
fly,2022-08,-5446.38,92,28.26,-59.2
fly,2022-09,-10582.26,84,23.81,-125.98
fly,2022-10,-6630.74,84,29.76,-78.94
fly,2022-11,-5679.0,84,27.38,-67.61
fly,2022-12,-2965.18,84,34.52,-35.3
fly,2023-01,-1297.88,80,36.25,-16.22
fly,2023-02,-5084.1,76,31.58,-66.9
fly,2023-03,-5982.9,92,27.17,-65.03
fly,2023-04,-6665.62,76,30.26,-87.71
fly,2023-05,-630.3,88,43.18,-7.16
fly,2023-06,-4354.0,84,30.95,-51.83
fly,2023-07,-76.4,80,37.5,-0.95
fly,2023-08,-5161.38,92,34.78,-56.1
fly,2023-09,-3501.44,80,35.0,-43.77
fly,2023-10,-5506.82,88,28.41,-62.58
fly,2023-11,-3492.26,84,32.14,-41.57
fly,2023-12,-4657.92,80,30.0,-59.72
fly,2024-01,-4829.0,84,33.33,-57.49
fly,2024-02,-1601.18,80,35.0,-20.01
fly,2024-03,1769.12,80,47.5,22.11
fly,2024-04,-6366.82,88,35.23,-73.18
