book,year,pnl,n,win_pct,avg
ic_condor,2022,-1944.24,636,80.03,-3.09
ic_condor,2023,-4370.82,1000,83.4,-4.38
ic_condor,2024,-15414.56,1008,80.16,-15.32
ic_condor,2025,-4330.8,996,78.01,-4.36
ic_condor,2026,1111.98,680,79.56,1.64
fly,2022,-46631.38,636,29.09,-73.67
fly,2023,-46411.02,1000,33.1,-46.5
fly,2024,-32710.02,1008,34.13,-32.55
fly,2025,-46115.04,998,32.57,-46.44
fly,2026,-28968.14,684,35.38,-42.48
puts_credit_band,2022,5712.56,134,91.79,42.63
puts_credit_band,2023,3460.06,198,88.38,17.48
puts_credit_band,2024,2609.96,189,92.06,13.81
puts_credit_band,2025,-2345.34,190,88.95,-12.34
puts_credit_band,2026,5496.86,132,94.7,41.64
