date,strat,center,short_k,long_k,credit,exit_kind,exit_val,pnl,note
2022-05-16,eodfly_p,4023.89,4025.0,4000.0,12.1,stop,11.9,13.48,
2022-05-16,eodfly_c,4023.89,4025.0,4050.0,7.9,stop,10.9,-306.52,
2022-05-16,openfly_p,4013.02,4015.0,3990.0,13.5,stop,12.1,133.48,
2022-05-16,openfly_c,4013.02,4015.0,4040.0,6.7,stop,12.3,-566.52,
2022-05-17,eodfly_p,4008.01,4010.0,3985.0,,,,,no entry quote
2022-05-17,eodfly_c,4008.01,4010.0,4035.0,19.6,stop,21.3,-176.52,
2022-05-17,openfly_p,4052.0,4050.0,4025.0,6.1,stop,13.2,-716.52,
2022-05-17,openfly_c,4052.0,4050.0,4075.0,13.8,stop,12.5,123.48,
2022-05-18,eodfly_p,4088.85,4090.0,4065.0,18.0,stop,22.0,-406.52,
2022-05-18,eodfly_c,4088.85,4090.0,4115.0,2.7,settle,0.0,266.74,
2022-05-18,openfly_p,4051.98,4050.0,4025.0,14.9,stop,16.2,-136.52,
2022-05-18,openfly_c,4051.98,4050.0,4075.0,5.1,settle,0.0,506.74,
2022-05-19,eodfly_p,3923.68,3925.0,3900.0,13.9,stop,11.7,213.48,
2022-05-19,eodfly_c,3923.68,3925.0,3950.0,5.5,stop,12.5,-706.52,
2022-05-19,openfly_p,3899.0,3900.0,3875.0,7.9,stop,11.9,-406.52,
2022-05-19,openfly_c,3899.0,3900.0,3925.0,12.0,stop,12.1,-16.52,
2022-05-20,eodfly_p,3900.79,3900.0,3875.0,4.9,stop,13.6,-876.52,
2022-05-20,eodfly_c,3900.79,3900.0,3925.0,12.4,stop,17.2,-486.52,
2022-05-20,openfly_p,3927.76,3930.0,3905.0,9.3,stop,13.6,-436.52,
2022-05-20,openfly_c,3927.76,3930.0,3955.0,10.2,settle,0.0,1016.74,
2022-05-23,eodfly_p,3901.36,3900.0,3875.0,4.9,settle,0.0,486.74,
2022-05-23,eodfly_c,3901.36,3900.0,3925.0,15.5,stop,15.7,-26.52,
2022-05-23,openfly_p,3919.42,3920.0,3895.0,10.3,settle,0.0,1026.74,
2022-05-23,openfly_c,3919.42,3920.0,3945.0,9.7,stop,13.2,-356.52,
2022-05-24,eodfly_p,3973.75,3975.0,3950.0,16.8,stop,20.1,-336.52,
2022-05-24,eodfly_c,3973.75,3975.0,4000.0,3.5,settle,0.0,346.74,
2022-05-24,openfly_p,3942.94,3945.0,3920.0,16.3,stop,21.9,-566.52,
2022-05-24,openfly_c,3942.94,3945.0,3970.0,3.25,settle,0.0,321.74,
2022-05-25,eodfly_p,3941.48,3940.0,3915.0,9.8,settle,0.0,976.74,
2022-05-25,eodfly_c,3941.48,3940.0,3965.0,9.1,stop,12.7,-366.52,
2022-05-25,openfly_p,3929.59,3930.0,3905.0,6.2,settle,0.0,616.74,
2022-05-25,openfly_c,3929.59,3930.0,3955.0,14.4,stop,16.0,-166.52,
2022-05-26,eodfly_p,3978.73,3980.0,3955.0,7.3,settle,0.0,726.74,
2022-05-26,eodfly_c,3978.73,3980.0,4005.0,12.4,stop,18.1,-576.52,
2022-05-26,openfly_p,3984.6,3985.0,3960.0,2.5,settle,0.0,246.74,
2022-05-26,openfly_c,3984.6,3985.0,4010.0,19.0,stop,21.2,-226.52,
2022-05-27,eodfly_p,4057.84,4060.0,4035.0,3.7,settle,0.0,366.74,
2022-05-27,eodfly_c,4057.84,4060.0,4085.0,16.3,stop,20.6,-436.52,
2022-05-27,openfly_p,4077.43,4075.0,4050.0,1.7,settle,0.0,166.74,
2022-05-27,openfly_c,4077.43,4075.0,4100.0,20.2,stop,21.5,-136.52,
2022-05-31,eodfly_p,4158.24,4160.0,4135.0,12.8,stop,19.8,-706.52,
2022-05-31,eodfly_c,4158.24,4160.0,4185.0,7.0,stop,11.4,-446.52,
2022-05-31,openfly_p,4151.09,4150.0,4125.0,16.4,stop,17.3,-96.52,
2022-05-31,openfly_c,4151.09,4150.0,4175.0,3.75,stop,10.9,-721.52,
2022-06-01,eodfly_p,4132.15,4130.0,4105.0,4.4,stop,13.5,-916.52,
2022-06-01,eodfly_c,4132.15,4130.0,4155.0,15.7,stop,15.0,63.48,
2022-06-01,openfly_p,4149.78,4150.0,4125.0,10.2,stop,16.8,-666.52,
2022-06-01,openfly_c,4149.78,4150.0,4175.0,8.1,settle,0.0,806.74,
2022-06-02,eodfly_p,4101.23,4100.0,4075.0,10.5,settle,0.0,1046.74,
2022-06-02,eodfly_c,4101.23,4100.0,4125.0,8.8,stop,25.0,-1626.52,
2022-06-02,openfly_p,4095.41,4095.0,4070.0,-10.0,settle,0.0,-1003.26,
2022-06-02,openfly_c,4095.41,4095.0,4120.0,-6.2,stop,25.0,-3126.52,
2022-06-03,eodfly_p,4176.82,4175.0,4150.0,17.6,stop,19.0,-146.52,
2022-06-03,eodfly_c,4176.82,4175.0,4200.0,2.9,settle,0.0,286.74,
2022-06-03,openfly_p,4137.57,4140.0,4115.0,10.5,stop,11.2,-76.52,
2022-06-03,openfly_c,4137.57,4140.0,4165.0,8.4,settle,0.0,836.74,
2022-06-06,eodfly_p,4108.54,4110.0,4085.0,2.15,settle,0.0,211.74,
2022-06-06,eodfly_c,4108.54,4110.0,4135.0,18.6,stop,19.2,-66.52,
2022-06-06,openfly_p,4134.72,4135.0,4110.0,3.1,stop,13.7,-1066.52,
2022-06-06,openfly_c,4134.72,4135.0,4160.0,17.3,stop,18.6,-136.52,
2022-06-07,eodfly_p,4121.43,4120.0,4095.0,15.7,stop,14.4,123.48,
2022-06-07,eodfly_c,4121.43,4120.0,4145.0,4.0,stop,15.6,-1166.52,
2022-06-07,openfly_p,4096.47,4095.0,4070.0,6.3,settle,0.0,626.74,
2022-06-07,openfly_c,4096.47,4095.0,4120.0,12.6,stop,10.8,173.48,
2022-06-08,eodfly_p,4160.68,4160.0,4135.0,14.2,stop,14.8,-66.52,
2022-06-08,eodfly_c,4160.68,4160.0,4185.0,5.1,settle,0.0,506.74,
2022-06-08,openfly_p,4147.12,4145.0,4120.0,6.7,stop,9.7,-306.52,
2022-06-08,openfly_c,4147.12,4145.0,4170.0,11.8,stop,11.0,73.48,
2022-06-09,eodfly_p,4115.77,4115.0,4090.0,12.3,stop,13.5,-126.52,
2022-06-09,eodfly_c,4115.77,4115.0,4140.0,6.8,settle,0.0,676.74,
2022-06-09,openfly_p,4101.65,4100.0,4075.0,6.8,stop,10.4,-366.52,
2022-06-09,openfly_c,4101.65,4100.0,4125.0,12.2,stop,10.7,143.48,
2022-06-10,eodfly_p,4017.82,4020.0,3995.0,17.8,stop,23.5,-576.52,
2022-06-10,eodfly_c,4017.82,4020.0,4045.0,2.3,settle,0.0,226.74,
2022-06-10,openfly_p,3974.39,3975.0,3950.0,18.1,stop,21.9,-386.52,
2022-06-10,openfly_c,3974.39,3975.0,4000.0,2.4,settle,0.0,236.74,
2022-06-13,eodfly_p,3900.86,3900.0,3875.0,19.3,stop,24.1,-486.52,
2022-06-13,eodfly_c,3900.86,3900.0,3925.0,1.45,settle,0.0,141.74,
2022-06-13,openfly_p,3838.15,3840.0,3815.0,16.5,stop,20.4,-396.52,
2022-06-13,openfly_c,3838.15,3840.0,3865.0,4.3,settle,0.0,426.74,
2022-06-14,eodfly_p,3749.63,3750.0,3725.0,7.5,stop,12.0,-456.52,
2022-06-14,eodfly_c,3749.63,3750.0,3775.0,12.5,stop,11.6,83.48,
2022-06-14,openfly_p,3763.52,3765.0,3740.0,9.9,stop,13.0,-316.52,
2022-06-14,openfly_c,3763.52,3765.0,3790.0,10.3,settle,0.0,1026.74,
2022-06-15,eodfly_p,3735.48,3735.0,3710.0,7.1,settle,0.0,706.74,
2022-06-15,eodfly_c,3735.48,3735.0,3760.0,14.3,stop,16.6,-236.52,
2022-06-15,openfly_p,3764.05,3765.0,3740.0,7.6,stop,11.5,-396.52,
2022-06-15,openfly_c,3764.05,3765.0,3790.0,14.1,stop,14.4,-36.52,
2022-06-16,eodfly_p,3789.99,3790.0,3765.0,20.6,stop,25.0,-446.52,
2022-06-16,eodfly_c,3789.99,3790.0,3815.0,1.55,settle,0.0,151.74,
2022-06-16,openfly_p,3728.18,3730.0,3705.0,17.3,stop,21.2,-396.52,
2022-06-16,openfly_c,3728.18,3730.0,3755.0,3.4,settle,0.0,336.74,
2022-06-17,eodfly_p,3666.77,3665.0,3640.0,8.1,stop,14.7,-666.52,
2022-06-17,eodfly_c,3666.77,3665.0,3690.0,12.1,stop,15.9,-386.52,
2022-06-17,openfly_p,3665.9,3665.0,3640.0,5.7,stop,14.7,-906.52,
2022-06-17,openfly_c,3665.9,3665.0,3690.0,14.5,stop,14.9,-46.52,
2022-06-21,eodfly_p,3674.84,3675.0,3650.0,1.85,settle,0.0,181.74,
2022-06-21,eodfly_c,3674.84,3675.0,3700.0,19.3,stop,24.3,-506.52,
2022-06-21,openfly_p,3715.31,3715.0,3690.0,2.0,settle,0.0,196.74,
2022-06-21,openfly_c,3715.31,3715.0,3740.0,18.5,stop,21.1,-266.52,
2022-06-22,eodfly_p,3764.79,3765.0,3740.0,15.5,stop,17.6,-216.52,
2022-06-22,eodfly_c,3764.79,3765.0,3790.0,3.4,stop,15.5,-1216.52,
