rule,book,removed,n_train,n_test,train_delta,test_delta,p_train,p_test,p_joint,p_bonf,top1_share_test,test_ex_april,test_ex_top1,n_april_skips,jaccard_vix25_test
skip_day_if_cr_c>2.0,ic,day,147,61,9056,5055,0.2706,0.1868,0.2014255216214728,1.0,0.643,1767,1805,3,0.159
skip_day_if_cr_c>2.0,fly,day,147,61,33474,20395,0.2292,0.0448,0.0572830605224492,1.0,0.115,14507,18059,3,0.159
ic_drop_call_leg_if_cr_c>2.0,ic,eodic_c_pnl,147,61,4757,7658,0.3236,0.0012,0.0034380613344636747,1.0,0.266,5682,5621,3,0.159
skip_day_if_cr_c>2.5,ic,day,120,51,11321,6616,0.1256,0.0908,0.06242526120448344,1.0,0.491,3328,3366,3,0.164
skip_day_if_cr_c>2.5,fly,day,120,51,28815,17801,0.1918,0.0488,0.05308271408132538,1.0,0.131,11913,15465,3,0.164
ic_drop_call_leg_if_cr_c>2.5,ic,eodic_c_pnl,120,51,4208,7346,0.2954,0.0014,0.003635485180317206,1.0,0.277,5369,5309,3,0.164
skip_day_if_cr_c>3.0,ic,day,95,40,7927,5533,0.211,0.1072,0.1083223575328204,1.0,0.587,2245,2283,3,0.138
skip_day_if_cr_c>3.0,fly,day,95,40,25233,13092,0.1292,0.1032,0.07090030204545626,1.0,0.178,7204,10756,3,0.138
ic_drop_call_leg_if_cr_c>3.0,ic,eodic_c_pnl,95,40,3799,6445,0.2736,0.002,0.004657052956074126,1.0,0.316,4469,4409,3,0.138
skip_day_if_cr_c>4.0,fly,day,63,31,11774,9853,0.5166,0.1612,0.29026620092625804,1.0,0.237,7517,7517,1,0.102
skip_day_if_cr_c>4.0,puts_band,day,63,31,148,905,0.2646,0.2512,0.2466637498273509,1.0,1.632,-572,-572,1,0.102
skip_day_if_cr_p>2.0,fly,day,161,94,47234,37670,0.0116,0.0018,0.00024589788843855246,0.09712966593322822,0.09,30894,34294,6,0.123
skip_day_if_cr_p>2.5,fly,day,124,75,35011,35896,0.0474,0.0002,0.00011912877277129069,0.04705586524465982,0.094,29120,32520,6,0.124
