book,level,date,base,sim,delta,breach_t
ic,1000,2022-05-18,-1385,-1406,-22,12:16:00
ic,1000,2022-05-20,-1735,-1196,538,12:18:00
ic,1000,2022-05-26,-870,-886,-17,15:45:00
ic,1000,2022-06-15,-276,-411,-135,15:35:00
ic,1000,2022-06-24,-1055,-1346,-292,10:11:00
ic,1000,2022-06-28,-1695,-1066,628,11:49:00
ic,1000,2022-07-05,-986,-995,-8,15:34:00
ic,1000,2022-07-18,-865,-881,-17,15:40:00
ic,1000,2022-07-19,-1436,-1450,-13,14:12:00
ic,1000,2022-07-27,-1950,-1376,573,14:46:00
ic,1000,2022-08-26,-1250,-1286,-37,11:06:00
ic,1000,2022-09-02,-615,-631,-17,15:46:00
ic,1000,2022-09-07,-1260,-1276,-17,14:44:00
ic,1000,2022-09-13,-1261,-1270,-8,15:40:00
ic,1000,2022-09-28,-810,-826,-17,15:41:00
ic,1000,2022-10-03,-1160,-1176,-17,14:51:00
ic,1000,2022-10-13,-708,-765,-57,11:39:00
ic,1000,2022-10-14,-1375,-1026,348,11:44:00
ic,1000,2022-10-21,-1570,-1591,-22,14:09:00
ic,1000,2022-10-28,-1695,-1711,-17,14:43:00
ic,1000,2022-11-02,-350,-601,-252,15:34:00
ic,1000,2022-11-15,-950,-1041,-92,13:42:00
ic,1000,2022-11-30,-1720,-1746,-27,14:25:00
ic,1000,2022-12-05,-1085,-1101,-17,14:09:00
ic,1000,2022-12-06,-1555,-1571,-17,13:06:00
ic,1000,2022-12-15,-1200,-1221,-22,13:06:00
ic,1000,2022-12-22,-1725,-1741,-17,12:39:00
ic,1000,2023-01-03,-551,-1046,-495,12:52:00
ic,1000,2023-01-06,-1165,-1181,-17,14:28:00
ic,1000,2023-01-18,-1360,-1376,-17,15:42:00
ic,1000,2023-01-20,-1415,-1431,-17,14:33:00
ic,1000,2023-01-23,-1690,-1751,-62,11:15:00
ic,1000,2023-02-01,-1130,-1146,-17,15:40:00
ic,1000,2023-02-07,-1230,-1246,-17,15:53:00
ic,1000,2023-03-07,-725,-741,-17,13:28:00
ic,1000,2023-03-09,-1995,-2056,-62,14:58:00
ic,1000,2023-03-10,-785,-801,-17,15:45:00
ic,1000,2023-03-13,-81,-796,-715,11:21:00
ic,1000,2023-03-16,-1340,-811,528,11:51:00
ic,1000,2023-04-25,-1313,-1443,-130,13:25:00
ic,1000,2023-05-02,-1981,-1680,302,10:33:00
ic,1000,2023-06-01,-1015,-1031,-17,15:03:00
ic,1000,2023-06-15,-1460,-1476,-17,13:50:00
ic,1000,2023-06-27,-980,-996,-17,14:22:00
ic,1000,2023-08-10,-1720,-1781,-62,13:05:00
ic,1000,2023-08-24,-1495,-1511,-17,15:50:00
ic,1000,2023-08-29,-2130,-2156,-27,11:41:00
ic,1000,2023-09-15,-1081,-1090,-8,15:45:00
ic,1000,2023-10-06,-1285,-931,353,11:38:00
ic,1000,2023-10-13,-735,-1161,-427,13:34:00
ic,1000,2023-11-10,-1210,-1231,-22,14:19:00
ic,1000,2023-12-13,-1825,-1811,13,14:45:00
ic,1000,2023-12-20,-2303,-2493,-190,15:08:00
ic,1000,2024-01-08,-1030,-1046,-17,14:37:00
ic,1000,2024-01-19,-1160,-1176,-17,15:05:00
ic,1000,2024-02-02,-1320,-1346,-27,14:11:00
ic,1000,2024-03-05,-1551,-1560,-8,15:23:00
ic,1000,2024-03-08,-920,-1196,-277,13:03:00
ic,1000,2024-04-04,-630,-643,-13,14:39:00
