book,level,breach_days,total_delta,train_delta,test_delta,killer_days_hit,killer_delta,quote_fallbacks
ic,-1000,119,-969,-1596,627,49,5908,0
ic,-1500,67,-1473,-306,-1167,49,-1072,0
ic,-2000,30,-639,-372,-267,29,-622,0
ic,-3000,2,-104,-17,-87,2,-104,0
puts_band,-1000,35,3342,942,2400,14,4070,0
puts_band,-1500,14,60,60,0,14,60,0
puts_band,-2000,10,0,0,0,10,0,0
puts_band,-3000,1,0,0,0,1,0,0
combined,-1000,427,-9683,-12193,2510,77,76352,0
combined,-1500,199,-720,-3950,3230,77,26138,0
combined,-2000,106,4964,-1383,6347,62,11953,0
combined,-3000,36,-1195,-1220,25,35,-1090,0
