rule,book,n_skipped,train_delta,test_delta,total_delta,killer_days_avoided,winning_days_lost,winners_pnl_forfeited,skipped_pnl_sum,avg_skipped_pnl,allday_avg_pnl,selectivity,verdict
loss<-1000_stand1d,ic,100,-3689.0,1564.0,-2125.0,7,70,28839.0,2125.0,21.2,-23.1,44.3,DEAD
loss<-1000_stand2d,ic,180,-5383.0,2085.0,-3298.0,13,129,52815.0,3298.0,18.3,-23.1,41.4,DEAD
loss<-1000_stand3d,ic,246,-3821.0,3292.0,-529.0,18,175,68184.0,529.0,2.2,-23.1,25.2,DEAD
loss<-1500_stand1d,ic,57,-929.0,-1508.0,-2437.0,3,38,17252.0,2437.0,42.8,-23.1,65.8,DEAD
loss<-1500_stand2d,ic,106,701.0,-180.0,521.0,7,69,30735.0,-521.0,-4.9,-23.1,18.2,TRAIN_ONLY
loss<-1500_stand3d,ic,144,2150.0,528.0,2678.0,12,97,42002.0,-2678.0,-18.6,-23.1,4.5,ROBUST_CANDIDATE
loss<-2000_stand1d,ic,18,-769.0,1466.0,697.0,1,10,5682.0,-697.0,-38.7,-23.1,-15.6,DEAD
loss<-2000_stand2d,ic,32,3280.0,1111.0,4391.0,4,18,9430.0,-4391.0,-137.2,-23.1,-114.1,ROBUST_CANDIDATE
loss<-2000_stand3d,ic,48,2548.0,-35.0,2513.0,5,31,15245.0,-2513.0,-52.4,-23.1,-29.3,TRAIN_ONLY
vixprior>25_standdown,ic,126,5312.0,4606.0,9918.0,8,78,38132.0,-9918.0,-78.7,-23.1,-55.6,ROBUST_CANDIDATE
vixprior>30_standdown,ic,37,892.0,7723.0,8615.0,4,21,11174.0,-8615.0,-232.8,-23.1,-209.8,ROBUST_CANDIDATE
vixprior>35_standdown,ic,6,-382.0,1972.0,1590.0,1,4,3025.0,-1590.0,-265.0,-23.1,-241.9,DEAD
loss<-1000_until_vixdown,ic,87,-248.0,5920.0,5672.0,9,62,23823.0,-5672.0,-65.2,-23.1,-42.1,DEAD
loss<-1500_until_vixdown,ic,52,2127.0,2467.0,4594.0,5,33,14315.0,-4594.0,-88.3,-23.1,-65.3,ROBUST_CANDIDATE
loss<-2000_until_vixdown,ic,14,1062.0,2034.0,3096.0,2,8,4686.0,-3096.0,-221.1,-23.1,-198.1,ROBUST_CANDIDATE
cluster_2x_loss<-500,ic,25,-4985.0,1888.0,-3097.0,1,18,10140.0,3097.0,123.9,-23.1,147.0,DEAD
loss<-1000_stand1d,fly,114,13913.0,10724.0,24637.0,7,43,26498.0,-24637.0,-216.1,-185.7,-30.4,ROBUST_CANDIDATE
loss<-1000_stand2d,fly,208,24417.0,22418.0,46835.0,12,73,46013.0,-46835.0,-225.2,-185.7,-39.5,ROBUST_CANDIDATE
loss<-1000_stand3d,fly,282,30801.0,23513.0,54314.0,15,110,63797.0,-54314.0,-192.6,-185.7,-6.9,ROBUST_CANDIDATE
loss<-1500_stand1d,fly,30,3379.0,5396.0,8775.0,3,9,6879.0,-8775.0,-292.5,-185.7,-106.8,ROBUST_CANDIDATE
loss<-1500_stand2d,fly,54,9867.0,8929.0,18796.0,6,16,11210.0,-18796.0,-348.1,-185.7,-162.4,ROBUST_CANDIDATE
loss<-1500_stand3d,fly,78,11302.0,10816.0,22118.0,7,27,17105.0,-22118.0,-283.6,-185.7,-97.9,ROBUST_CANDIDATE
loss<-2000_stand1d,fly,8,3421.0,4205.0,7626.0,2,0,0.0,-7626.0,-953.2,-185.7,-767.6,ROBUST_CANDIDATE
loss<-2000_stand2d,fly,14,6703.0,5791.0,12494.0,4,1,257.0,-12494.0,-892.4,-185.7,-706.7,ROBUST_CANDIDATE
loss<-2000_stand3d,fly,21,7283.0,5304.0,12587.0,5,4,2449.0,-12587.0,-599.4,-185.7,-413.7,ROBUST_CANDIDATE
vixprior>25_standdown,fly,126,37188.0,23616.0,60804.0,11,33,19547.0,-60804.0,-482.6,-185.7,-296.9,ROBUST_CANDIDATE
vixprior>30_standdown,fly,37,9968.0,11716.0,21684.0,5,10,7126.0,-21684.0,-586.1,-185.7,-400.4,ROBUST_CANDIDATE
vixprior>35_standdown,fly,6,-1470.0,7181.0,5711.0,3,2,2650.0,-5711.0,-951.8,-185.7,-766.1,DEAD
loss<-1000_until_vixdown,fly,98,10567.0,15538.0,26105.0,7,32,23845.0,-26105.0,-266.4,-185.7,-80.7,ROBUST_CANDIDATE
loss<-1500_until_vixdown,fly,20,1436.0,7547.0,8983.0,4,5,5092.0,-8983.0,-449.1,-185.7,-263.5,ROBUST_CANDIDATE
loss<-2000_until_vixdown,fly,7,2207.0,6491.0,8698.0,3,0,0.0,-8698.0,-1242.6,-185.7,-1056.9,ROBUST_CANDIDATE
cluster_2x_loss<-500,fly,76,1888.0,9679.0,11567.0,5,30,20912.0,-11567.0,-152.2,-185.7,33.5,ROBUST_CANDIDATE
loss<-1000_stand1d,puts_band,25,-929.0,-1231.0,-2160.0,0,18,2967.0,2160.0,86.4,13.8,72.6,DEAD
loss<-1000_stand2d,puts_band,48,802.0,-1831.0,-1029.0,1,30,5136.0,1029.0,21.4,13.8,7.6,TRAIN_ONLY
loss<-1000_stand3d,puts_band,69,660.0,343.0,1003.0,2,40,6302.0,-1003.0,-14.5,13.8,-28.4,ROBUST_CANDIDATE
loss<-1500_stand1d,puts_band,12,-860.0,-338.0,-1198.0,0,8,1198.0,1198.0,99.8,13.8,86.0,DEAD
loss<-1500_stand2d,puts_band,24,-1387.0,-336.0,-1723.0,0,15,2555.0,1723.0,71.8,13.8,58.0,DEAD
