source,record
killer_context,date=2024-08-01;dow=Thu;event=;gap_pct=0.28;prior_ret=1.58;prior_range=1.05;prior2_ret=-0.5;vix_prior=16.36;vix_chg=-1.33;em_pts=56.9;cr_eodic_c=2.9;cr_eodic_p=0.65;ic_pnl=-2080.0;fly_pnl=-403.0;puts_band_pnl=-2468.0;next_ret=-1.84
ic_rows,date=2024-08-01;strat=eodic_p;method=vix252;center=5522.3;em=56.9;short_k=5465.0;long_k=5440.0;credit=0.65;exit_kind=stop;exit_val=12.7;pnl=-1211.52;note=
ic_rows,date=2024-08-01;strat=eodic_p;method=vix365;center=5522.3;em=47.3;short_k=5475.0;long_k=5450.0;credit=1.0;exit_kind=stop;exit_val=12.6;pnl=-1166.52;note=
ic_rows,date=2024-08-01;strat=eodic_p;method=straddle;center=5522.3;em=34.6;short_k=5490.0;long_k=5465.0;credit=1.7;exit_kind=stop;exit_val=11.8;pnl=-1016.52;note=
ic_rows,date=2024-08-01;strat=eodic_c;method=vix252;center=5522.3;em=56.9;short_k=5580.0;long_k=5605.0;credit=2.9;exit_kind=settle;exit_val=0.0;pnl=286.74;note=
ic_rows,date=2024-08-01;strat=eodic_c;method=vix365;center=5522.3;em=47.3;short_k=5570.0;long_k=5595.0;credit=4.75;exit_kind=settle;exit_val=0.0;pnl=471.74;note=
ic_rows,date=2024-08-01;strat=eodic_c;method=straddle;center=5522.3;em=34.6;short_k=5555.0;long_k=5580.0;credit=8.0;exit_kind=settle;exit_val=0.0;pnl=796.74;note=
ic_rows,date=2024-08-01;strat=openic_p;method=vix252;center=5537.84;em=56.9;short_k=5480.0;long_k=5455.0;credit=0.7;exit_kind=stop;exit_val=13.2;pnl=-1256.52;note=
ic_rows,date=2024-08-01;strat=openic_p;method=vix365;center=5537.84;em=47.3;short_k=5490.0;long_k=5465.0;credit=1.05;exit_kind=stop;exit_val=11.8;pnl=-1081.52;note=
ic_rows,date=2024-08-01;strat=openic_p;method=straddle;center=5537.84;em=34.6;short_k=5505.0;long_k=5480.0;credit=1.9;exit_kind=stop;exit_val=11.3;pnl=-946.52;note=
ic_rows,date=2024-08-01;strat=openic_c;method=vix252;center=5537.84;em=56.9;short_k=5595.0;long_k=5620.0;credit=1.05;exit_kind=settle;exit_val=0.0;pnl=101.74;note=
ic_rows,date=2024-08-01;strat=openic_c;method=vix365;center=5537.84;em=47.3;short_k=5585.0;long_k=5610.0;credit=2.05;exit_kind=settle;exit_val=0.0;pnl=201.74;note=
ic_rows,date=2024-08-01;strat=openic_c;method=straddle;center=5537.84;em=34.6;short_k=5570.0;long_k=5595.0;credit=4.35;exit_kind=settle;exit_val=0.0;pnl=431.74;note=
fly_rows,date=2024-08-01;strat=eodfly_p;center=5522.3;short_k=5520.0;long_k=5495.0;credit=4.5;exit_kind=stop;exit_val=11.8;pnl=-736.52;note=
fly_rows,date=2024-08-01;strat=eodfly_c;center=5522.3;short_k=5520.0;long_k=5545.0;credit=16.0;exit_kind=stop;exit_val=18.5;pnl=-256.52;note=
fly_rows,date=2024-08-01;strat=openfly_p;center=5548.3;short_k=5550.0;long_k=5525.0;credit=8.6;exit_kind=stop;exit_val=11.8;pnl=-326.52;note=
fly_rows,date=2024-08-01;strat=openfly_c;center=5548.3;short_k=5550.0;long_k=5575.0;credit=9.2;exit_kind=settle;exit_val=0.0;pnl=916.74;note=
