source,date,dow,event,gap_pct,prior_ret,prior_range,prior2_ret,vix_prior,vix_chg,em_pts,cr_eodic_c,cr_eodic_p,ic_pnl,fly_pnl,puts_band_pnl,next_ret,strat,method,center,em,short_k,long_k,credit,exit_kind,exit_val,pnl,note
context,2025-02-21,Fri,,-0.06,-0.43,0.82,0.24,15.66,0.39,60.3,0.05,0.8,-1955.0,840.0,-1958.0,-0.5,,,,,,,,,,,
ic_rows,2025-02-21,,,,,,,,,,,,,,,,eodic_p,vix252,6117.52,60.3,6055.0,6030.0,0.8,stop,10.8,-1006.52,
ic_rows,2025-02-21,,,,,,,,,,,,,,,,eodic_p,vix365,6117.52,50.1,6065.0,6040.0,1.2,stop,10.9,-976.52,
ic_rows,2025-02-21,,,,,,,,,,,,,,,,eodic_p,straddle,6117.52,24.6,6095.0,6070.0,3.95,stop,12.3,-841.52,
ic_rows,2025-02-21,,,,,,,,,,,,,,,,eodic_c,vix252,6117.52,60.3,6180.0,6205.0,0.05,settle,0.0,1.74,
ic_rows,2025-02-21,,,,,,,,,,,,,,,,eodic_c,vix365,6117.52,50.1,6170.0,6195.0,0.15,settle,0.0,11.74,
ic_rows,2025-02-21,,,,,,,,,,,,,,,,eodic_c,straddle,6117.52,24.6,6140.0,6165.0,1.95,settle,0.0,191.74,
ic_rows,2025-02-21,,,,,,,,,,,,,,,,openic_p,vix252,6114.1,60.3,6055.0,6030.0,1.35,stop,10.8,-951.52,
ic_rows,2025-02-21,,,,,,,,,,,,,,,,openic_p,vix365,6114.1,50.1,6065.0,6040.0,2.15,stop,10.9,-881.52,
ic_rows,2025-02-21,,,,,,,,,,,,,,,,openic_p,straddle,6114.1,24.6,6090.0,6065.0,6.3,stop,10.1,-386.52,
ic_rows,2025-02-21,,,,,,,,,,,,,,,,openic_c,vix252,6114.1,60.3,6175.0,6200.0,0.05,settle,0.0,1.74,
ic_rows,2025-02-21,,,,,,,,,,,,,,,,openic_c,vix365,6114.1,50.1,6165.0,6190.0,0.1,settle,0.0,6.74,
ic_rows,2025-02-21,,,,,,,,,,,,,,,,openic_c,straddle,6114.1,24.6,6140.0,6165.0,0.65,settle,0.0,61.74,
fly_rows,2025-02-21,,,,,,,,,,,,,,,,eodfly_p,,6117.52,,6120.0,6095.0,9.7,stop,12.1,-246.52,
fly_rows,2025-02-21,,,,,,,,,,,,,,,,eodfly_c,,6117.52,,6120.0,6145.0,6.5,settle,0.0,646.74,
fly_rows,2025-02-21,,,,,,,,,,,,,,,,openfly_p,,6096.05,,6095.0,6070.0,7.5,stop,12.3,-486.52,
fly_rows,2025-02-21,,,,,,,,,,,,,,,,openfly_c,,6096.05,,6095.0,6120.0,9.3,settle,0.0,926.74,
