section,key,value
context_row,date,2026-03-31
context_row,dow,Tue
context_row,event,
context_row,gap_pct,0.82
context_row,prior_ret,-0.39
context_row,prior_range,1.74
context_row,prior2_ret,-1.67
context_row,vix_prior,30.61
context_row,vix_chg,-0.44
context_row,em_pts,122.3
context_row,cr_eodic_c,3.9
context_row,cr_eodic_p,0.05
context_row,ic_pnl,-2070.0
context_row,fly_pnl,-958.0
context_row,puts_band_pnl,0.0
context_row,next_ret,0.72
trade_row_0,date,2026-03-31
trade_row_0,strat,eodic_p
trade_row_0,method,vix252
trade_row_0,center,6343.72
trade_row_0,em,122.3
trade_row_0,short_k,6220.0
trade_row_0,long_k,6195.0
trade_row_0,credit,0.05
trade_row_0,exit_kind,settle
trade_row_0,exit_val,0.0
trade_row_0,pnl,1.74
trade_row_0,note,
trade_row_1,date,2026-03-31
trade_row_1,strat,eodic_p
trade_row_1,method,vix365
trade_row_1,center,6343.72
trade_row_1,em,101.6
trade_row_1,short_k,6240.0
trade_row_1,long_k,6215.0
trade_row_1,credit,0.05
trade_row_1,exit_kind,settle
trade_row_1,exit_val,0.0
trade_row_1,pnl,1.74
trade_row_1,note,
trade_row_2,date,2026-03-31
trade_row_2,strat,eodic_p
trade_row_2,method,straddle
trade_row_2,center,6343.72
trade_row_2,em,54.4
trade_row_2,short_k,6290.0
trade_row_2,long_k,6265.0
trade_row_2,credit,0.4
trade_row_2,exit_kind,settle
trade_row_2,exit_val,0.0
trade_row_2,pnl,36.74
trade_row_2,note,
trade_row_3,date,2026-03-31
trade_row_3,strat,eodic_c
trade_row_3,method,vix252
trade_row_3,center,6343.72
trade_row_3,em,122.3
trade_row_3,short_k,6465.0
trade_row_3,long_k,6490.0
trade_row_3,credit,3.9
trade_row_3,exit_kind,stop
trade_row_3,exit_val,15.6
trade_row_3,pnl,-1176.52
trade_row_3,note,
trade_row_4,date,2026-03-31
trade_row_4,strat,eodic_c
trade_row_4,method,vix365
trade_row_4,center,6343.72
trade_row_4,em,101.6
trade_row_4,short_k,6445.0
trade_row_4,long_k,6470.0
trade_row_4,credit,6.4
trade_row_4,exit_kind,stop
trade_row_4,exit_val,19.2
trade_row_4,pnl,-1286.52
trade_row_4,note,
trade_row_5,date,2026-03-31
trade_row_5,strat,eodic_c
trade_row_5,method,straddle
trade_row_5,center,6343.72
trade_row_5,em,54.4
trade_row_5,short_k,6400.0
trade_row_5,long_k,6425.0
trade_row_5,credit,13.8
trade_row_5,exit_kind,stop
trade_row_5,exit_val,15.7
trade_row_5,pnl,-196.52
trade_row_5,note,
trade_row_6,date,2026-03-31
trade_row_6,strat,openic_p
trade_row_6,method,vix252
trade_row_6,center,6395.88
trade_row_6,em,122.3
trade_row_6,short_k,6275.0
trade_row_6,long_k,6250.0
trade_row_6,credit,0.25
trade_row_6,exit_kind,settle
trade_row_6,exit_val,0.0
trade_row_6,pnl,21.74
trade_row_6,note,
trade_row_7,date,2026-03-31
trade_row_7,strat,openic_p
trade_row_7,method,vix365
trade_row_7,center,6395.88
trade_row_7,em,101.6
trade_row_7,short_k,6295.0
trade_row_7,long_k,6270.0
trade_row_7,credit,0.35
trade_row_7,exit_kind,settle
trade_row_7,exit_val,0.0
trade_row_7,pnl,31.74
trade_row_7,note,
trade_row_8,date,2026-03-31
trade_row_8,strat,openic_p
trade_row_8,method,straddle
trade_row_8,center,6395.88
trade_row_8,em,54.4
trade_row_8,short_k,6340.0
trade_row_8,long_k,6315.0
trade_row_8,credit,0.8
trade_row_8,exit_kind,settle
trade_row_8,exit_val,0.0
trade_row_8,pnl,76.74
trade_row_8,note,
trade_row_9,date,2026-03-31
trade_row_9,strat,openic_c
trade_row_9,method,vix252
trade_row_9,center,6395.88
trade_row_9,em,122.3
trade_row_9,short_k,6520.0
trade_row_9,long_k,6545.0
trade_row_9,credit,1.0
trade_row_9,exit_kind,stop
trade_row_9,exit_val,10.1
trade_row_9,pnl,-916.52
trade_row_9,note,
trade_row_10,date,2026-03-31
trade_row_10,strat,openic_c
trade_row_10,method,vix365
trade_row_10,center,6395.88
trade_row_10,em,101.6
trade_row_10,short_k,6500.0
trade_row_10,long_k,6525.0
trade_row_10,credit,2.35
trade_row_10,exit_kind,stop
trade_row_10,exit_val,8.5
trade_row_10,pnl,-621.52
trade_row_10,note,
trade_row_11,date,2026-03-31
trade_row_11,strat,openic_c
trade_row_11,method,straddle
trade_row_11,center,6395.88
trade_row_11,em,54.4
trade_row_11,short_k,6450.0
trade_row_11,long_k,6475.0
trade_row_11,credit,10.6
trade_row_11,exit_kind,stop
trade_row_11,exit_val,17.8
trade_row_11,pnl,-726.52
trade_row_11,note,
finding,cause,"SPX +2.91% to 6528.52 (best day since May 2025) on US-Iran war de-escalation: unconfirmed report that Iranian President Pezeshkian is open to ending the war with guarantees (phone call w/ EU Council's Costa, Mar 31) + Trump telling NY Post the same day he believes the war will likely end soon. Relief rally after ~-8% war selloff; killed the CALL side."
finding,overnight,"Premarket already firming on early de-escalation signals; SPX cash gapped +0.82% (6343.72 -> 6395.88 open). Oil spiked first overnight (Brent topped ~$108, WTI ~$107) then reversed hard intraday on the peace headlines (Brent -2.8% to ~$105)."
finding,prior_days,"War regime since 2026-02-28; ~5 weeks of war-driven volatility; SPX -8% through Mar 30; Mar 30 (Mon): opened +0.9%, faded to -0.3%, worst week since war began, weekend Houthi entry, WTI settled $102.88; prior2 ret -1.67%; VIX prior close 30.61."
finding,aftermath,"Continuation, not snap-back: Apr 1 +0.72%; rally ran ~2 weeks; SPX wiped out entire war-era decline and hit record highs by Apr 15. VIX collapsed >4 pts to ~26 on the day."
finding,signal_0830ct_1,VIX prior close 30.61 - extreme-vol regime; +/-3% daily tails live.
finding,signal_0830ct_2,Active war headline regime = unscheduled binary catalysts both directions; a peace headline in an oversold tape is an upside bomb.
finding,signal_0830ct_3,Gap +0.82% UP after -8% multi-week selloff: classic relief/short-cover setup; upside tail asymmetry against short calls.
finding,signal_0830ct_4,Credit asymmetry at entry: cr_eodic_p 0.05 (below own 0.10 thin gate) vs cr_eodic_c 3.90 - position was effectively a naked short call bet; the market was paying nothing for downside.
finding,signal_0830ct_5,EM 122.3 pts (~1.9% of spot) - day's realized +2.9% was only ~1.5x EM; condor wings were inside a fairly-priced vol regime.
finding,signal_0830ct_6,Quarter-end (worst quarter since 2022) - rebalance buy-flow day; plus prior-day open-fade whipsaw showed headline sensitivity.
finding,scheduled_event,"Conference Board Consumer Confidence (91.8 vs 91.2 prior) - minor, not the driver. No FOMC/CPI/NFP."
finding,verdict,"NOT a quiet-open ambush. Catalyst headlines hit intraday, but by 08:30 CT the tape was screaming: VIX 30.6, war regime, up-gap in oversold market, put credit 0.05 vs call credit 3.90. A mechanical gate on (VIX>25 & gap-up & one-sided credit) flags this day premarket."
source,url,https://www.cnbc.com/2026/03/30/stock-market-today-live-updates.html
source,url,https://finance.yahoo.com/markets/stocks/articles/stock-market-today-march-31-214400738.html
source,url,https://www.rferl.org/a/pezeshkian-iran-peace-us-war-talks/33721776.html
source,url,https://resources.quantel.ai/daily-market-summary/stock-market-summary-march-31-2026
source,url,https://tradingeconomics.com/commodity/brent-crude-oil/news/537978
source,url,https://www.fortune.com/2026/03/30/markets-react-iran-war-oil-price-keeps-going-higher
