date,strat,method,center,em,short_k,long_k,credit,exit_kind,exit_val,pnl,note
2024-12-20,eodic_p,vix252,5867.08,89.0,5780.0,5755.0,2.6,settle,0.0,256.74,
2024-12-20,eodic_p,vix365,5867.08,74.0,5795.0,5770.0,3.9,settle,0.0,386.74,
2024-12-20,eodic_p,straddle,5867.08,45.6,5820.0,5795.0,6.7,settle,0.0,666.74,
2024-12-20,eodic_c,vix252,5867.08,89.0,5955.0,5980.0,0.2,stop,12.9,-1276.52,
2024-12-20,eodic_c,vix365,5867.08,74.0,5940.0,5965.0,0.45,stop,11.4,-1101.52,
2024-12-20,eodic_c,straddle,5867.08,45.6,5915.0,5940.0,1.35,stop,14.8,-1351.52,
2024-12-20,openic_p,vix252,5842.0,89.0,5755.0,5730.0,0.35,settle,0.0,31.74,
2024-12-20,openic_p,vix365,5842.0,74.0,5770.0,5745.0,0.65,settle,0.0,61.74,
2024-12-20,openic_p,straddle,5842.0,45.6,5795.0,5770.0,1.65,settle,0.0,161.74,
2024-12-20,openic_c,vix252,5842.0,89.0,5930.0,5955.0,0.7,stop,12.7,-1206.52,
2024-12-20,openic_c,vix365,5842.0,74.0,5915.0,5940.0,1.5,stop,14.8,-1336.52,
2024-12-20,openic_c,straddle,5842.0,45.6,5890.0,5915.0,4.1,stop,14.4,-1036.52,
