date,strat,method,center,em,short_k,long_k,credit,exit_kind,exit_val,pnl,note
2025-10-22,eodic_p,vix252,6735.35,75.8,6660.0,6635.0,0.75,stop,8.4,-771.52,
2025-10-22,eodic_p,vix365,6735.35,63.0,6670.0,6645.0,1.0,stop,10.8,-986.52,
2025-10-22,eodic_p,straddle,6735.35,28.1,6705.0,6680.0,2.9,stop,9.2,-636.52,
2025-10-22,eodic_c,vix252,6735.35,75.8,6810.0,6835.0,-0.05,settle,0.0,-8.26,
2025-10-22,eodic_c,vix365,6735.35,63.0,6800.0,6825.0,0.1,settle,0.0,6.74,
2025-10-22,eodic_c,straddle,6735.35,28.1,6765.0,6790.0,2.25,settle,0.0,221.74,
2025-10-22,openic_p,vix252,6741.34,75.8,6665.0,6640.0,0.55,stop,9.6,-911.52,
2025-10-22,openic_p,vix365,6741.34,63.0,6680.0,6655.0,0.85,stop,10.4,-961.52,
2025-10-22,openic_p,straddle,6741.34,28.1,6715.0,6690.0,2.75,stop,7.9,-521.52,
2025-10-22,openic_c,vix252,6741.34,75.8,6815.0,6840.0,0.0,settle,0.0,-3.26,
2025-10-22,openic_c,vix365,6741.34,63.0,6805.0,6830.0,0.0,settle,0.0,-3.26,
2025-10-22,openic_c,straddle,6741.34,28.1,6770.0,6795.0,0.8,settle,0.0,76.74,
