book,date,baseline_pnl,stacked_pnl,saved,avoided
ic,2022-05-20,-1560,-2990,-1430,False
ic,2022-06-09,-2135,-1337,798,True
ic,2022-06-28,-1815,-2328,-513,False
ic,2022-07-27,-1595,1875,3470,True
ic,2022-10-13,-1515,-1302,213,True
ic,2022-10-28,-1730,-1868,-138,False
ic,2023-01-18,-1605,-1778,-173,False
ic,2023-01-20,-1645,0,1645,True
ic,2023-01-23,-1595,0,1595,True
ic,2023-02-01,-1840,2080,3920,True
ic,2023-03-09,-1965,-1247,718,True
ic,2023-03-16,-1510,-1097,413,True
ic,2023-04-25,-1560,-1052,508,True
ic,2023-05-02,-2050,0,2050,True
ic,2023-08-24,-1580,-1753,-173,False
ic,2023-08-29,-1995,0,1995,True
ic,2023-09-15,-1670,-1668,2,False
ic,2023-10-12,-1575,-1658,-83,False
ic,2023-12-13,-1970,0,1970,True
ic,2023-12-20,-2315,0,2315,True
ic,2024-03-05,-1570,-1573,-3,False
ic,2024-04-04,-1635,-2825,-1190,False
ic,2024-04-05,-1600,283,1883,True
ic,2024-04-15,-1580,-3205,-1625,False
ic,2024-04-30,-2607,-2607,0,False
ic,2024-07-11,-1695,-1808,-113,False
ic,2024-07-18,-1860,-1117,743,True
ic,2024-08-01,-2080,-2653,-573,False
ic,2024-08-05,-2000,-1647,353,False
ic,2024-09-06,-1565,-1798,-233,False
ic,2024-09-11,-1510,-1543,-33,False
ic,2024-10-01,-1600,-1598,2,False
ic,2024-12-18,-2990,0,2990,True
ic,2024-12-20,-2195,-1277,918,True
ic,2024-12-27,-1565,-1568,-3,False
ic,2025-02-21,-1955,0,1955,True
ic,2025-02-28,-2808,-2808,0,False
ic,2025-03-03,-3025,0,3025,True
ic,2025-03-26,-1890,0,1890,True
ic,2025-03-28,-1870,-1127,743,True
ic,2025-04-09,-3250,2860,6110,True
ic,2025-04-16,-1900,-1963,-63,False
ic,2025-10-10,-2835,0,2835,True
ic,2025-10-22,-1695,0,1695,True
ic,2025-11-13,-1930,-1933,-3,False
ic,2025-11-20,-1969,-1559,410,False
ic,2025-12-12,-2005,-1107,898,True
ic,2025-12-17,-1502,-1502,0,False
ic,2026-01-21,-2180,-1352,828,True
ic,2026-01-29,-1810,0,1810,True
ic,2026-02-03,-1875,0,1875,True
ic,2026-02-12,-2090,0,2090,True
ic,2026-03-31,-2070,1460,3530,True
ic,2026-06-05,-1530,-1538,-8,False
ic,2026-06-09,-2210,-1302,908,True
ic,2026-06-11,-2060,-157,1903,True
ic,2026-06-17,-2695,0,2695,True
ic,2026-07-29,-2131,0,2131,True
ic,2026-08-04,-1785,-1808,-23,False
ic,2026-08-25,-1658,0,1658,True
puts_band,2022-05-20,-2203,-1171,1032,True
puts_band,2023-05-02,-2043,0,2043,True
puts_band,2023-09-15,-1668,-1668,0,False
puts_band,2023-10-12,-1658,-1658,0,False
puts_band,2024-08-01,-2468,-1256,1212,True
puts_band,2025-02-21,-1958,0,1958,True
puts_band,2025-03-03,-1542,-1542,0,False
puts_band,2025-03-26,-1903,0,1903,True
puts_band,2025-10-22,-1683,0,1683,True
puts_band,2025-12-12,-2003,-1106,897,True
puts_band,2025-12-17,-1531,-1531,0,False
puts_band,2026-06-17,-2943,0,2943,True
fly,2022-06-07,-1996,0,1996,True
fly,2022-07-01,-1601,0,1601,True
fly,2022-07-28,-1656,0,1656,True
fly,2022-09-02,-1786,0,1786,True
fly,2022-09-27,-1736,0,1736,True
fly,2022-10-13,-1533,0,1533,True
fly,2022-11-08,-2046,-2046,0,False
fly,2023-02-14,-2116,0,2116,True
fly,2023-03-13,-2306,0,2306,True
fly,2023-03-16,-1596,0,1596,True
fly,2023-08-04,-1651,-1651,0,False
fly,2024-04-09,-2636,0,2636,True
fly,2024-05-31,-2506,-2506,0,False
fly,2024-06-03,-1566,-1566,0,False
fly,2024-06-04,-1631,0,1631,True
fly,2024-06-28,-1521,-1521,0,False
fly,2024-08-30,-1928,0,1928,True
fly,2025-01-13,-1640,0,1640,True
fly,2025-02-03,-1713,0,1713,True
fly,2025-02-27,-1936,0,1936,True
fly,2025-03-12,-1586,0,1586,True
fly,2025-04-07,-2473,0,2473,True
fly,2025-04-08,-2336,0,2336,True
fly,2025-04-09,-2286,0,2286,True
fly,2025-06-05,-1606,-1606,0,False
fly,2025-10-15,-1576,-1576,0,False
fly,2026-02-12,-1966,0,1966,True
fly,2026-02-13,-1511,0,1511,True
fly,2026-02-17,-1806,0,1806,True
fly,2026-02-20,-1536,0,1536,True
fly,2026-03-09,-3376,0,3376,True
fly,2026-05-21,-1696,0,1696,True
fly,2026-07-31,-1526,0,1526,True
combined,2022-05-20,-4546,0,4546,True
combined,2022-06-02,-1887,0,1887,True
combined,2022-06-07,-1805,0,1805,True
combined,2022-06-09,-2182,0,2182,True
combined,2022-06-13,-1643,0,1643,True
combined,2022-06-16,-1543,0,1543,True
combined,2022-06-28,-2398,0,2398,True
combined,2022-09-02,-2869,0,2869,True
combined,2022-09-29,-1618,0,1618,True
combined,2022-10-07,-1698,0,1698,True
combined,2022-10-13,-2971,0,2971,True
combined,2022-10-14,-2615,0,2615,True
combined,2022-10-21,-2063,0,2063,True
combined,2022-11-02,-2196,0,2196,True
combined,2022-11-08,-1721,-1721,0,False
combined,2022-11-30,-2306,0,2306,True
combined,2022-12-05,-2710,0,2710,True
combined,2023-01-18,-1703,-1703,0,False
combined,2023-02-01,-2886,0,2886,True
combined,2023-02-07,-1686,0,1686,True
combined,2023-02-09,-2019,0,2019,True
combined,2023-03-09,-2333,-2333,0,False
combined,2023-03-10,-2656,0,2656,True
combined,2023-03-16,-3004,0,3004,True
combined,2023-03-23,-1795,0,1795,True
combined,2023-04-25,-1982,-1982,0,False
combined,2023-04-27,-1683,0,1683,True
combined,2023-05-02,-4028,-4028,0,False
combined,2023-08-24,-2960,-2960,0,False
combined,2023-09-06,-2246,-2246,0,False
combined,2023-09-15,-2873,-2873,0,False
combined,2023-09-20,-1647,0,1647,True
combined,2023-10-06,-1651,0,1651,True
combined,2023-10-12,-4124,-3974,150,False
combined,2023-10-25,-1561,-1561,0,False
combined,2023-12-13,-2083,0,2083,True
combined,2023-12-20,-3743,-3743,0,False
combined,2024-03-05,-2257,-2257,0,False
combined,2024-04-04,-3021,0,3021,True
combined,2024-04-09,-2457,-2457,0,False
combined,2024-04-15,-1811,0,1811,True
combined,2024-04-30,-3137,-3137,0,False
combined,2024-05-01,-1562,0,1562,True
combined,2024-05-23,-1721,0,1721,True
combined,2024-05-31,-2201,-2201,0,False
combined,2024-06-03,-3329,0,3329,True
combined,2024-07-11,-2840,-3629,-789,False
combined,2024-07-18,-3550,-3550,0,False
combined,2024-07-30,-3337,-3337,0,False
combined,2024-08-01,-4951,0,4951,True
combined,2024-08-05,-2446,0,2446,True
combined,2024-08-22,-2011,-2011,0,False
combined,2024-08-30,-1821,0,1821,True
combined,2024-09-11,-3673,-3463,210,False
combined,2024-10-01,-2985,-2985,0,False
combined,2024-10-23,-1586,-1586,0,False
combined,2024-11-15,-1567,0,1567,True
combined,2024-12-18,-5898,0,5898,True
combined,2024-12-20,-2498,0,2498,True
combined,2025-02-21,-3073,-3073,0,False
combined,2025-02-27,-4018,0,4018,True
combined,2025-02-28,-3021,0,3021,True
combined,2025-03-03,-5763,0,5763,True
combined,2025-03-26,-3546,-3546,0,False
combined,2025-03-28,-1552,0,1552,True
combined,2025-04-03,-1598,0,1598,True
combined,2025-04-07,-2109,0,2109,True
combined,2025-04-08,-5178,0,5178,True
combined,2025-04-09,-5389,0,5389,True
combined,2025-04-16,-3520,0,3520,True
combined,2025-09-05,-2406,-2406,0,False
combined,2025-10-10,-3963,-3963,0,False
combined,2025-11-07,-1507,0,1507,True
combined,2025-11-13,-4110,-4110,0,False
combined,2025-11-20,-2687,0,2687,True
combined,2025-12-12,-2573,-2573,0,False
combined,2026-01-21,-1793,0,1793,True
combined,2026-01-29,-3075,-3075,0,False
combined,2026-02-03,-3025,0,3025,True
combined,2026-02-12,-5223,-5223,0,False
combined,2026-03-09,-2767,0,2767,True
combined,2026-03-20,-2436,-2436,0,False
combined,2026-03-31,-3028,0,3028,True
combined,2026-06-05,-2273,0,2273,True
combined,2026-06-09,-3588,0,3588,True
combined,2026-06-11,-2275,0,2275,True
combined,2026-06-17,-6204,0,6204,True
combined,2026-07-29,-2957,0,2957,True
