book,year,year_delta,loyo_total_delta,year_baseline,year_stacked
ic,2022,11816,58621,-1948,9868
ic,2023,9854,60583,-4365,5489
ic,2024,10863,59574,-15407,-4544
ic,2025,28000,42437,-4320,23680
ic,2026,9904,60533,1117,11021
puts_band,2022,3091,12895,5702,8793
puts_band,2023,1950,14036,3469,5419
puts_band,2024,936,15050,2610,3546
puts_band,2025,7473,8513,-2350,5123
puts_band,2026,2537,13449,5496,8033
fly,2022,42784,137534,-46659,-3875
fly,2023,36996,143322,-46448,-9452
fly,2024,22905,157413,-32750,-9845
fly,2025,41817,138501,-46154,-4337
fly,2026,35816,144502,-28537,7279
combined,2022,46120,127692,-42905,3215
combined,2023,17869,155944,-47344,-29475
combined,2024,28094,145718,-45547,-17453
combined,2025,49414,124399,-52824,-3411
combined,2026,32316,141497,-21924,10392
