book,rank,rule,solo_train,solo_test,marginal_train,marginal_test,action,cum_train,cum_test,reject_reason
ic,1,breaker_-1000_MID,7398,10547,7398,10547,ADDED,7398,10547,
ic,2,skip_vix/10dma>1.15,1942,8872,1904,4757,ADDED,9301,15304,
ic,3,skip_accel2d>3,2078,8631,2934,-5,REJECTED,9301,15304,marginal_test<=0 (redundant with stack)
ic,4,skip_day_if_cr_p<0.5,15039,8225,14807,-1024,REJECTED,9301,15304,marginal_test<=0 (redundant with stack)
ic,5,skip_vix/10dma>1.25,2083,8166,0,0,REJECTED,9301,15304,marginal_test<=0 (redundant with stack)
ic,6,skip_vix>30,892,7723,2220,2268,ADDED,11521,17572,
ic,7,vixprior>30_standdown,892,7723,0,0,REJECTED,11521,17572,marginal_test<=0 (redundant with stack)
ic,8,ic_drop_call_leg_if_cr_c>2.0,4757,7658,1258,3059,ADDED,12779,20631,
ic,9,ic_drop_call_leg_if_cr_c>2.5,4208,7346,1438,1694,ADDED,14217,22325,
ic,10,skip_day_if_total_cr<1.0,4190,6728,1858,2212,ADDED,16075,24537,
ic,11,skip_day_if_cr_c>2.5,11321,6616,6394,-5236,REJECTED,16075,24537,marginal_test<=0 (redundant with stack)
ic,12,ic_drop_call_leg_if_cr_c>3.0,3799,6445,1704,3591,ADDED,17780,28128,
ic,13,fomc_close_1230_UPPERBOUND,12132,5627,11501,3758,ADDED,29281,31886,
ic,14,skip_event_if_credit_above_3,6500,5606,-15071,-7237,REJECTED,29281,31886,marginal_test<=0 (redundant with stack)
ic,15,|gap|>=1.0,4404,5574,-1776,-1581,REJECTED,29281,31886,marginal_test<=0 (redundant with stack)
ic,16,skip_day_if_cr_c>3.0,7927,5533,-4271,-11074,REJECTED,29281,31886,marginal_test<=0 (redundant with stack)
ic,17,band_p_0.5-2.5,24030,5334,434,-8926,REJECTED,29281,31886,marginal_test<=0 (redundant with stack)
ic,18,skip_vix/5dma>1.20,2420,5124,0,0,REJECTED,29281,31886,marginal_test<=0 (redundant with stack)
ic,19,skip_day_if_cr_c>2.0,9056,5055,-5935,-9795,REJECTED,29281,31886,marginal_test<=0 (redundant with stack)
ic,20,skip_vix>25,5312,4606,-665,-756,REJECTED,29281,31886,marginal_test<=0 (redundant with stack)
ic,21,vixprior>25_standdown,5312,4606,-665,-756,REJECTED,29281,31886,marginal_test<=0 (redundant with stack)
ic,22,skip_accel2d>5,1023,4426,0,0,REJECTED,29281,31886,marginal_test<=0 (redundant with stack)
ic,23,skip_day_if_total_cr>3.0,19076,4101,-7389,-20436,REJECTED,29281,31886,marginal_test<=0 (redundant with stack)
ic,24,skip_event_if_credit_above_2,8475,3629,-12677,-9012,REJECTED,29281,31886,marginal_test<=0 (redundant with stack)
ic,25,skip_event_if_credit_above_4,548,3093,-10377,-4924,REJECTED,29281,31886,marginal_test<=0 (redundant with stack)
ic,26,gap<=-1.0,5152,2931,232,-848,REJECTED,29281,31886,marginal_test<=0 (redundant with stack)
ic,27,loss<-1500_until_vixdown,2127,2467,-2097,953,ADDED,27184,32840,
ic,28,|gap|>=0.75,8335,2403,-2293,-4356,REJECTED,27184,32840,marginal_test<=0 (redundant with stack)
ic,29,skip_FOMC,2080,2042,-9328,-6360,REJECTED,27184,32840,marginal_test<=0 (redundant with stack)
ic,30,loss<-2000_until_vixdown,1062,2034,0,0,REJECTED,27184,32840,marginal_test<=0 (redundant with stack)
ic,31,skip_vix/5dma>1.10,2647,2004,1778,-1510,REJECTED,27184,32840,marginal_test<=0 (redundant with stack)
ic,32,skip_NFP,5120,1656,-1113,-94,REJECTED,27184,32840,marginal_test<=0 (redundant with stack)
ic,33,skip_ANY_EVENT,12522,1169,-10699,-10210,REJECTED,27184,32840,marginal_test<=0 (redundant with stack)
