date,dow,vix_prior,v_close,diff
2022-05-31,Tue,25.72,26.54,0.8200000000000003
2022-06-21,Tue,31.13,31.03,0.09999999999999787
2022-07-05,Tue,26.7,27.53,0.8300000000000018
2022-09-06,Tue,25.47,25.99,0.5199999999999996
2022-11-25,Fri,20.35,20.42,0.07000000000000028
2023-01-17,Tue,18.35,19.49,1.139999999999997
2023-02-21,Tue,20.02,21.23,1.2100000000000009
2023-05-30,Tue,17.95,17.46,0.48999999999999844
2023-06-20,Tue,13.54,14.19,0.6500000000000004
2023-07-05,Wed,13.57,13.7,0.129999999999999
2023-09-05,Tue,13.09,13.82,0.7300000000000004
2024-01-16,Tue,12.7,13.25,0.5500000000000007
2024-02-20,Tue,14.24,14.71,0.47000000000000064
2024-05-28,Tue,11.93,12.36,0.4299999999999997
2024-06-20,Thu,12.3,12.48,0.17999999999999972
2024-07-05,Fri,12.09,12.26,0.16999999999999993
2024-09-03,Tue,15.0,15.55,0.5500000000000007
2024-11-29,Fri,14.1,13.9,0.1999999999999993
2025-01-21,Tue,15.97,15.81,0.16000000000000014
2025-02-18,Tue,14.77,15.37,0.5999999999999996
2025-05-27,Tue,22.29,20.57,1.7199999999999989
2025-06-20,Fri,20.14,22.17,2.030000000000001
2025-07-07,Mon,16.38,17.48,1.1000000000000014
2025-09-02,Tue,15.36,16.12,0.7600000000000016
2026-01-20,Tue,15.86,18.84,2.9800000000000004
2026-02-17,Tue,20.6,21.2,0.5999999999999979
2026-05-26,Tue,16.7,16.59,0.10999999999999943
2026-06-22,Mon,16.4,16.78,0.38000000000000256
2026-07-06,Mon,16.15,15.81,0.3399999999999981
