rule,book,economic_story,n_skipped_train,n_skipped_test,train_delta,test_delta,train_excess_vs_random,test_excess_vs_random,killer_days_avoided,winning_days_lost,verdict
skip_vix>25,ic,Very high implied vol regime: skip when prior VIX close > 25,92,34,5312.0,4606.0,2289.0,4346.0,8,78,ROBUST
skip_vix>25,fly,Very high implied vol regime: skip when prior VIX close > 25,92,34,37188.0,23616.0,19671.0,17555.0,11,33,ROBUST
skip_vix>25,puts_band,Very high implied vol regime: skip when prior VIX close > 25,92,34,-4528.0,-548.0,-2888.0,-293.0,1,70,DEAD
skip_vix>25,combined,Very high implied vol regime: skip when prior VIX close > 25,92,34,37972.0,27674.0,19071.0,21609.0,20,39,ROBUST
skip_vix>30,ic,Extreme vol regime: skip when prior VIX close > 30,23,14,892.0,7723.0,136.0,7616.0,4,21,ROBUST
skip_vix>30,fly,Extreme vol regime: skip when prior VIX close > 30,23,14,9968.0,11716.0,5589.0,9220.0,5,10,ROBUST
skip_vix>30,puts_band,Extreme vol regime: skip when prior VIX close > 30,23,14,-1904.0,1700.0,-1494.0,1805.0,0,20,DEAD
skip_vix>30,combined,Extreme vol regime: skip when prior VIX close > 30,23,14,8956.0,21139.0,4231.0,18641.0,9,9,ROBUST
skip_vix>35,ic,Crisis vol regime: skip when prior VIX close > 35,1,5,-382.0,1972.0,-415.0,1934.0,1,4,DEAD
skip_vix>35,fly,Crisis vol regime: skip when prior VIX close > 35,1,5,-1470.0,7181.0,-1660.0,6290.0,3,2,DEAD
skip_vix>35,puts_band,Crisis vol regime: skip when prior VIX close > 35,1,5,-67.0,1203.0,-49.0,1241.0,0,3,DEAD
skip_vix>35,combined,Crisis vol regime: skip when prior VIX close > 35,1,5,-1919.0,10356.0,-2124.0,9464.0,3,3,DEAD
skip_vixchg>2,ic,Fresh vol shock: skip the day after VIX rose > 2 pts,32,44,819.0,1125.0,-232.0,789.0,7,52,ROBUST
skip_vixchg>2,fly,Fresh vol shock: skip the day after VIX rose > 2 pts,32,44,14963.0,21326.0,8870.0,13483.0,7,20,ROBUST
skip_vixchg>2,puts_band,Fresh vol shock: skip the day after VIX rose > 2 pts,32,44,-1962.0,-4158.0,-1392.0,-3828.0,0,47,DEAD
skip_vixchg>2,combined,Fresh vol shock: skip the day after VIX rose > 2 pts,32,44,13820.0,18293.0,7246.0,10444.0,9,23,ROBUST
skip_vixchg>3,ic,Fresh vol shock: skip the day after VIX rose > 3 pts,13,17,-823.0,2337.0,-1250.0,2207.0,2,21,DEAD
skip_vixchg>3,fly,Fresh vol shock: skip the day after VIX rose > 3 pts,13,17,8029.0,14241.0,5554.0,11211.0,4,7,ROBUST
