date,strat,k_live,cr_live,pnl_live,exit_live,k_bt,cr_bt,exit_bt,pnl_bt,d_cr,d_pnl
2026-08-06,eodfly_c,7725.0,11.5,-131.30000000000007,stop,7725.0,10.4,stop,-336.52,1.1,205.2
2026-08-06,eodfly_p,7725.0,7.1,-471.3000000000001,stop,7725.0,8.4,stop,-286.52,-1.3,-184.8
2026-08-06,eodic_c,7800.0,0.4,37.4,exp,7800.0,0.45,settle,41.74,-0.05,-4.3
2026-08-06,eodic_p,7645.0,0.65,62.4,exp,7645.0,0.75,settle,71.74,-0.1,-9.3
2026-08-06,openfly_c,7735.0,9.2,-181.30000000000007,stop,7735.0,9.9,stop,-116.52,-0.7,-64.8
2026-08-06,openfly_p,7735.0,8.4,-41.30000000000003,stop,7735.0,7.6,stop,-86.52,0.8,45.2
2026-08-06,openic_c,7815.0,0.15,12.4,exp,7815.0,0.2,settle,16.74,-0.05,-4.3
2026-08-06,openic_p,7660.0,0.55,52.400000000000006,exp,7660.0,0.5,settle,46.74,0.05,5.7
2026-08-07,eodfly_c,7710.0,15.3,-211.29999999999978,stop,7710.0,15.1,stop,-206.52,0.2,-4.8
2026-08-07,eodfly_p,7710.0,5.0,497.4,exp,7710.0,5.1,settle,506.74,-0.1,-9.3
2026-08-07,eodic_c,7785.0,1.6,157.4,exp,7785.0,1.65,settle,161.74,-0.05,-4.3
2026-08-07,eodic_p,7635.0,0.45,42.4,exp,7635.0,0.45,settle,41.74,0.0,0.7
2026-08-07,openfly_c,7730.0,12.2,-31.30000000000007,stop,7735.0,10.5,stop,-166.52,1.7,135.2
2026-08-07,openfly_p,7730.0,7.9,787.4,exp,7735.0,8.5,stop,-226.52,-0.6,1013.9
2026-08-07,openic_c,7805.0,0.6,57.4,exp,7810.0,0.45,settle,41.74,0.15,15.7
2026-08-07,openic_p,7655.0,0.7,67.4,exp,7665.0,0.85,settle,81.74,-0.15,-14.3
2026-08-10,eodfly_c,7760.0,7.9,-201.3,stop,7760.0,7.9,stop,-206.52,0.0,5.2
2026-08-10,eodfly_p,7760.0,7.7,118.70000000000002,stop,7760.0,9.1,stop,-196.52,-1.4,315.2
2026-08-10,eodic_c,,,,,7835.0,0.15,settle,11.74,,
2026-08-10,eodic_p,7680.0,0.1,7.4,exp,7680.0,0.35,settle,31.74,-0.25,-24.3
2026-08-10,openfly_c,7760.0,7.9,-176.3,stop,7755.0,9.6,stop,-106.52,-1.7,-69.8
2026-08-10,openfly_p,7760.0,7.1,73.7,stop,7755.0,7.4,stop,-206.52,-0.3,280.2
2026-08-10,openic_c,,,,,7835.0,0.1,settle,6.74,,
2026-08-10,openic_p,7680.0,0.1,7.4,exp,7680.0,0.25,settle,21.74,-0.15,-14.3
2026-08-11,eodfly_c,7755.0,10.4,58.69999999999997,stop,7755.0,11.3,stop,53.48,-0.9,5.2
2026-08-11,eodfly_p,7755.0,6.6,-231.30000000000007,stop,7755.0,5.9,stop,-216.52,0.7,-14.8
2026-08-11,eodic_c,7830.0,0.15,12.4,exp,7830.0,0.15,settle,11.74,0.0,0.7
2026-08-11,eodic_p,7675.0,0.15,12.4,exp,7675.0,0.15,settle,11.74,0.0,0.7
2026-08-11,openfly_c,7765.0,6.85,682.4,exp,7760.0,8.3,settle,826.74,-1.45,-144.3
2026-08-11,openfly_p,7765.0,10.1,-41.30000000000003,stop,7760.0,8.4,stop,33.48,1.7,-74.8
2026-08-11,openic_c,,,,,7835.0,0.05,SKIP,,,
2026-08-11,openic_p,7685.0,0.35,32.4,exp,7680.0,0.25,settle,21.74,0.1,10.7
2026-08-12,eodfly_c,7730.0,15.8,-21.29999999999993,stop,7730.0,17.4,stop,203.48,-1.6,-224.8
2026-08-12,eodfly_p,7730.0,4.15,412.40000000000003,exp,7730.0,3.2,settle,316.74,0.95,95.7
2026-08-12,eodic_c,7805.0,1.8,177.4,exp,7805.0,1.65,settle,161.74,0.15,15.7
2026-08-12,eodic_p,7655.0,0.15,12.4,exp,7655.0,0.15,settle,11.74,0.0,0.7
2026-08-12,openfly_c,7740.0,11.0,-61.29999999999996,stop,7745.0,9.0,stop,-156.52,2.0,95.2
2026-08-12,openfly_p,7740.0,6.5,628.7,time,7745.0,7.9,stop,-56.52,-1.4,685.2
2026-08-12,openic_c,7815.0,0.15,12.4,exp,7820.0,0.1,settle,6.74,0.05,5.7
2026-08-12,openic_p,7665.0,0.3,27.4,exp,7670.0,0.3,settle,26.74,0.0,0.7
2026-08-13,eodfly_c,7750.0,15.0,-411.3000000000001,stop,7750.0,14.4,stop,-586.52,0.6,175.2
2026-08-13,eodfly_p,7750.0,3.45,342.4,exp,7750.0,3.9,settle,386.74,-0.45,-44.3
2026-08-13,eodic_c,7820.0,0.35,32.4,exp,7820.0,0.3,settle,26.74,0.05,5.7
2026-08-13,eodic_p,7675.0,0.09999999999999998,7.399999999999999,exp,7675.0,0.1,settle,6.74,-0.0,0.7
2026-08-13,openfly_c,7765.0,10.5,-321.29999999999995,stop,7770.0,8.4,stop,-396.52,2.1,75.2
2026-08-13,openfly_p,7765.0,6.2,617.4,exp,7770.0,7.5,settle,746.74,-1.3,-129.3
2026-08-13,openic_c,,,,,7840.0,0.05,SKIP,,,
2026-08-13,openic_p,7695.0,0.2,17.4,exp,7700.0,0.3,settle,26.74,-0.1,-9.3
2026-08-14,eodfly_c,7800.0,9.3,-11.299999999999965,stop,7800.0,9.2,stop,13.48,0.1,-24.8
2026-08-14,eodfly_p,7800.0,6.7,-251.29999999999993,stop,7800.0,7.1,stop,-236.52,-0.4,-14.8
2026-08-14,eodic_c,7870.0,0.15,12.4,exp,7870.0,0.1,settle,6.74,0.05,5.7
2026-08-14,eodic_p,7725.0,0.2,17.4,exp,7725.0,0.2,settle,16.74,0.0,0.7
2026-08-14,openfly_c,7810.0,7.15,712.4,exp,7810.0,7.2,settle,716.74,-0.05,-4.3
2026-08-14,openfly_p,7810.0,7.05,-226.3000000000001,stop,7810.0,7.0,stop,-226.52,0.05,0.2
2026-08-14,openic_c,,,,,7880.0,0.05,SKIP,,,
2026-08-14,openic_p,7735.0,0.1,7.4,exp,7735.0,0.1,settle,6.74,0.0,0.7
2026-08-17,eodfly_c,7785.0,8.5,847.4,exp,7785.0,8.85,settle,881.74,-0.35,-34.3
