date,strat,method,center,em,short_k,long_k,credit,exit_kind,exit_val,pnl,note
2022-05-16,eodic_p,vix252,4023.89,73.2,3950.0,3925.0,2.55,settle,0.0,251.74,
2022-05-16,eodic_p,vix365,4023.89,60.8,3965.0,3940.0,3.9,settle,0.0,386.74,
2022-05-16,eodic_p,straddle,4023.89,48.2,3975.0,3950.0,4.9,settle,0.0,486.74,
2022-05-16,eodic_c,vix252,4023.89,73.2,4095.0,4120.0,1.2,settle,0.0,116.74,
2022-05-16,eodic_c,vix365,4023.89,60.8,4085.0,4110.0,1.7,settle,0.0,166.74,
2022-05-16,eodic_c,straddle,4023.89,48.2,4070.0,4095.0,2.7,settle,0.0,266.74,
2022-05-16,openic_p,vix252,4013.02,73.2,3940.0,3915.0,3.5,settle,0.0,346.74,
2022-05-16,openic_p,vix365,4013.02,60.8,3950.0,3925.0,4.4,settle,0.0,436.74,
2022-05-16,openic_p,straddle,4013.02,48.2,3965.0,3940.0,6.0,settle,0.0,596.74,
2022-05-16,openic_c,vix252,4013.02,73.2,4085.0,4110.0,0.8,settle,0.0,76.74,
2022-05-16,openic_c,vix365,4013.02,60.8,4075.0,4100.0,1.1,settle,0.0,106.74,
2022-05-16,openic_c,straddle,4013.02,48.2,4060.0,4085.0,2.0,settle,0.0,196.74,
2024-06-14,eodic_p,vix252,5433.74,40.9,5395.0,5370.0,2.8,settle,0.0,276.74,
2024-06-14,eodic_p,vix365,5433.74,34.0,5400.0,5375.0,3.65,settle,0.0,361.74,
2024-06-14,eodic_p,straddle,5433.74,23.0,5410.0,5385.0,5.9,stop,8.0,-216.52,
2024-06-14,eodic_c,vix252,5433.74,40.9,5475.0,5500.0,0.1,settle,0.0,6.74,
2024-06-14,eodic_c,vix365,5433.74,34.0,5470.0,5495.0,0.1,settle,0.0,6.74,
2024-06-14,eodic_c,straddle,5433.74,23.0,5455.0,5480.0,0.6,settle,0.0,56.74,
2024-06-14,openic_p,vix252,5424.08,40.9,5385.0,5360.0,1.95,settle,0.0,191.74,
2024-06-14,openic_p,vix365,5424.08,34.0,5390.0,5365.0,2.6,settle,0.0,256.74,
2024-06-14,openic_p,straddle,5424.08,23.0,5400.0,5375.0,4.3,settle,0.0,426.74,
2024-06-14,openic_c,vix252,5424.08,40.9,5465.0,5490.0,0.05,settle,0.0,1.74,
2024-06-14,openic_c,vix365,5424.08,34.0,5460.0,5485.0,0.15,settle,0.0,11.74,
2024-06-14,openic_c,straddle,5424.08,23.0,5445.0,5470.0,0.7,settle,0.0,66.74,
2026-08-04,eodic_p,vix252,7600.5,75.9,7525.0,7500.0,0.15,settle,0.0,11.74,
2026-08-04,eodic_p,vix365,7600.5,63.1,7535.0,7510.0,0.25,settle,0.0,21.74,
2026-08-04,eodic_p,straddle,7600.5,26.2,7575.0,7550.0,0.7,settle,0.0,66.74,
2026-08-04,eodic_c,vix252,7600.5,75.9,7675.0,7700.0,1.3,stop,11.0,-976.52,
2026-08-04,eodic_c,vix365,7600.5,63.1,7665.0,7690.0,2.15,stop,11.7,-961.52,
2026-08-04,eodic_c,straddle,7600.5,26.2,7625.0,7650.0,12.6,stop,14.8,-226.52,
