date,strat,reason,sim_cr,td_cr,sim_pnl,td_pnl
2026-08-04,eodic_c,stopped,1.95,1.95,-866.3,-871.52
2026-08-04,openic_p,expired,0.35,0.35,32.4,31.74
2026-08-04,openic_c,stopped,0.35,0.25,-786.3,-831.52
2026-08-05,eodic_p,expired,0.2,0.15,17.4,11.74
2026-08-05,openic_p,expired,0.8,0.9,77.4,86.74
2026-08-05,openic_c,expired,0.3,0.35,27.4,31.74
2026-08-06,eodic_p,expired,0.65,0.7,62.4,66.74
2026-08-06,eodic_c,expired,0.4,0.35,37.4,31.74
2026-08-06,openic_p,expired,0.55,0.5,52.4,46.74
2026-08-06,openic_c,expired,0.15,0.15,12.4,11.74
2026-08-07,eodic_p,expired,0.45,0.45,42.4,41.74
2026-08-07,eodic_c,expired,1.6,1.65,157.4,161.74
2026-08-07,openic_p,expired,0.7,0.85,67.4,81.74
2026-08-07,openic_c,expired,0.6,0.6,57.4,56.74
2026-08-10,eodic_p,expired,0.1,0.15,7.4,11.74
2026-08-10,openic_p,expired,0.1,0.15,7.4,11.74
2026-08-11,eodic_p,expired,0.15,0.15,12.4,11.74
2026-08-11,eodic_c,expired,0.15,0.15,12.4,11.74
2026-08-11,openic_p,expired,0.35,0.3,32.4,26.74
2026-08-12,eodic_p,expired,0.15,0.15,12.4,11.74
2026-08-12,eodic_c,expired,1.8,1.65,177.4,161.74
2026-08-12,openic_p,expired,0.3,0.3,27.4,26.74
2026-08-12,openic_c,expired,0.15,0.15,12.4,11.74
2026-08-13,eodic_p,expired,0.1,0.1,7.4,6.74
2026-08-13,eodic_c,expired,0.35,0.3,32.4,26.74
2026-08-13,openic_p,expired,0.2,0.25,17.4,21.74
2026-08-14,eodic_p,expired,0.2,0.2,17.4,16.74
2026-08-14,eodic_c,expired,0.15,0.1,12.4,6.74
2026-08-14,openic_p,expired,0.1,0.1,7.4,6.74
2026-08-17,eodic_p,expired,0.2,0.2,17.4,16.74
2026-08-17,openic_p,expired,0.25,0.2,22.4,16.74
2026-08-18,eodic_p,expired,1.6,1.75,157.4,171.74
2026-08-18,eodic_c,expired,0.0,-0.05,-2.6,-8.26
2026-08-18,openic_p,expired,0.5,0.5,47.4,46.74
2026-08-19,eodic_c,expired,0.75,0.6,72.4,56.74
2026-08-19,openic_p,expired,0.2,0.2,17.4,16.74
2026-08-19,openic_c,expired,0.0,0.0,-2.6,-3.26
2026-08-20,eodic_p,expired,1.65,1.9,162.4,186.74
2026-08-20,openic_p,expired,0.5,0.5,47.4,46.74
2026-08-20,openic_c,expired,0.15,0.2,12.4,16.74
2026-08-21,eodic_p,expired,0.1,0.1,7.4,6.74
2026-08-21,eodic_c,expired,1.2,1.2,117.4,116.74
2026-08-21,openic_p,expired,0.55,0.5,52.4,46.74
2026-08-21,openic_c,expired,0.15,0.15,12.4,11.74
2026-08-24,eodic_p,expired,0.6,0.65,57.4,61.74
2026-08-24,openic_p,expired,0.3,0.3,27.4,26.74
2026-08-25,eodic_c,expired,0.25,0.3,22.4,26.74
2026-08-25,openic_c,expired,0.0,0.0,-2.6,-3.26
2026-08-26,eodic_p,expired,0.35,0.3,32.4,26.74
2026-08-27,eodic_c,expired,0.95,1.05,92.4,101.74
2026-08-27,openic_p,expired,0.3,0.4,27.4,36.74
2026-08-28,eodic_p,expired,0.95,1.0,92.4,96.74
2026-08-28,eodic_c,expired,0.55,0.7,52.4,66.74
2026-08-28,openic_p,expired,1.0,0.9,97.4,86.74
2026-08-28,openic_c,expired,0.2,0.15,17.4,11.74
2026-08-31,eodic_p,expired,1.0,0.95,97.4,91.74
2026-08-31,openic_p,expired,0.45,0.4,42.4,36.74
2026-08-31,openic_c,expired,0.1,0.05,7.4,1.74
2026-09-01,eodic_p,expired,4.2,4.15,417.4,411.74
2026-09-01,openic_p,expired,0.05,0.1,2.4,6.74
2026-09-02,eodic_p,expired,0.2,0.15,17.4,11.74
2026-09-02,eodic_c,expired,0.15,0.15,12.4,11.74
2026-09-02,openic_p,expired,0.1,0.1,7.4,6.74
2026-09-03,eodic_c,stopped,0.85,0.85,-801.3,-881.52
2026-09-03,openic_p,expired,0.25,0.25,22.4,21.74
2026-09-03,openic_c,expired,0.1,0.1,7.4,6.74
2026-09-04,eodic_p,expired,0.95,0.85,92.4,81.74
2026-09-04,eodic_c,expired,0.15,0.15,12.4,11.74
2026-09-04,openic_p,expired,0.25,0.2,22.4,16.74
2026-09-04,openic_c,expired,0.1,0.05,7.4,1.74
